Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-02-02,RU,Russian Federation,EURO,2.0,2,0.0,0
2020-02-09,RU,Russian Federation,EURO,0.0,2,0.0,0
2020-02-16,RU,Russian Federation,EURO,0.0,2,0.0,0
2020-02-23,RU,Russian Federation,EURO,0.0,2,0.0,0
2020-03-01,RU,Russian Federation,EURO,0.0,2,0.0,0
2020-03-08,RU,Russian Federation,EURO,5.0,7,0.0,0
2020-03-15,RU,Russian Federation,EURO,27.0,34,0.0,0
2020-03-22,RU,Russian Federation,EURO,272.0,306,0.0,0
2020-03-29,RU,Russian Federation,EURO,1228.0,1534,8.0,8
2020-04-05,RU,Russian Federation,EURO,3197.0,4731,35.0,43
2020-04-12,RU,Russian Federation,EURO,11039.0,15770,87.0,130
2020-04-19,RU,Russian Federation,EURO,27083.0,42853,231.0,361
2020-04-26,RU,Russian Federation,EURO,38096.0,80949,386.0,747
2020-05-03,RU,Russian Federation,EURO,53738.0,134687,533.0,1280
2020-05-10,RU,Russian Federation,EURO,75001.0,209688,635.0,1915
2020-05-17,RU,Russian Federation,EURO,72064.0,281752,716.0,2631
2020-05-24,RU,Russian Federation,EURO,62729.0,344481,910.0,3541
2020-05-31,RU,Russian Federation,EURO,61362.0,405843,1152.0,4693
2020-06-07,RU,Russian Federation,EURO,61830.0,467673,1166.0,5859
2020-06-14,RU,Russian Federation,EURO,61291.0,528964,1089.0,6948
2020-06-21,RU,Russian Federation,EURO,55716.0,584680,1163.0,8111
2020-06-28,RU,Russian Federation,EURO,49757.0,634437,962.0,9073
2020-07-05,RU,Russian Federation,EURO,46814.0,681251,1088.0,10161
2020-07-12,RU,Russian Federation,EURO,45911.0,727162,1174.0,11335
2020-07-19,RU,Russian Federation,EURO,44384.0,771546,1007.0,12342
2020-07-26,RU,Russian Federation,EURO,40939.0,812485,927.0,13269
2020-08-02,RU,Russian Federation,EURO,38385.0,850870,859.0,14128
2020-08-09,RU,Russian Federation,EURO,36666.0,887536,803.0,14931
2020-08-16,RU,Russian Federation,EURO,35317.0,922853,754.0,15685
2020-08-23,RU,Russian Federation,EURO,33896.0,956749,698.0,16383
2020-08-30,RU,Russian Federation,EURO,33577.0,990326,710.0,17093
2020-09-06,RU,Russian Federation,EURO,35179.0,1025505,727.0,17820
2020-09-13,RU,Russian Federation,EURO,37306.0,1062811,758.0,18578
2020-09-20,RU,Russian Federation,EURO,40588.0,1103399,840.0,19418
2020-09-27,RU,Russian Federation,EURO,48039.0,1151438,906.0,20324
2020-10-04,RU,Russian Federation,EURO,63563.0,1215001,1034.0,21358
2020-10-11,RU,Russian Federation,EURO,83717.0,1298718,1239.0,22597
2020-10-18,RU,Russian Federation,EURO,100616.0,1399334,1590.0,24187
2020-10-25,RU,Russian Federation,EURO,114543.0,1513877,1863.0,26050
2020-11-01,RU,Russian Federation,EURO,122904.0,1636781,2185.0,28235
2020-11-08,RU,Russian Federation,EURO,137553.0,1774334,2302.0,30537
2020-11-15,RU,Russian Federation,EURO,151491.0,1925825,2649.0,33186
2020-11-22,RU,Russian Federation,EURO,163504.0,2089329,2993.0,36179
2020-11-29,RU,Russian Federation,EURO,179987.0,2269316,3348.0,39527
2020-12-06,RU,Russian Federation,EURO,191454.0,2460770,3614.0,43141
2020-12-13,RU,Russian Federation,EURO,193158.0,2653928,3800.0,46941
2020-12-20,RU,Russian Federation,EURO,194449.0,2848377,3917.0,50858
2020-12-27,RU,Russian Federation,EURO,201871.0,3050248,3920.0,54778
2021-01-03,RU,Russian Federation,EURO,186539.0,3236787,3728.0,58506
2021-01-10,RU,Russian Federation,EURO,165167.0,3401954,3331.0,61837
2021-01-17,RU,Russian Federation,EURO,166255.0,3568209,3729.0,65566
2021-01-24,RU,Russian Federation,EURO,151191.0,3719400,3896.0,69462
2021-01-31,RU,Russian Federation,EURO,131039.0,3850439,3720.0,73182
2021-02-07,RU,Russian Federation,EURO,116842.0,3967281,3479.0,76661
2021-02-14,RU,Russian Federation,EURO,104602.0,4071883,3465.0,80126
2021-02-21,RU,Russian Federation,EURO,92843.0,4164726,3167.0,83293
2021-02-28,RU,Russian Federation,EURO,81353.0,4246079,2829.0,86122
2021-03-07,RU,Russian Federation,EURO,76697.0,4322776,2978.0,89100
2021-03-14,RU,Russian Federation,EURO,67832.0,4390608,2990.0,92090
2021-03-21,RU,Russian Federation,EURO,66261.0,4456869,2940.0,95030
2021-03-28,RU,Russian Federation,EURO,62963.0,4519832,2710.0,97740
2021-04-04,RU,Russian Federation,EURO,61062.0,4580894,2634.0,100374
2021-04-11,RU,Russian Federation,EURO,60496.0,4641390,2612.0,102986
2021-04-18,RU,Russian Federation,EURO,60711.0,4702101,2596.0,105582
2021-04-25,RU,Russian Federation,EURO,60468.0,4762569,2650.0,108232
2021-05-02,RU,Russian Federation,EURO,60686.0,4823255,2630.0,110862
2021-05-09,RU,Russian Federation,EURO,57007.0,4880262,2464.0,113326
2021-05-16,RU,Russian Federation,EURO,59983.0,4940245,2545.0,115871
2021-05-23,RU,Russian Federation,EURO,61260.0,5001505,2611.0,118482
2021-05-30,RU,Russian Federation,EURO,61937.0,5063442,2680.0,121162
2021-06-06,RU,Russian Federation,EURO,62995.0,5126437,2625.0,123787
2021-06-13,RU,Russian Federation,EURO,82250.0,5208687,2643.0,126430
2021-06-20,RU,Russian Federation,EURO,108139.0,5316826,2931.0,129361
2021-06-27,RU,Russian Federation,EURO,134465.0,5451291,3921.0,133282
2021-07-04,RU,Russian Federation,EURO,159650.0,5610941,4643.0,137925
2021-07-11,RU,Russian Federation,EURO,172392.0,5783333,5077.0,143002
2021-07-18,RU,Russian Federation,EURO,174800.0,5958133,5417.0,148419
2021-07-25,RU,Russian Federation,EURO,168408.0,6126541,5455.0,153874
2021-08-01,RU,Russian Federation,EURO,162136.0,6288677,5478.0,159352
2021-08-08,RU,Russian Federation,EURO,159073.0,6447750,5529.0,164881
2021-08-15,RU,Russian Federation,EURO,153086.0,6600836,5618.0,170499
2021-08-22,RU,Russian Federation,EURO,146251.0,6747087,5545.0,176044
2021-08-29,RU,Russian Federation,EURO,135740.0,6882827,5593.0,181637
2021-09-05,RU,Russian Federation,EURO,129772.0,7012599,5563.0,187200
2021-09-12,RU,Russian Federation,EURO,127471.0,7140070,5549.0,192749
