Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-03-15,SD,Sudan,EMRO,1.0,1,1.0,1
2020-03-22,SD,Sudan,EMRO,1.0,2,0.0,1
2020-03-29,SD,Sudan,EMRO,3.0,5,0.0,1
2020-04-05,SD,Sudan,EMRO,5.0,10,1.0,2
2020-04-12,SD,Sudan,EMRO,9.0,19,0.0,2
2020-04-19,SD,Sudan,EMRO,47.0,66,8.0,10
2020-04-26,SD,Sudan,EMRO,147.0,213,7.0,17
2020-05-03,SD,Sudan,EMRO,379.0,592,24.0,41
2020-05-10,SD,Sudan,EMRO,572.0,1164,27.0,68
2020-05-17,SD,Sudan,EMRO,1125.0,2289,33.0,101
2020-05-24,SD,Sudan,EMRO,1345.0,3634,45.0,146
2020-05-31,SD,Sudan,EMRO,1166.0,4800,116.0,262
2020-06-07,SD,Sudan,EMRO,1281.0,6081,97.0,359
2020-06-14,SD,Sudan,EMRO,926.0,7007,88.0,447
2020-06-21,SD,Sudan,EMRO,1573.0,8580,74.0,521
2020-06-28,SD,Sudan,EMRO,734.0,9314,55.0,576
2020-07-05,SD,Sudan,EMRO,453.0,9767,32.0,608
2020-07-12,SD,Sudan,EMRO,483.0,10250,42.0,650
2020-07-19,SD,Sudan,EMRO,512.0,10762,30.0,680
2020-07-26,SD,Sudan,EMRO,623.0,11385,37.0,717
2020-08-02,SD,Sudan,EMRO,353.0,11738,35.0,752
2020-08-09,SD,Sudan,EMRO,218.0,11956,29.0,781
2020-08-16,SD,Sudan,EMRO,454.0,12410,22.0,803
2020-08-23,SD,Sudan,EMRO,493.0,12903,15.0,818
2020-08-30,SD,Sudan,EMRO,286.0,13189,5.0,823
2020-09-06,SD,Sudan,EMRO,248.0,13437,10.0,833
2020-09-13,SD,Sudan,EMRO,95.0,13532,3.0,836
2020-09-20,SD,Sudan,EMRO,23.0,13555,0.0,836
2020-09-27,SD,Sudan,EMRO,55.0,13610,0.0,836
2020-10-04,SD,Sudan,EMRO,50.0,13660,0.0,836
2020-10-11,SD,Sudan,EMRO,25.0,13685,0.0,836
2020-10-18,SD,Sudan,EMRO,26.0,13711,0.0,836
2020-10-25,SD,Sudan,EMRO,33.0,13744,1.0,837
2020-11-01,SD,Sudan,EMRO,75.0,13819,0.0,837
2020-11-08,SD,Sudan,EMRO,336.0,14155,279.0,1116
2020-11-15,SD,Sudan,EMRO,573.0,14728,3.0,1119
2020-11-22,SD,Sudan,EMRO,1459.0,16187,80.0,1199
2020-11-29,SD,Sudan,EMRO,1623.0,17810,50.0,1249
2020-12-06,SD,Sudan,EMRO,1937.0,19747,54.0,1303
2020-12-13,SD,Sudan,EMRO,1844.0,21591,54.0,1357
2020-12-20,SD,Sudan,EMRO,1509.0,23100,104.0,1461
2020-12-27,SD,Sudan,EMRO,1594.0,24694,59.0,1520
2021-01-03,SD,Sudan,EMRO,1345.0,26039,77.0,1597
2021-01-10,SD,Sudan,EMRO,1455.0,27494,60.0,1657
2021-01-17,SD,Sudan,EMRO,739.0,28233,50.0,1707
2021-01-24,SD,Sudan,EMRO,637.0,28870,31.0,1738
2021-01-31,SD,Sudan,EMRO,579.0,29449,69.0,1807
2021-02-07,SD,Sudan,EMRO,316.0,29765,28.0,1835
2021-02-14,SD,Sudan,EMRO,241.0,30006,18.0,1853
2021-02-21,SD,Sudan,EMRO,199.0,30205,18.0,1871
2021-02-28,SD,Sudan,EMRO,212.0,30417,19.0,1890
2021-03-07,SD,Sudan,EMRO,220.0,30637,22.0,1912
2021-03-14,SD,Sudan,EMRO,309.0,30946,41.0,1953
2021-03-21,SD,Sudan,EMRO,336.0,31282,50.0,2003
2021-03-28,SD,Sudan,EMRO,430.0,31712,57.0,2060
2021-04-04,SD,Sudan,EMRO,619.0,32331,65.0,2125
2021-04-11,SD,Sudan,EMRO,526.0,32857,60.0,2185
2021-04-18,SD,Sudan,EMRO,558.0,33415,88.0,2273
2021-04-25,SD,Sudan,EMRO,382.0,33797,60.0,2333
2021-05-02,SD,Sudan,EMRO,664.0,34461,32.0,2365
2021-05-09,SD,Sudan,EMRO,428.0,34889,81.0,2446
2021-05-16,SD,Sudan,EMRO,0.0,34889,0.0,2446
2021-05-23,SD,Sudan,EMRO,304.0,35193,148.0,2594
2021-05-30,SD,Sudan,EMRO,302.0,35495,36.0,2630
2021-06-06,SD,Sudan,EMRO,509.0,36004,67.0,2697
2021-06-13,SD,Sudan,EMRO,300.0,36304,35.0,2732
2021-06-20,SD,Sudan,EMRO,126.0,36430,8.0,2740
2021-06-27,SD,Sudan,EMRO,190.0,36620,14.0,2754
2021-07-04,SD,Sudan,EMRO,179.0,36799,6.0,2760
2021-07-11,SD,Sudan,EMRO,160.0,36959,14.0,2774
2021-07-18,SD,Sudan,EMRO,218.0,37177,3.0,2777
2021-07-25,SD,Sudan,EMRO,122.0,37299,1.0,2778
2021-08-01,SD,Sudan,EMRO,141.0,37440,2.0,2780
2021-08-08,SD,Sudan,EMRO,75.0,37515,0.0,2780
2021-08-15,SD,Sudan,EMRO,41.0,37556,0.0,2780
2021-08-22,SD,Sudan,EMRO,84.0,37640,4.0,2784
2021-08-29,SD,Sudan,EMRO,68.0,37708,7.0,2791
2021-09-05,SD,Sudan,EMRO,165.0,37873,0.0,2791
2021-09-12,SD,Sudan,EMRO,78.0,37951,38.0,2829
2021-09-19,SD,Sudan,EMRO,90.0,38041,6.0,2835
2021-09-26,SD,Sudan,EMRO,160.0,38201,6.0,2841
2021-10-03,SD,Sudan,EMRO,144.0,38345,35.0,2876
2021-10-10,SD,Sudan,EMRO,482.0,38827,77.0,2953
2021-10-17,SD,Sudan,EMRO,1012.0,39839,26.0,2979
2021-10-24,SD,Sudan,EMRO,594.0,40433,16.0,2995
2021-10-31,SD,Sudan,EMRO,349.0,40782,48.0,3043
2021-11-07,SD,Sudan,EMRO,219.0,41001,20.0,3063
2021-11-14,SD,Sudan,EMRO,327.0,41328,24.0,3087
2021-11-21,SD,Sudan,EMRO,466.0,41794,16.0,3103
2021-11-28,SD,Sudan,EMRO,1032.0,42826,38.0,3141
2021-12-05,SD,Sudan,EMRO,1249.0,44075,59.0,3200
2021-12-12,SD,Sudan,EMRO,916.0,44991,52.0,3252
2021-12-19,SD,Sudan,EMRO,910.0,45901,43.0,3295
2021-12-26,SD,Sudan,EMRO,384.0,46285,3.0,3298
2022-01-02,SD,Sudan,EMRO,905.0,47190,42.0,3340
2022-01-09,SD,Sudan,EMRO,1416.0,48606,7.0,3347
2022-01-16,SD,Sudan,EMRO,3724.0,52330,43.0,3390
2022-01-23,SD,Sudan,EMRO,3499.0,55829,21.0,3411
