Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-02-09,SE,Sweden,EURO,1.0,1,0.0,0
2020-02-16,SE,Sweden,EURO,0.0,1,0.0,0
2020-02-23,SE,Sweden,EURO,0.0,1,0.0,0
2020-03-01,SE,Sweden,EURO,13.0,14,0.0,0
2020-03-08,SE,Sweden,EURO,165.0,179,0.0,0
2020-03-15,SE,Sweden,EURO,815.0,994,3.0,3
2020-03-22,SE,Sweden,EURO,875.0,1869,35.0,38
2020-03-29,SE,Sweden,EURO,1795.0,3664,163.0,201
2020-04-05,SE,Sweden,EURO,3169.0,6833,404.0,605
2020-04-12,SE,Sweden,EURO,3616.0,10449,652.0,1257
2020-04-19,SE,Sweden,EURO,3828.0,14277,667.0,1924
2020-04-26,SE,Sweden,EURO,4291.0,18568,559.0,2483
2020-05-03,SE,Sweden,EURO,3871.0,22439,542.0,3025
2020-05-10,SE,Sweden,EURO,4135.0,26574,511.0,3536
2020-05-17,SE,Sweden,EURO,3889.0,30463,401.0,3937
2020-05-24,SE,Sweden,EURO,3708.0,34171,368.0,4305
2020-05-31,SE,Sweden,EURO,4225.0,38396,270.0,4575
2020-06-07,SE,Sweden,EURO,5824.0,44220,259.0,4834
2020-06-14,SE,Sweden,EURO,7167.0,51387,240.0,5074
2020-06-21,SE,Sweden,EURO,7170.0,58557,205.0,5279
2020-06-28,SE,Sweden,EURO,7361.0,65918,137.0,5416
2020-07-05,SE,Sweden,EURO,4379.0,70297,112.0,5528
2020-07-12,SE,Sweden,EURO,2388.0,72685,85.0,5613
2020-07-19,SE,Sweden,EURO,1618.0,74303,58.0,5671
2020-07-26,SE,Sweden,EURO,1384.0,75687,35.0,5706
2020-08-02,SE,Sweden,EURO,1560.0,77247,17.0,5723
2020-08-09,SE,Sweden,EURO,1979.0,79226,17.0,5740
2020-08-16,SE,Sweden,EURO,2062.0,81288,20.0,5760
2020-08-23,SE,Sweden,EURO,1693.0,82981,16.0,5776
2020-08-30,SE,Sweden,EURO,1209.0,84190,10.0,5786
2020-09-06,SE,Sweden,EURO,1313.0,85503,12.0,5798
2020-09-13,SE,Sweden,EURO,1553.0,87056,14.0,5812
2020-09-20,SE,Sweden,EURO,2053.0,89109,10.0,5822
2020-09-27,SE,Sweden,EURO,2885.0,91994,14.0,5836
2020-10-04,SE,Sweden,EURO,3653.0,95647,15.0,5851
2020-10-11,SE,Sweden,EURO,4273.0,99920,23.0,5874
2020-10-18,SE,Sweden,EURO,5460.0,105380,17.0,5891
2020-10-25,SE,Sweden,EURO,8962.0,114342,36.0,5927
2020-11-01,SE,Sweden,EURO,17691.0,132033,68.0,5995
2020-11-08,SE,Sweden,EURO,24605.0,156638,157.0,6152
2020-11-15,SE,Sweden,EURO,31835.0,188473,218.0,6370
2020-11-22,SE,Sweden,EURO,31103.0,219576,312.0,6682
2020-11-29,SE,Sweden,EURO,35229.0,254805,426.0,7108
2020-12-06,SE,Sweden,EURO,37787.0,292592,445.0,7553
2020-12-13,SE,Sweden,EURO,42377.0,334969,510.0,8063
2020-12-20,SE,Sweden,EURO,45482.0,380451,622.0,8685
2020-12-27,SE,Sweden,EURO,37678.0,418129,638.0,9323
2021-01-03,SE,Sweden,EURO,41777.0,459906,679.0,10002
2021-01-10,SE,Sweden,EURO,39883.0,499789,635.0,10637
2021-01-17,SE,Sweden,EURO,30002.0,529791,629.0,11266
2021-01-24,SE,Sweden,EURO,23325.0,553116,523.0,11789
2021-01-31,SE,Sweden,EURO,20638.0,573754,401.0,12190
2021-02-07,SE,Sweden,EURO,19755.0,593509,279.0,12469
2021-02-14,SE,Sweden,EURO,21083.0,614592,206.0,12675
2021-02-21,SE,Sweden,EURO,23225.0,637817,179.0,12854
2021-02-28,SE,Sweden,EURO,27037.0,664854,142.0,12996
2021-03-07,SE,Sweden,EURO,27531.0,692385,137.0,13133
2021-03-14,SE,Sweden,EURO,28966.0,721351,136.0,13269
2021-03-21,SE,Sweden,EURO,32493.0,753844,131.0,13400
2021-03-28,SE,Sweden,EURO,37479.0,791323,127.0,13527
2021-04-04,SE,Sweden,EURO,38914.0,830237,145.0,13672
2021-04-11,SE,Sweden,EURO,40200.0,870437,130.0,13802
2021-04-18,SE,Sweden,EURO,40911.0,911348,142.0,13944
2021-04-25,SE,Sweden,EURO,36788.0,948136,127.0,14071
2021-05-02,SE,Sweden,EURO,35344.0,983480,123.0,14194
2021-05-09,SE,Sweden,EURO,33738.0,1017218,103.0,14297
2021-05-16,SE,Sweden,EURO,26165.0,1043383,114.0,14411
2021-05-23,SE,Sweden,EURO,18960.0,1062343,72.0,14483
2021-05-30,SE,Sweden,EURO,6645.0,1068988,50.0,14533
2021-06-06,SE,Sweden,EURO,10821.0,1079809,44.0,14577
2021-06-13,SE,Sweden,EURO,4459.0,1084268,25.0,14602
2021-06-20,SE,Sweden,EURO,3006.0,1087274,14.0,14616
2021-06-27,SE,Sweden,EURO,1976.0,1089250,12.0,14628
2021-07-04,SE,Sweden,EURO,1877.0,1091127,8.0,14636
2021-07-11,SE,Sweden,EURO,1516.0,1092643,2.0,14638
2021-07-18,SE,Sweden,EURO,1877.0,1094520,3.0,14641
2021-07-25,SE,Sweden,EURO,2665.0,1097185,3.0,14644
2021-08-01,SE,Sweden,EURO,3462.0,1100647,4.0,14648
2021-08-08,SE,Sweden,EURO,4609.0,1105256,5.0,14653
2021-08-15,SE,Sweden,EURO,5812.0,1111068,8.0,14661
2021-08-22,SE,Sweden,EURO,6471.0,1117539,10.0,14671
2021-08-29,SE,Sweden,EURO,6686.0,1124225,17.0,14688
2021-09-05,SE,Sweden,EURO,7235.0,1131460,24.0,14712
2021-09-12,SE,Sweden,EURO,7984.0,1139444,47.0,14759
2021-09-19,SE,Sweden,EURO,6268.0,1145712,54.0,14813
2021-09-26,SE,Sweden,EURO,4304.0,1150016,44.0,14857
2021-10-03,SE,Sweden,EURO,4244.0,1154260,36.0,14893
2021-10-10,SE,Sweden,EURO,4132.0,1158392,53.0,14946
2021-10-17,SE,Sweden,EURO,4083.0,1162475,32.0,14978
2021-10-24,SE,Sweden,EURO,4884.0,1167359,27.0,15005
2021-10-31,SE,Sweden,EURO,5933.0,1173292,27.0,15032
2021-11-07,SE,Sweden,EURO,5088.0,1178380,34.0,15066
2021-11-14,SE,Sweden,EURO,5792.0,1184172,31.0,15097
2021-11-21,SE,Sweden,EURO,6931.0,1191103,30.0,15127
2021-11-28,SE,Sweden,EURO,11523.0,1202626,16.0,15143
2021-12-05,SE,Sweden,EURO,13760.0,1216386,25.0,15168
2021-12-12,SE,Sweden,EURO,18112.0,1234498,41.0,15209
2021-12-19,SE,Sweden,EURO,23958.0,1258456,46.0,15255
2021-12-26,SE,Sweden,EURO,28152.0,1286608,47.0,15302
2022-01-02,SE,Sweden,EURO,55443.0,1342051,63.0,15365
2022-01-09,SE,Sweden,EURO,114584.0,1456635,126.0,15491
2022-01-16,SE,Sweden,EURO,159272.0,1615907,153.0,15644
2022-01-23,SE,Sweden,EURO,247473.0,1863380,247.0,15891
2022-01-30,SE,Sweden,EURO,281038.0,2144418,296.0,16187
2022-02-06,SE,Sweden,EURO,190729.0,2335147,351.0,16538
2022-02-13,SE,Sweden,EURO,71262.0,2406409,331.0,16869
2022-02-20,SE,Sweden,EURO,22263.0,2428672,373.0,17242
2022-02-27,SE,Sweden,EURO,17695.0,2446367,322.0,17564
2022-03-06,SE,Sweden,EURO,13503.0,2459870,271.0,17835
2022-03-13,SE,Sweden,EURO,10035.0,2469905,207.0,18042
2022-03-20,SE,Sweden,EURO,8568.0,2478473,208.0,18250
2022-03-27,SE,Sweden,EURO,7138.0,2485611,164.0,18414
2022-04-03,SE,Sweden,EURO,5017.0,2490628,118.0,18532
2022-04-10,SE,Sweden,EURO,4089.0,2494717,121.0,18653
2022-04-17,SE,Sweden,EURO,3147.0,2497864,77.0,18730
2022-04-24,SE,Sweden,EURO,2568.0,2500432,75.0,18805
2022-05-01,SE,Sweden,EURO,2302.0,2502734,51.0,18856
2022-05-08,SE,Sweden,EURO,1972.0,2504706,50.0,18906
2022-05-15,SE,Sweden,EURO,1643.0,2506349,42.0,18948
2022-05-22,SE,Sweden,EURO,1830.0,2508179,46.0,18994
2022-05-29,SE,Sweden,EURO,1324.0,2509503,27.0,19021
2022-06-05,SE,Sweden,EURO,1256.0,2510759,26.0,19047
2022-06-12,SE,Sweden,EURO,1865.0,2512624,21.0,19068
2022-06-19,SE,Sweden,EURO,2103.0,2514727,29.0,19097
2022-06-26,SE,Sweden,EURO,3091.0,2517818,32.0,19129
2022-07-03,SE,Sweden,EURO,4074.0,2521892,38.0,19167
2022-07-10,SE,Sweden,EURO,4171.0,2526063,61.0,19228
2022-07-17,SE,Sweden,EURO,5417.0,2531480,59.0,19287
2022-07-24,SE,Sweden,EURO,5974.0,2537454,110.0,19397
2022-07-31,SE,Sweden,EURO,5709.0,2543163,96.0,19493
2022-08-07,SE,Sweden,EURO,6223.0,2549386,113.0,19606
2022-08-14,SE,Sweden,EURO,6644.0,2556030,115.0,19721
2022-08-21,SE,Sweden,EURO,6640.0,2562670,135.0,19856
2022-08-28,SE,Sweden,EURO,5067.0,2567737,93.0,19949
2022-09-04,SE,Sweden,EURO,4770.0,2572507,98.0,20047
2022-09-11,SE,Sweden,EURO,5077.0,2577584,82.0,20129
2022-09-18,SE,Sweden,EURO,5055.0,2582639,95.0,20224
2022-09-25,SE,Sweden,EURO,4963.0,2587602,96.0,20320
2022-10-02,SE,Sweden,EURO,13579.0,2601181,97.0,20417
2022-10-09,SE,Sweden,EURO,3965.0,2605146,98.0,20515
2022-10-16,SE,Sweden,EURO,3427.0,2608573,91.0,20606
2022-10-23,SE,Sweden,EURO,3297.0,2611870,91.0,20697
2022-10-30,SE,Sweden,EURO,3482.0,2615352,89.0,20786
2022-11-06,SE,Sweden,EURO,3412.0,2618764,69.0,20855
2022-11-13,SE,Sweden,EURO,3759.0,2622523,94.0,20949
2022-11-20,SE,Sweden,EURO,3632.0,2626155,87.0,21036
2022-11-27,SE,Sweden,EURO,4231.0,2630386,93.0,21129
2022-12-04,SE,Sweden,EURO,6562.0,2636948,108.0,21237
2022-12-11,SE,Sweden,EURO,9637.0,2646585,158.0,21395
2022-12-18,SE,Sweden,EURO,12616.0,2659201,247.0,21642
2022-12-25,SE,Sweden,EURO,12680.0,2671881,361.0,22003
2023-01-01,SE,Sweden,EURO,9197.0,2681078,370.0,22373
2023-01-08,SE,Sweden,EURO,5953.0,2687031,403.0,22776
2023-01-15,SE,Sweden,EURO,3815.0,2690846,302.0,23078
2023-01-22,SE,Sweden,EURO,2002.0,2692848,230.0,23308
2023-01-29,SE,Sweden,EURO,1411.0,2694259,145.0,23453
2023-02-05,SE,Sweden,EURO,1339.0,2695598,97.0,23550
2023-02-12,SE,Sweden,EURO,1066.0,2696664,70.0,23620
2023-02-19,SE,Sweden,EURO,823.0,2697487,50.0,23670
2023-02-26,SE,Sweden,EURO,642.0,2698129,38.0,23708
2023-03-05,SE,Sweden,EURO,710.0,2698839,51.0,23759
2023-03-12,SE,Sweden,EURO,858.0,2699697,29.0,23788
2023-03-19,SE,Sweden,EURO,878.0,2700575,33.0,23821
2023-03-26,SE,Sweden,EURO,64.0,2700639,4.0,23825
2023-04-02,SE,Sweden,EURO,1048.0,2701687,54.0,23879
2023-04-09,SE,Sweden,EURO,1016.0,2702703,47.0,23926
2023-04-16,SE,Sweden,EURO,1048.0,2703751,51.0,23977
2023-04-23,SE,Sweden,EURO,1197.0,2704948,55.0,24032
2023-04-30,SE,Sweden,EURO,1171.0,2706119,70.0,24102
2023-05-07,SE,Sweden,EURO,1050.0,2707169,79.0,24181
