Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-03-08,SI,Slovenia,EURO,20.0,20,0.0,0
2020-03-15,SI,Slovenia,EURO,230.0,250,1.0,1
2020-03-22,SI,Slovenia,EURO,192.0,442,1.0,2
2020-03-29,SI,Slovenia,EURO,315.0,757,11.0,13
2020-04-05,SI,Slovenia,EURO,264.0,1021,20.0,33
2020-04-12,SI,Slovenia,EURO,192.0,1213,28.0,61
2020-04-19,SI,Slovenia,EURO,123.0,1336,22.0,83
2020-04-26,SI,Slovenia,EURO,67.0,1403,7.0,90
2020-05-03,SI,Slovenia,EURO,36.0,1439,15.0,105
2020-05-10,SI,Slovenia,EURO,21.0,1460,5.0,110
2020-05-17,SI,Slovenia,EURO,6.0,1466,1.0,111
2020-05-24,SI,Slovenia,EURO,3.0,1469,2.0,113
2020-05-31,SI,Slovenia,EURO,4.0,1473,0.0,113
2020-06-07,SI,Slovenia,EURO,12.0,1485,1.0,114
2020-06-14,SI,Slovenia,EURO,11.0,1496,0.0,114
2020-06-21,SI,Slovenia,EURO,25.0,1521,0.0,114
2020-06-28,SI,Slovenia,EURO,63.0,1584,0.0,114
2020-07-05,SI,Slovenia,EURO,132.0,1716,0.0,114
2020-07-12,SI,Slovenia,EURO,134.0,1850,0.0,114
2020-07-19,SI,Slovenia,EURO,104.0,1954,1.0,115
2020-07-26,SI,Slovenia,EURO,134.0,2088,4.0,119
2020-08-02,SI,Slovenia,EURO,94.0,2182,5.0,124
2020-08-09,SI,Slovenia,EURO,74.0,2256,6.0,130
2020-08-16,SI,Slovenia,EURO,174.0,2430,1.0,131
2020-08-23,SI,Slovenia,EURO,236.0,2666,2.0,133
2020-08-30,SI,Slovenia,EURO,218.0,2884,0.0,133
2020-09-06,SI,Slovenia,EURO,307.0,3191,1.0,134
2020-09-13,SI,Slovenia,EURO,559.0,3750,3.0,137
2020-09-20,SI,Slovenia,EURO,721.0,4471,8.0,145
2020-09-27,SI,Slovenia,EURO,919.0,5390,10.0,155
2020-10-04,SI,Slovenia,EURO,1186.0,6576,7.0,162
2020-10-11,SI,Slovenia,EURO,2258.0,8834,17.0,179
2020-10-18,SI,Slovenia,EURO,4852.0,13686,34.0,213
2020-10-25,SI,Slovenia,EURO,10427.0,24113,76.0,289
2020-11-01,SI,Slovenia,EURO,12106.0,36219,153.0,442
2020-11-08,SI,Slovenia,EURO,9437.0,45656,204.0,646
2020-11-15,SI,Slovenia,EURO,9927.0,55583,270.0,916
2020-11-22,SI,Slovenia,EURO,10215.0,65798,291.0,1207
2020-11-29,SI,Slovenia,EURO,10073.0,75871,362.0,1569
2020-12-06,SI,Slovenia,EURO,10459.0,86330,404.0,1973
2020-12-13,SI,Slovenia,EURO,10455.0,96785,353.0,2326
2020-12-20,SI,Slovenia,EURO,9517.0,106302,298.0,2624
2020-12-27,SI,Slovenia,EURO,9109.0,115411,257.0,2881
2021-01-03,SI,Slovenia,EURO,10550.0,125961,248.0,3129
2021-01-10,SI,Slovenia,EURO,13866.0,139827,201.0,3330
2021-01-17,SI,Slovenia,EURO,9749.0,149576,191.0,3521
2021-01-24,SI,Slovenia,EURO,8703.0,158279,187.0,3708
2021-01-31,SI,Slovenia,EURO,8642.0,166921,149.0,3857
2021-02-07,SI,Slovenia,EURO,7100.0,174021,119.0,3976
2021-02-14,SI,Slovenia,EURO,5716.0,179737,91.0,4067
2021-02-21,SI,Slovenia,EURO,5261.0,184998,41.0,4108
2021-02-28,SI,Slovenia,EURO,5427.0,190425,66.0,4174
2021-03-07,SI,Slovenia,EURO,5370.0,195795,38.0,4212
2021-03-14,SI,Slovenia,EURO,4876.0,200671,46.0,4258
2021-03-21,SI,Slovenia,EURO,5797.0,206468,49.0,4307
2021-03-28,SI,Slovenia,EURO,6659.0,213127,53.0,4360
2021-04-04,SI,Slovenia,EURO,7472.0,220599,61.0,4421
2021-04-11,SI,Slovenia,EURO,6378.0,226977,44.0,4465
2021-04-18,SI,Slovenia,EURO,5523.0,232500,46.0,4511
2021-04-25,SI,Slovenia,EURO,4851.0,237351,55.0,4566
2021-05-02,SI,Slovenia,EURO,4680.0,242031,52.0,4618
2021-05-09,SI,Slovenia,EURO,4280.0,246311,31.0,4649
2021-05-16,SI,Slovenia,EURO,3196.0,249507,29.0,4678
2021-05-23,SI,Slovenia,EURO,2351.0,251858,19.0,4697
2021-05-30,SI,Slovenia,EURO,1955.0,253813,19.0,4716
2021-06-06,SI,Slovenia,EURO,1711.0,255524,14.0,4730
2021-06-13,SI,Slovenia,EURO,1033.0,256557,20.0,4750
2021-06-20,SI,Slovenia,EURO,532.0,257089,9.0,4759
2021-06-27,SI,Slovenia,EURO,251.0,257340,6.0,4765
2021-07-04,SI,Slovenia,EURO,177.0,257517,1.0,4766
2021-07-11,SI,Slovenia,EURO,387.0,257904,8.0,4774
2021-07-18,SI,Slovenia,EURO,377.0,258281,0.0,4774
2021-07-25,SI,Slovenia,EURO,473.0,258754,1.0,4775
2021-08-01,SI,Slovenia,EURO,631.0,259385,1.0,4776
2021-08-08,SI,Slovenia,EURO,849.0,260234,1.0,4777
2021-08-15,SI,Slovenia,EURO,1333.0,261567,0.0,4777
2021-08-22,SI,Slovenia,EURO,2173.0,263740,9.0,4786
2021-08-29,SI,Slovenia,EURO,3001.0,266741,10.0,4796
2021-09-05,SI,Slovenia,EURO,3889.0,270630,8.0,4804
2021-09-12,SI,Slovenia,EURO,5927.0,276557,21.0,4825
2021-09-19,SI,Slovenia,EURO,7321.0,283878,36.0,4861
2021-09-26,SI,Slovenia,EURO,6190.0,290068,45.0,4906
2021-10-03,SI,Slovenia,EURO,6135.0,296203,54.0,4960
2021-10-10,SI,Slovenia,EURO,5560.0,301763,50.0,5010
