Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-04-05,SL,Sierra Leone,AFRO,4.0,4,0.0,0
2020-04-12,SL,Sierra Leone,AFRO,6.0,10,0.0,0
2020-04-19,SL,Sierra Leone,AFRO,20.0,30,0.0,0
2020-04-26,SL,Sierra Leone,AFRO,56.0,86,4.0,4
2020-05-03,SL,Sierra Leone,AFRO,69.0,155,5.0,9
2020-05-10,SL,Sierra Leone,AFRO,136.0,291,10.0,19
2020-05-17,SL,Sierra Leone,AFRO,171.0,462,11.0,30
2020-05-24,SL,Sierra Leone,AFRO,159.0,621,10.0,40
2020-05-31,SL,Sierra Leone,AFRO,231.0,852,7.0,47
2020-06-07,SL,Sierra Leone,AFRO,94.0,946,2.0,49
2020-06-14,SL,Sierra Leone,AFRO,186.0,1132,3.0,52
2020-06-21,SL,Sierra Leone,AFRO,177.0,1309,2.0,54
2020-06-28,SL,Sierra Leone,AFRO,101.0,1410,6.0,60
2020-07-05,SL,Sierra Leone,AFRO,123.0,1533,3.0,63
2020-07-12,SL,Sierra Leone,AFRO,85.0,1618,1.0,64
2020-07-19,SL,Sierra Leone,AFRO,83.0,1701,1.0,65
2020-07-26,SL,Sierra Leone,AFRO,67.0,1768,0.0,65
2020-08-02,SL,Sierra Leone,AFRO,67.0,1835,3.0,68
2020-08-09,SL,Sierra Leone,AFRO,60.0,1895,1.0,69
2020-08-16,SL,Sierra Leone,AFRO,59.0,1954,1.0,70
2020-08-23,SL,Sierra Leone,AFRO,26.0,1980,0.0,70
2020-08-30,SL,Sierra Leone,AFRO,39.0,2019,1.0,71
2020-09-06,SL,Sierra Leone,AFRO,24.0,2043,1.0,72
2020-09-13,SL,Sierra Leone,AFRO,53.0,2096,1.0,73
2020-09-20,SL,Sierra Leone,AFRO,63.0,2159,0.0,73
2020-09-27,SL,Sierra Leone,AFRO,49.0,2208,0.0,73
2020-10-04,SL,Sierra Leone,AFRO,51.0,2259,0.0,73
2020-10-11,SL,Sierra Leone,AFRO,41.0,2300,0.0,73
2020-10-18,SL,Sierra Leone,AFRO,27.0,2327,1.0,74
2020-10-25,SL,Sierra Leone,AFRO,18.0,2345,1.0,75
2020-11-01,SL,Sierra Leone,AFRO,21.0,2366,0.0,75
2020-11-08,SL,Sierra Leone,AFRO,15.0,2381,0.0,75
2020-11-15,SL,Sierra Leone,AFRO,10.0,2391,0.0,75
2020-11-22,SL,Sierra Leone,AFRO,14.0,2405,0.0,75
2020-11-29,SL,Sierra Leone,AFRO,5.0,2410,0.0,75
2020-12-06,SL,Sierra Leone,AFRO,10.0,2420,0.0,75
2020-12-13,SL,Sierra Leone,AFRO,20.0,2440,1.0,76
2020-12-20,SL,Sierra Leone,AFRO,57.0,2497,0.0,76
2020-12-27,SL,Sierra Leone,AFRO,52.0,2549,0.0,76
2021-01-03,SL,Sierra Leone,AFRO,97.0,2646,0.0,76
2021-01-10,SL,Sierra Leone,AFRO,157.0,2803,1.0,77
2021-01-17,SL,Sierra Leone,AFRO,167.0,2970,0.0,77
2021-01-24,SL,Sierra Leone,AFRO,150.0,3120,0.0,77
2021-01-31,SL,Sierra Leone,AFRO,408.0,3528,2.0,79
2021-02-07,SL,Sierra Leone,AFRO,244.0,3772,0.0,79
2021-02-14,SL,Sierra Leone,AFRO,49.0,3821,0.0,79
2021-02-21,SL,Sierra Leone,AFRO,28.0,3849,0.0,79
2021-02-28,SL,Sierra Leone,AFRO,38.0,3887,0.0,79
2021-03-07,SL,Sierra Leone,AFRO,31.0,3918,0.0,79
2021-03-14,SL,Sierra Leone,AFRO,19.0,3937,0.0,79
2021-03-21,SL,Sierra Leone,AFRO,11.0,3948,0.0,79
2021-03-28,SL,Sierra Leone,AFRO,14.0,3962,0.0,79
2021-04-04,SL,Sierra Leone,AFRO,25.0,3987,0.0,79
2021-04-11,SL,Sierra Leone,AFRO,8.0,3995,0.0,79
2021-04-18,SL,Sierra Leone,AFRO,25.0,4020,0.0,79
2021-04-25,SL,Sierra Leone,AFRO,24.0,4044,0.0,79
2021-05-02,SL,Sierra Leone,AFRO,13.0,4057,0.0,79
2021-05-09,SL,Sierra Leone,AFRO,11.0,4068,0.0,79
2021-05-16,SL,Sierra Leone,AFRO,37.0,4105,0.0,79
2021-05-23,SL,Sierra Leone,AFRO,16.0,4121,0.0,79
2021-05-30,SL,Sierra Leone,AFRO,20.0,4141,0.0,79
2021-06-06,SL,Sierra Leone,AFRO,47.0,4188,0.0,79
2021-06-13,SL,Sierra Leone,AFRO,124.0,4312,3.0,82
2021-06-20,SL,Sierra Leone,AFRO,390.0,4702,0.0,82
2021-06-27,SL,Sierra Leone,AFRO,604.0,5306,11.0,93
2021-07-04,SL,Sierra Leone,AFRO,442.0,5748,11.0,104
