Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-03-08,SN,Senegal,AFRO,4.0,4,0.0,0
2020-03-15,SN,Senegal,AFRO,23.0,27,0.0,0
2020-03-22,SN,Senegal,AFRO,43.0,70,0.0,0
2020-03-29,SN,Senegal,AFRO,74.0,144,0.0,0
2020-04-05,SN,Senegal,AFRO,80.0,224,0.0,0
2020-04-12,SN,Senegal,AFRO,66.0,290,0.0,0
2020-04-19,SN,Senegal,AFRO,49.0,339,0.0,0
2020-04-26,SN,Senegal,AFRO,181.0,520,0.0,0
2020-05-03,SN,Senegal,AFRO,595.0,1115,0.0,0
2020-05-10,SN,Senegal,AFRO,519.0,1634,0.0,0
2020-05-17,SN,Senegal,AFRO,795.0,2429,0.0,0
2020-05-24,SN,Senegal,AFRO,547.0,2976,0.0,0
2020-05-31,SN,Senegal,AFRO,559.0,3535,0.0,0
2020-06-07,SN,Senegal,AFRO,714.0,4249,0.0,0
2020-06-14,SN,Senegal,AFRO,747.0,4996,0.0,0
2020-06-21,SN,Senegal,AFRO,787.0,5783,0.0,0
2020-06-28,SN,Senegal,AFRO,676.0,6459,0.0,0
2020-07-05,SN,Senegal,AFRO,813.0,7272,0.0,0
2020-07-12,SN,Senegal,AFRO,742.0,8014,148.0,148
2020-07-19,SN,Senegal,AFRO,655.0,8669,19.0,167
2020-07-26,SN,Senegal,AFRO,883.0,9552,24.0,191
2020-08-02,SN,Senegal,AFRO,732.0,10284,18.0,209
2020-08-09,SN,Senegal,AFRO,719.0,11003,23.0,232
2020-08-16,SN,Senegal,AFRO,1029.0,12032,21.0,253
2020-08-23,SN,Senegal,AFRO,818.0,12850,16.0,269
2020-08-30,SN,Senegal,AFRO,606.0,13456,15.0,284
2020-09-06,SN,Senegal,AFRO,492.0,13948,6.0,290
2020-09-13,SN,Senegal,AFRO,289.0,14237,7.0,297
2020-09-20,SN,Senegal,AFRO,451.0,14688,5.0,302
2020-09-27,SN,Senegal,AFRO,181.0,14869,6.0,308
2020-10-04,SN,Senegal,AFRO,199.0,15068,4.0,312
2020-10-11,SN,Senegal,AFRO,176.0,15244,2.0,314
2020-10-18,SN,Senegal,AFRO,148.0,15392,3.0,317
2020-10-25,SN,Senegal,AFRO,151.0,15543,4.0,321
2020-11-01,SN,Senegal,AFRO,73.0,15616,4.0,325
2020-11-08,SN,Senegal,AFRO,77.0,15693,1.0,326
2020-11-15,SN,Senegal,AFRO,86.0,15779,1.0,327
2020-11-22,SN,Senegal,AFRO,86.0,15865,3.0,330
2020-11-29,SN,Senegal,AFRO,162.0,16027,3.0,333
2020-12-06,SN,Senegal,AFRO,370.0,16397,4.0,337
2020-12-13,SN,Senegal,AFRO,664.0,17061,12.0,349
2020-12-20,SN,Senegal,AFRO,609.0,17670,12.0,361
2020-12-27,SN,Senegal,AFRO,853.0,18523,26.0,387
2021-01-03,SN,Senegal,AFRO,988.0,19511,29.0,416
2021-01-10,SN,Senegal,AFRO,1489.0,21000,43.0,459
2021-01-17,SN,Senegal,AFRO,1738.0,22738,50.0,509
2021-01-24,SN,Senegal,AFRO,1722.0,24460,60.0,569
2021-01-31,SN,Senegal,AFRO,1753.0,26213,52.0,621
