Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-03-22,SO,Somalia,EMRO,1.0,1,0.0,0
2020-03-29,SO,Somalia,EMRO,2.0,3,0.0,0
2020-04-05,SO,Somalia,EMRO,4.0,7,0.0,0
2020-04-12,SO,Somalia,EMRO,14.0,21,1.0,1
2020-04-19,SO,Somalia,EMRO,114.0,135,6.0,7
2020-04-26,SO,Somalia,EMRO,255.0,390,11.0,18
2020-05-03,SO,Somalia,EMRO,281.0,671,13.0,31
2020-05-10,SO,Somalia,EMRO,326.0,997,17.0,48
2020-05-17,SO,Somalia,EMRO,360.0,1357,7.0,55
2020-05-24,SO,Somalia,EMRO,237.0,1594,6.0,61
2020-05-31,SO,Somalia,EMRO,322.0,1916,12.0,73
2020-06-07,SO,Somalia,EMRO,373.0,2289,9.0,82
2020-06-14,SO,Somalia,EMRO,290.0,2579,5.0,87
2020-06-21,SO,Somalia,EMRO,176.0,2755,1.0,88
2020-06-28,SO,Somalia,EMRO,123.0,2878,2.0,90
2020-07-05,SO,Somalia,EMRO,83.0,2961,2.0,92
2020-07-12,SO,Somalia,EMRO,90.0,3051,0.0,92
2020-07-19,SO,Somalia,EMRO,60.0,3111,1.0,93
2020-07-26,SO,Somalia,EMRO,67.0,3178,0.0,93
2020-08-02,SO,Somalia,EMRO,34.0,3212,0.0,93
2020-08-09,SO,Somalia,EMRO,15.0,3227,0.0,93
2020-08-16,SO,Somalia,EMRO,29.0,3256,0.0,93
2020-08-23,SO,Somalia,EMRO,13.0,3269,0.0,93
2020-08-30,SO,Somalia,EMRO,41.0,3310,4.0,97
2020-09-06,SO,Somalia,EMRO,52.0,3362,0.0,97
2020-09-13,SO,Somalia,EMRO,14.0,3376,1.0,98
2020-09-20,SO,Somalia,EMRO,25.0,3401,0.0,98
2020-09-27,SO,Somalia,EMRO,187.0,3588,1.0,99
2020-10-04,SO,Somalia,EMRO,5.0,3593,0.0,99
2020-10-11,SO,Somalia,EMRO,254.0,3847,0.0,99
2020-10-18,SO,Somalia,EMRO,17.0,3864,0.0,99
2020-10-25,SO,Somalia,EMRO,33.0,3897,3.0,102
2020-11-01,SO,Somalia,EMRO,44.0,3941,2.0,104
2020-11-08,SO,Somalia,EMRO,288.0,4229,3.0,107
2020-11-15,SO,Somalia,EMRO,72.0,4301,0.0,107
2020-11-22,SO,Somalia,EMRO,81.0,4382,1.0,108
2020-11-29,SO,Somalia,EMRO,69.0,4451,5.0,113
2020-12-06,SO,Somalia,EMRO,74.0,4525,8.0,121
2020-12-13,SO,Somalia,EMRO,54.0,4579,0.0,121
2020-12-20,SO,Somalia,EMRO,83.0,4662,3.0,124
2020-12-27,SO,Somalia,EMRO,28.0,4690,3.0,127
