Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-04-12,SS,South Sudan,AFRO,4.0,4,0.0,0
2020-04-19,SS,South Sudan,AFRO,0.0,4,0.0,0
2020-04-26,SS,South Sudan,AFRO,2.0,6,0.0,0
2020-05-03,SS,South Sudan,AFRO,40.0,46,0.0,0
2020-05-10,SS,South Sudan,AFRO,74.0,120,0.0,0
2020-05-17,SS,South Sudan,AFRO,165.0,285,6.0,6
2020-05-24,SS,South Sudan,AFRO,370.0,655,4.0,10
2020-05-31,SS,South Sudan,AFRO,492.0,1147,4.0,14
2020-06-07,SS,South Sudan,AFRO,326.0,1473,8.0,22
2020-06-14,SS,South Sudan,AFRO,220.0,1693,7.0,29
2020-06-21,SS,South Sudan,AFRO,189.0,1882,7.0,36
2020-06-28,SS,South Sudan,AFRO,84.0,1966,2.0,38
2020-07-05,SS,South Sudan,AFRO,99.0,2065,4.0,42
2020-07-12,SS,South Sudan,AFRO,80.0,2145,1.0,43
2020-07-19,SS,South Sudan,AFRO,55.0,2200,2.0,45
2020-07-26,SS,South Sudan,AFRO,86.0,2286,2.0,47
2020-08-02,SS,South Sudan,AFRO,143.0,2429,1.0,48
2020-08-09,SS,South Sudan,AFRO,42.0,2471,1.0,49
2020-08-16,SS,South Sudan,AFRO,18.0,2489,0.0,49
2020-08-23,SS,South Sudan,AFRO,15.0,2504,0.0,49
2020-08-30,SS,South Sudan,AFRO,21.0,2525,0.0,49
2020-09-06,SS,South Sudan,AFRO,19.0,2544,1.0,50
2020-09-13,SS,South Sudan,AFRO,40.0,2584,1.0,51
2020-09-20,SS,South Sudan,AFRO,60.0,2644,0.0,51
2020-09-27,SS,South Sudan,AFRO,48.0,2692,0.0,51
2020-10-04,SS,South Sudan,AFRO,34.0,2726,1.0,52
2020-10-11,SS,South Sudan,AFRO,61.0,2787,5.0,57
2020-10-18,SS,South Sudan,AFRO,55.0,2842,0.0,57
2020-10-25,SS,South Sudan,AFRO,41.0,2883,1.0,58
2020-11-01,SS,South Sudan,AFRO,43.0,2926,3.0,61
2020-11-08,SS,South Sudan,AFRO,34.0,2960,0.0,61
2020-11-15,SS,South Sudan,AFRO,54.0,3014,0.0,61
2020-11-22,SS,South Sudan,AFRO,70.0,3084,1.0,62
2020-11-29,SS,South Sudan,AFRO,23.0,3107,0.0,62
2020-12-06,SS,South Sudan,AFRO,67.0,3174,1.0,63
