Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-04-12,ST,Sao Tome and Principe,AFRO,4.0,4,0.0,0
2020-04-19,ST,Sao Tome and Principe,AFRO,0.0,4,0.0,0
2020-04-26,ST,Sao Tome and Principe,AFRO,4.0,8,0.0,0
2020-05-03,ST,Sao Tome and Principe,AFRO,15.0,23,4.0,4
2020-05-10,ST,Sao Tome and Principe,AFRO,189.0,212,1.0,5
2020-05-17,ST,Sao Tome and Principe,AFRO,28.0,240,5.0,10
2020-05-24,ST,Sao Tome and Principe,AFRO,51.0,291,2.0,12
2020-05-31,ST,Sao Tome and Principe,AFRO,188.0,479,1.0,13
2020-06-07,ST,Sao Tome and Principe,AFRO,34.0,513,0.0,13
2020-06-14,ST,Sao Tome and Principe,AFRO,146.0,659,0.0,13
2020-06-21,ST,Sao Tome and Principe,AFRO,39.0,698,0.0,13
2020-06-28,ST,Sao Tome and Principe,AFRO,15.0,713,0.0,13
2020-07-05,ST,Sao Tome and Principe,AFRO,6.0,719,0.0,13
2020-07-12,ST,Sao Tome and Principe,AFRO,8.0,727,1.0,14
2020-07-19,ST,Sao Tome and Principe,AFRO,16.0,743,0.0,14
2020-07-26,ST,Sao Tome and Principe,AFRO,119.0,862,0.0,14
2020-08-02,ST,Sao Tome and Principe,AFRO,12.0,874,1.0,15
2020-08-09,ST,Sao Tome and Principe,AFRO,4.0,878,0.0,15
2020-08-16,ST,Sao Tome and Principe,AFRO,7.0,885,0.0,15
2020-08-23,ST,Sao Tome and Principe,AFRO,7.0,892,0.0,15
2020-08-30,ST,Sao Tome and Principe,AFRO,3.0,895,0.0,15
2020-09-06,ST,Sao Tome and Principe,AFRO,3.0,898,0.0,15
2020-09-13,ST,Sao Tome and Principe,AFRO,8.0,906,0.0,15
2020-09-20,ST,Sao Tome and Principe,AFRO,2.0,908,0.0,15
2020-09-27,ST,Sao Tome and Principe,AFRO,3.0,911,0.0,15
2020-10-04,ST,Sao Tome and Principe,AFRO,2.0,913,0.0,15
2020-10-11,ST,Sao Tome and Principe,AFRO,9.0,922,0.0,15
2020-10-18,ST,Sao Tome and Principe,AFRO,10.0,932,0.0,15
2020-10-25,ST,Sao Tome and Principe,AFRO,8.0,940,0.0,15
2020-11-01,ST,Sao Tome and Principe,AFRO,5.0,945,1.0,16
2020-11-08,ST,Sao Tome and Principe,AFRO,17.0,962,0.0,16
2020-11-15,ST,Sao Tome and Principe,AFRO,2.0,964,0.0,16
2020-11-22,ST,Sao Tome and Principe,AFRO,15.0,979,1.0,17
2020-11-29,ST,Sao Tome and Principe,AFRO,6.0,985,0.0,17
2020-12-06,ST,Sao Tome and Principe,AFRO,14.0,999,0.0,17
2020-12-13,ST,Sao Tome and Principe,AFRO,10.0,1009,0.0,17
2020-12-20,ST,Sao Tome and Principe,AFRO,3.0,1012,0.0,17
2020-12-27,ST,Sao Tome and Principe,AFRO,2.0,1014,0.0,17
2021-01-03,ST,Sao Tome and Principe,AFRO,10.0,1024,0.0,17
2021-01-10,ST,Sao Tome and Principe,AFRO,42.0,1066,0.0,17
2021-01-17,ST,Sao Tome and Principe,AFRO,64.0,1130,0.0,17
2021-01-24,ST,Sao Tome and Principe,AFRO,52.0,1182,0.0,17
2021-01-31,ST,Sao Tome and Principe,AFRO,74.0,1256,0.0,17
2021-02-07,ST,Sao Tome and Principe,AFRO,83.0,1339,1.0,18
