Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-03-22,SV,El Salvador,AMRO,1.0,1,0.0,0
2020-03-29,SV,El Salvador,AMRO,18.0,19,0.0,0
2020-04-05,SV,El Salvador,AMRO,37.0,56,3.0,3
2020-04-12,SV,El Salvador,AMRO,62.0,118,3.0,6
2020-04-19,SV,El Salvador,AMRO,72.0,190,1.0,7
2020-04-26,SV,El Salvador,AMRO,84.0,274,1.0,8
2020-05-03,SV,El Salvador,AMRO,172.0,446,2.0,10
2020-05-10,SV,El Salvador,AMRO,338.0,784,6.0,16
2020-05-17,SV,El Salvador,AMRO,481.0,1265,9.0,25
2020-05-24,SV,El Salvador,AMRO,554.0,1819,8.0,33
2020-05-31,SV,El Salvador,AMRO,576.0,2395,11.0,44
2020-06-07,SV,El Salvador,AMRO,539.0,2934,9.0,53
2020-06-14,SV,El Salvador,AMRO,669.0,3603,19.0,72
2020-06-21,SV,El Salvador,AMRO,872.0,4475,21.0,93
2020-06-28,SV,El Salvador,AMRO,1252.0,5727,50.0,143
2020-07-05,SV,El Salvador,AMRO,1780.0,7507,67.0,210
2020-07-12,SV,El Salvador,AMRO,1884.0,9391,44.0,254
2020-07-19,SV,El Salvador,AMRO,2117.0,11508,70.0,324
2020-07-26,SV,El Salvador,AMRO,2713.0,14221,66.0,390
2020-08-02,SV,El Salvador,AMRO,2829.0,17050,69.0,459
2020-08-09,SV,El Salvador,AMRO,2928.0,19978,77.0,536
2020-08-16,SV,El Salvador,AMRO,2641.0,22619,67.0,603
2020-08-23,SV,El Salvador,AMRO,1801.0,24420,51.0,654
2020-08-30,SV,El Salvador,AMRO,1117.0,25537,54.0,708
2020-09-06,SV,El Salvador,AMRO,669.0,26206,44.0,752
2020-09-13,SV,El Salvador,AMRO,645.0,26851,30.0,782
2020-09-20,SV,El Salvador,AMRO,577.0,27428,26.0,808
2020-09-27,SV,El Salvador,AMRO,987.0,28415,18.0,826
2020-10-04,SV,El Salvador,AMRO,943.0,29358,31.0,857
2020-10-11,SV,El Salvador,AMRO,712.0,30070,30.0,887
2020-10-18,SV,El Salvador,AMRO,1386.0,31456,30.0,917
2020-10-25,SV,El Salvador,AMRO,1129.0,32585,27.0,944
2020-11-01,SV,El Salvador,AMRO,860.0,33445,31.0,975
2020-11-08,SV,El Salvador,AMRO,1700.0,35145,31.0,1006
2020-11-15,SV,El Salvador,AMRO,1213.0,36358,33.0,1039
2020-11-22,SV,El Salvador,AMRO,892.0,37250,31.0,1070
2020-11-29,SV,El Salvador,AMRO,1155.0,38405,37.0,1107
2020-12-06,SV,El Salvador,AMRO,1313.0,39718,46.0,1153
2020-12-13,SV,El Salvador,AMRO,1676.0,41394,40.0,1193
2020-12-20,SV,El Salvador,AMRO,1801.0,43195,49.0,1242
2020-12-27,SV,El Salvador,AMRO,1424.0,44619,55.0,1297
2021-01-03,SV,El Salvador,AMRO,1623.0,46242,54.0,1351
2021-01-10,SV,El Salvador,AMRO,2332.0,48574,57.0,1408
2021-01-17,SV,El Salvador,AMRO,1583.0,50157,71.0,1479
2021-01-24,SV,El Salvador,AMRO,2515.0,52672,72.0,1551
2021-01-31,SV,El Salvador,AMRO,1317.0,53989,63.0,1614
2021-02-07,SV,El Salvador,AMRO,2248.0,56237,59.0,1673
2021-02-14,SV,El Salvador,AMRO,1191.0,57428,61.0,1734
2021-02-21,SV,El Salvador,AMRO,1118.0,58546,58.0,1792
2021-02-28,SV,El Salvador,AMRO,1320.0,59866,55.0,1847
2021-03-07,SV,El Salvador,AMRO,934.0,60800,47.0,1894
2021-03-14,SV,El Salvador,AMRO,1286.0,62086,51.0,1945
2021-03-21,SV,El Salvador,AMRO,445.0,62531,30.0,1975
2021-03-28,SV,El Salvador,AMRO,1235.0,63766,23.0,1998
2021-04-04,SV,El Salvador,AMRO,665.0,64431,23.0,2021
2021-04-11,SV,El Salvador,AMRO,1060.0,65491,27.0,2048
2021-04-18,SV,El Salvador,AMRO,1913.0,67404,24.0,2072
2021-04-25,SV,El Salvador,AMRO,914.0,68318,26.0,2098
2021-05-02,SV,El Salvador,AMRO,880.0,69198,30.0,2128
2021-05-09,SV,El Salvador,AMRO,1057.0,70255,22.0,2150
2021-05-16,SV,El Salvador,AMRO,660.0,70915,32.0,2182
2021-05-23,SV,El Salvador,AMRO,1305.0,72220,29.0,2211
2021-05-30,SV,El Salvador,AMRO,1026.0,73246,30.0,2241
2021-06-06,SV,El Salvador,AMRO,895.0,74141,25.0,2266
2021-06-13,SV,El Salvador,AMRO,1210.0,75351,26.0,2292
2021-06-20,SV,El Salvador,AMRO,1346.0,76697,35.0,2327
2021-06-27,SV,El Salvador,AMRO,787.0,77484,34.0,2361
2021-07-04,SV,El Salvador,AMRO,2306.0,79790,36.0,2397
2021-07-11,SV,El Salvador,AMRO,1142.0,80932,42.0,2439
2021-07-18,SV,El Salvador,AMRO,1920.0,82852,45.0,2484
2021-07-25,SV,El Salvador,AMRO,1839.0,84691,63.0,2547
2021-08-01,SV,El Salvador,AMRO,1929.0,86620,82.0,2629
2021-08-08,SV,El Salvador,AMRO,1751.0,88371,74.0,2703
2021-08-15,SV,El Salvador,AMRO,1758.0,90129,78.0,2781
2021-08-22,SV,El Salvador,AMRO,2557.0,92686,50.0,2831
2021-08-29,SV,El Salvador,AMRO,1374.0,94060,59.0,2890
2021-09-05,SV,El Salvador,AMRO,2007.0,96067,62.0,2952
2021-09-12,SV,El Salvador,AMRO,2989.0,99056,61.0,3013
2021-09-19,SV,El Salvador,AMRO,645.0,99701,77.0,3090
2021-09-26,SV,El Salvador,AMRO,3977.0,103678,84.0,3174
2021-10-03,SV,El Salvador,AMRO,670.0,104348,88.0,3262
2021-10-10,SV,El Salvador,AMRO,3316.0,107664,106.0,3368
2021-10-17,SV,El Salvador,AMRO,2524.0,110188,92.0,3460
2021-10-24,SV,El Salvador,AMRO,2102.0,112290,94.0,3554
2021-10-31,SV,El Salvador,AMRO,1132.0,113422,68.0,3622
2021-11-07,SV,El Salvador,AMRO,2836.0,116258,53.0,3675
2021-11-14,SV,El Salvador,AMRO,1464.0,117722,46.0,3721
2021-11-21,SV,El Salvador,AMRO,319.0,118041,30.0,3751
2021-11-28,SV,El Salvador,AMRO,0.0,118041,18.0,3769
2021-12-05,SV,El Salvador,AMRO,1762.0,119803,12.0,3781
2021-12-12,SV,El Salvador,AMRO,0.0,119803,12.0,3793
2021-12-19,SV,El Salvador,AMRO,1681.0,121484,12.0,3805
2021-12-26,SV,El Salvador,AMRO,257.0,121741,13.0,3818
2022-01-02,SV,El Salvador,AMRO,204.0,121945,6.0,3824
2022-01-09,SV,El Salvador,AMRO,289.0,122234,3.0,3827
2022-01-16,SV,El Salvador,AMRO,1343.0,123577,5.0,3832
2022-01-23,SV,El Salvador,AMRO,3435.0,127012,19.0,3851
2022-01-30,SV,El Salvador,AMRO,6250.0,133262,33.0,3884
2022-02-06,SV,El Salvador,AMRO,1847.0,135109,49.0,3933
2022-02-13,SV,El Salvador,AMRO,0.0,135109,56.0,3989
2022-02-20,SV,El Salvador,AMRO,12677.0,147786,43.0,4032
2022-02-27,SV,El Salvador,AMRO,0.0,147786,36.0,4068
2022-03-06,SV,El Salvador,AMRO,8578.0,156364,18.0,4086
2022-03-13,SV,El Salvador,AMRO,0.0,156364,9.0,4095
2022-03-20,SV,El Salvador,AMRO,4688.0,161052,14.0,4109
2022-03-27,SV,El Salvador,AMRO,0.0,161052,7.0,4116
2022-04-03,SV,El Salvador,AMRO,0.0,161052,3.0,4119
2022-04-10,SV,El Salvador,AMRO,518.0,161570,2.0,4121
2022-04-17,SV,El Salvador,AMRO,519.0,162089,3.0,4124
2022-04-24,SV,El Salvador,AMRO,0.0,162089,3.0,4127
2022-05-01,SV,El Salvador,AMRO,0.0,162089,1.0,4128
2022-05-08,SV,El Salvador,AMRO,0.0,162089,0.0,4128
2022-05-15,SV,El Salvador,AMRO,0.0,162089,1.0,4129
2022-05-22,SV,El Salvador,AMRO,0.0,162089,1.0,4130
2022-05-29,SV,El Salvador,AMRO,666.0,162755,1.0,4131
2022-06-05,SV,El Salvador,AMRO,0.0,162755,1.0,4132
2022-06-12,SV,El Salvador,AMRO,1379.0,164134,2.0,4134
2022-06-19,SV,El Salvador,AMRO,0.0,164134,3.0,4137
2022-06-26,SV,El Salvador,AMRO,5512.0,169646,2.0,4139
2022-07-03,SV,El Salvador,AMRO,0.0,169646,7.0,4146
2022-07-10,SV,El Salvador,AMRO,11324.0,180970,10.0,4156
2022-07-17,SV,El Salvador,AMRO,0.0,180970,11.0,4167
2022-07-24,SV,El Salvador,AMRO,0.0,180970,17.0,4184
2022-07-31,SV,El Salvador,AMRO,9848.0,190818,10.0,4194
2022-08-07,SV,El Salvador,AMRO,0.0,190818,14.0,4208
2022-08-14,SV,El Salvador,AMRO,0.0,190818,9.0,4217
2022-08-21,SV,El Salvador,AMRO,0.0,190818,1.0,4218
2022-08-28,SV,El Salvador,AMRO,0.0,190818,2.0,4220
2022-09-04,SV,El Salvador,AMRO,10967.0,201785,4.0,4224
2022-09-11,SV,El Salvador,AMRO,0.0,201785,3.0,4227
2022-09-18,SV,El Salvador,AMRO,0.0,201785,1.0,4228
2022-09-25,SV,El Salvador,AMRO,0.0,201785,1.0,4229
2022-10-02,SV,El Salvador,AMRO,0.0,201785,0.0,4229
2022-10-09,SV,El Salvador,AMRO,0.0,201785,1.0,4230
2022-10-16,SV,El Salvador,AMRO,0.0,201785,0.0,4230
2022-10-23,SV,El Salvador,AMRO,0.0,201785,0.0,4230
2022-10-30,SV,El Salvador,AMRO,0.0,201785,0.0,4230
2022-11-06,SV,El Salvador,AMRO,0.0,201785,0.0,4230
2022-11-13,SV,El Salvador,AMRO,0.0,201785,0.0,4230
2022-11-20,SV,El Salvador,AMRO,0.0,201785,0.0,4230
2022-11-27,SV,El Salvador,AMRO,0.0,201785,0.0,4230
2022-12-04,SV,El Salvador,AMRO,0.0,201785,0.0,4230
2022-12-11,SV,El Salvador,AMRO,0.0,201785,0.0,4230
2022-12-18,SV,El Salvador,AMRO,0.0,201785,0.0,4230
2022-12-25,SV,El Salvador,AMRO,0.0,201785,0.0,4230
2023-01-01,SV,El Salvador,AMRO,0.0,201785,0.0,4230
2023-01-08,SV,El Salvador,AMRO,0.0,201785,0.0,4230
2023-01-15,SV,El Salvador,AMRO,0.0,201785,0.0,4230
2023-01-22,SV,El Salvador,AMRO,0.0,201785,0.0,4230
2023-01-29,SV,El Salvador,AMRO,0.0,201785,0.0,4230
2023-02-05,SV,El Salvador,AMRO,0.0,201785,0.0,4230
2023-02-12,SV,El Salvador,AMRO,0.0,201785,0.0,4230
2023-02-19,SV,El Salvador,AMRO,0.0,201785,0.0,4230
2023-02-26,SV,El Salvador,AMRO,0.0,201785,0.0,4230
2023-03-05,SV,El Salvador,AMRO,0.0,201785,0.0,4230
2023-03-12,SV,El Salvador,AMRO,0.0,201785,0.0,4230
2023-03-19,SV,El Salvador,AMRO,0.0,201785,0.0,4230
2023-03-26,SV,El Salvador,AMRO,0.0,201785,0.0,4230
2023-04-02,SV,El Salvador,AMRO,0.0,201785,0.0,4230
2023-04-09,SV,El Salvador,AMRO,0.0,201785,0.0,4230
2023-04-16,SV,El Salvador,AMRO,0.0,201785,0.0,4230
2023-04-23,SV,El Salvador,AMRO,0.0,201785,0.0,4230
2023-04-30,SV,El Salvador,AMRO,0.0,201785,0.0,4230
2023-05-07,SV,El Salvador,AMRO,0.0,201785,0.0,4230
2023-05-14,SV,El Salvador,AMRO,0.0,201785,0.0,4230
2023-05-21,SV,El Salvador,AMRO,1.0,201786,0.0,4230
2023-05-28,SV,El Salvador,AMRO,0.0,201786,0.0,4230
2023-06-04,SV,El Salvador,AMRO,1.0,201787,0.0,4230
2023-06-11,SV,El Salvador,AMRO,0.0,201787,0.0,4230
2023-06-18,SV,El Salvador,AMRO,1.0,201788,0.0,4230
2023-06-25,SV,El Salvador,AMRO,0.0,201788,0.0,4230
2023-07-02,SV,El Salvador,AMRO,0.0,201788,0.0,4230
2023-07-09,SV,El Salvador,AMRO,3.0,201791,0.0,4230
2023-07-16,SV,El Salvador,AMRO,5.0,201796,0.0,4230
2023-07-23,SV,El Salvador,AMRO,5.0,201801,0.0,4230
2023-07-30,SV,El Salvador,AMRO,3.0,201804,0.0,4230
2023-08-06,SV,El Salvador,AMRO,4.0,201808,0.0,4230
2023-08-13,SV,El Salvador,AMRO,6.0,201814,0.0,4230
2023-08-20,SV,El Salvador,AMRO,3.0,201817,0.0,4230
2023-08-27,SV,El Salvador,AMRO,6.0,201823,0.0,4230
2023-09-03,SV,El Salvador,AMRO,6.0,201829,0.0,4230
2023-09-10,SV,El Salvador,AMRO,1.0,201830,0.0,4230
2023-09-17,SV,El Salvador,AMRO,0.0,201830,0.0,4230
2023-09-24,SV,El Salvador,AMRO,0.0,201830,0.0,4230
2023-10-01,SV,El Salvador,AMRO,1.0,201831,0.0,4230
2023-10-08,SV,El Salvador,AMRO,0.0,201831,0.0,4230
2023-10-15,SV,El Salvador,AMRO,0.0,201831,0.0,4230
2023-10-22,SV,El Salvador,AMRO,2.0,201833,0.0,4230
2023-10-29,SV,El Salvador,AMRO,0.0,201833,0.0,4230
2023-11-05,SV,El Salvador,AMRO,0.0,201833,0.0,4230
2023-11-12,SV,El Salvador,AMRO,1.0,201834,0.0,4230
2023-11-19,SV,El Salvador,AMRO,0.0,201834,0.0,4230
2023-11-26,SV,El Salvador,AMRO,0.0,201834,0.0,4230
2023-12-03,SV,El Salvador,AMRO,0.0,201834,0.0,4230
2023-12-10,SV,El Salvador,AMRO,0.0,201834,0.0,4230
2023-12-17,SV,El Salvador,AMRO,2.0,201836,0.0,4230
2023-12-24,SV,El Salvador,AMRO,0.0,201836,0.0,4230
2023-12-31,SV,El Salvador,AMRO,0.0,201836,0.0,4230
2024-01-07,SV,El Salvador,AMRO,5.0,201841,0.0,4230
2024-01-14,SV,El Salvador,AMRO,3.0,201844,0.0,4230
2024-01-21,SV,El Salvador,AMRO,7.0,201851,0.0,4230
2024-01-28,SV,El Salvador,AMRO,3.0,201854,0.0,4230
2024-02-04,SV,El Salvador,AMRO,3.0,201857,0.0,4230
2024-02-11,SV,El Salvador,AMRO,2.0,201859,0.0,4230
2024-02-18,SV,El Salvador,AMRO,1.0,201860,0.0,4230
2024-02-25,SV,El Salvador,AMRO,1.0,201861,0.0,4230
2024-03-03,SV,El Salvador,AMRO,0.0,201861,0.0,4230
