Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-03-29,SY,Syrian Arab Republic,EMRO,5.0,5,0.0,0
2020-04-05,SY,Syrian Arab Republic,EMRO,11.0,16,2.0,2
2020-04-12,SY,Syrian Arab Republic,EMRO,9.0,25,0.0,2
2020-04-19,SY,Syrian Arab Republic,EMRO,13.0,38,0.0,2
2020-04-26,SY,Syrian Arab Republic,EMRO,4.0,42,1.0,3
2020-05-03,SY,Syrian Arab Republic,EMRO,2.0,44,0.0,3
2020-05-10,SY,Syrian Arab Republic,EMRO,3.0,47,0.0,3
2020-05-17,SY,Syrian Arab Republic,EMRO,4.0,51,0.0,3
2020-05-24,SY,Syrian Arab Republic,EMRO,19.0,70,1.0,4
2020-05-31,SY,Syrian Arab Republic,EMRO,52.0,122,0.0,4
2020-06-07,SY,Syrian Arab Republic,EMRO,3.0,125,2.0,6
2020-06-14,SY,Syrian Arab Republic,EMRO,45.0,170,0.0,6
2020-06-21,SY,Syrian Arab Republic,EMRO,28.0,198,1.0,7
2020-06-28,SY,Syrian Arab Republic,EMRO,58.0,256,2.0,9
2020-07-05,SY,Syrian Arab Republic,EMRO,82.0,338,1.0,10
2020-07-12,SY,Syrian Arab Republic,EMRO,56.0,394,6.0,16
2020-07-19,SY,Syrian Arab Republic,EMRO,102.0,496,9.0,25
2020-07-26,SY,Syrian Arab Republic,EMRO,131.0,627,11.0,36
2020-08-02,SY,Syrian Arab Republic,EMRO,153.0,780,7.0,43
2020-08-09,SY,Syrian Arab Republic,EMRO,345.0,1125,7.0,50
2020-08-16,SY,Syrian Arab Republic,EMRO,468.0,1593,10.0,60
2020-08-23,SY,Syrian Arab Republic,EMRO,550.0,2143,25.0,85
2020-08-30,SY,Syrian Arab Republic,EMRO,485.0,2628,21.0,106
2020-09-06,SY,Syrian Arab Republic,EMRO,476.0,3104,24.0,130
2020-09-13,SY,Syrian Arab Republic,EMRO,402.0,3506,22.0,152
2020-09-20,SY,Syrian Arab Republic,EMRO,259.0,3765,18.0,170
