Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-03-29,TC,Turks and Caicos Islands,AMRO,2.0,2,0.0,0
2020-04-05,TC,Turks and Caicos Islands,AMRO,3.0,5,0.0,0
2020-04-12,TC,Turks and Caicos Islands,AMRO,3.0,8,1.0,1
2020-04-19,TC,Turks and Caicos Islands,AMRO,3.0,11,0.0,1
2020-04-26,TC,Turks and Caicos Islands,AMRO,0.0,11,0.0,1
2020-05-03,TC,Turks and Caicos Islands,AMRO,1.0,12,0.0,1
2020-05-10,TC,Turks and Caicos Islands,AMRO,0.0,12,0.0,1
2020-05-17,TC,Turks and Caicos Islands,AMRO,0.0,12,0.0,1
2020-05-24,TC,Turks and Caicos Islands,AMRO,0.0,12,0.0,1
2020-05-31,TC,Turks and Caicos Islands,AMRO,0.0,12,0.0,1
2020-06-07,TC,Turks and Caicos Islands,AMRO,0.0,12,0.0,1
2020-06-14,TC,Turks and Caicos Islands,AMRO,0.0,12,0.0,1
2020-06-21,TC,Turks and Caicos Islands,AMRO,0.0,12,0.0,1
2020-06-28,TC,Turks and Caicos Islands,AMRO,4.0,16,0.0,1
2020-07-05,TC,Turks and Caicos Islands,AMRO,29.0,45,1.0,2
2020-07-12,TC,Turks and Caicos Islands,AMRO,24.0,69,0.0,2
2020-07-19,TC,Turks and Caicos Islands,AMRO,6.0,75,0.0,2
2020-07-26,TC,Turks and Caicos Islands,AMRO,17.0,92,0.0,2
2020-08-02,TC,Turks and Caicos Islands,AMRO,22.0,114,0.0,2
2020-08-09,TC,Turks and Caicos Islands,AMRO,56.0,170,0.0,2
2020-08-16,TC,Turks and Caicos Islands,AMRO,104.0,274,0.0,2
2020-08-23,TC,Turks and Caicos Islands,AMRO,73.0,347,0.0,2
2020-08-30,TC,Turks and Caicos Islands,AMRO,143.0,490,1.0,3
2020-09-06,TC,Turks and Caicos Islands,AMRO,101.0,591,2.0,5
2020-09-13,TC,Turks and Caicos Islands,AMRO,50.0,641,0.0,5
2020-09-20,TC,Turks and Caicos Islands,AMRO,26.0,667,0.0,5
2020-09-27,TC,Turks and Caicos Islands,AMRO,13.0,680,0.0,5
2020-10-04,TC,Turks and Caicos Islands,AMRO,15.0,695,1.0,6
2020-10-11,TC,Turks and Caicos Islands,AMRO,0.0,695,0.0,6
2020-10-18,TC,Turks and Caicos Islands,AMRO,2.0,697,0.0,6
2020-10-25,TC,Turks and Caicos Islands,AMRO,2.0,699,0.0,6
2020-11-01,TC,Turks and Caicos Islands,AMRO,4.0,703,0.0,6
2020-11-08,TC,Turks and Caicos Islands,AMRO,4.0,707,0.0,6
2020-11-15,TC,Turks and Caicos Islands,AMRO,9.0,716,0.0,6
2020-11-22,TC,Turks and Caicos Islands,AMRO,24.0,740,0.0,6
2020-11-29,TC,Turks and Caicos Islands,AMRO,8.0,748,0.0,6
2020-12-06,TC,Turks and Caicos Islands,AMRO,7.0,755,0.0,6
2020-12-13,TC,Turks and Caicos Islands,AMRO,14.0,769,0.0,6
2020-12-20,TC,Turks and Caicos Islands,AMRO,20.0,789,0.0,6
2020-12-27,TC,Turks and Caicos Islands,AMRO,55.0,844,0.0,6
2021-01-03,TC,Turks and Caicos Islands,AMRO,64.0,908,0.0,6
2021-01-10,TC,Turks and Caicos Islands,AMRO,57.0,965,0.0,6
2021-01-17,TC,Turks and Caicos Islands,AMRO,114.0,1079,0.0,6
2021-01-24,TC,Turks and Caicos Islands,AMRO,165.0,1244,1.0,7
2021-01-31,TC,Turks and Caicos Islands,AMRO,215.0,1459,1.0,8
2021-02-07,TC,Turks and Caicos Islands,AMRO,195.0,1654,1.0,9
2021-02-14,TC,Turks and Caicos Islands,AMRO,179.0,1833,3.0,12
2021-02-21,TC,Turks and Caicos Islands,AMRO,165.0,1998,2.0,14
2021-02-28,TC,Turks and Caicos Islands,AMRO,101.0,2099,0.0,14
2021-03-07,TC,Turks and Caicos Islands,AMRO,73.0,2172,0.0,14
2021-03-14,TC,Turks and Caicos Islands,AMRO,28.0,2200,1.0,15
2021-03-21,TC,Turks and Caicos Islands,AMRO,90.0,2290,0.0,15
2021-03-28,TC,Turks and Caicos Islands,AMRO,35.0,2325,2.0,17
2021-04-04,TC,Turks and Caicos Islands,AMRO,19.0,2344,0.0,17
2021-04-11,TC,Turks and Caicos Islands,AMRO,0.0,2344,0.0,17
2021-04-18,TC,Turks and Caicos Islands,AMRO,25.0,2369,0.0,17
2021-04-25,TC,Turks and Caicos Islands,AMRO,7.0,2376,0.0,17
2021-05-02,TC,Turks and Caicos Islands,AMRO,14.0,2390,0.0,17
2021-05-09,TC,Turks and Caicos Islands,AMRO,12.0,2402,0.0,17
2021-05-16,TC,Turks and Caicos Islands,AMRO,2.0,2404,0.0,17
2021-05-23,TC,Turks and Caicos Islands,AMRO,4.0,2408,0.0,17
2021-05-30,TC,Turks and Caicos Islands,AMRO,4.0,2412,0.0,17
2021-06-06,TC,Turks and Caicos Islands,AMRO,8.0,2420,0.0,17
2021-06-13,TC,Turks and Caicos Islands,AMRO,1.0,2421,1.0,18
2021-06-20,TC,Turks and Caicos Islands,AMRO,2.0,2423,0.0,18
2021-06-27,TC,Turks and Caicos Islands,AMRO,1.0,2424,0.0,18
2021-07-04,TC,Turks and Caicos Islands,AMRO,1.0,2425,0.0,18
2021-07-11,TC,Turks and Caicos Islands,AMRO,5.0,2430,0.0,18
2021-07-18,TC,Turks and Caicos Islands,AMRO,16.0,2446,0.0,18
2021-07-25,TC,Turks and Caicos Islands,AMRO,16.0,2462,0.0,18
2021-08-01,TC,Turks and Caicos Islands,AMRO,22.0,2484,0.0,18
2021-08-08,TC,Turks and Caicos Islands,AMRO,30.0,2514,0.0,18
2021-08-15,TC,Turks and Caicos Islands,AMRO,48.0,2562,1.0,19
2021-08-22,TC,Turks and Caicos Islands,AMRO,45.0,2607,0.0,19
2021-08-29,TC,Turks and Caicos Islands,AMRO,30.0,2637,1.0,20
2021-09-05,TC,Turks and Caicos Islands,AMRO,55.0,2692,0.0,20
2021-09-12,TC,Turks and Caicos Islands,AMRO,61.0,2753,0.0,20
2021-09-19,TC,Turks and Caicos Islands,AMRO,47.0,2800,1.0,21
2021-09-26,TC,Turks and Caicos Islands,AMRO,30.0,2830,1.0,22
2021-10-03,TC,Turks and Caicos Islands,AMRO,29.0,2859,1.0,23
2021-10-10,TC,Turks and Caicos Islands,AMRO,31.0,2890,0.0,23
2021-10-17,TC,Turks and Caicos Islands,AMRO,32.0,2922,0.0,23
2021-10-24,TC,Turks and Caicos Islands,AMRO,29.0,2951,0.0,23
2021-10-31,TC,Turks and Caicos Islands,AMRO,29.0,2980,0.0,23
2021-11-07,TC,Turks and Caicos Islands,AMRO,31.0,3011,0.0,23
2021-11-14,TC,Turks and Caicos Islands,AMRO,20.0,3031,0.0,23
2021-11-21,TC,Turks and Caicos Islands,AMRO,45.0,3076,0.0,23
2021-11-28,TC,Turks and Caicos Islands,AMRO,20.0,3096,1.0,24
2021-12-05,TC,Turks and Caicos Islands,AMRO,7.0,3103,1.0,25
2021-12-12,TC,Turks and Caicos Islands,AMRO,27.0,3130,0.0,25
2021-12-19,TC,Turks and Caicos Islands,AMRO,33.0,3163,0.0,25
2021-12-26,TC,Turks and Caicos Islands,AMRO,72.0,3235,1.0,26
2022-01-02,TC,Turks and Caicos Islands,AMRO,173.0,3408,0.0,26
2022-01-09,TC,Turks and Caicos Islands,AMRO,472.0,3880,0.0,26
2022-01-16,TC,Turks and Caicos Islands,AMRO,1076.0,4956,4.0,30
2022-01-23,TC,Turks and Caicos Islands,AMRO,568.0,5524,3.0,33
2022-01-30,TC,Turks and Caicos Islands,AMRO,168.0,5692,1.0,34
2022-02-06,TC,Turks and Caicos Islands,AMRO,86.0,5778,1.0,35
2022-02-13,TC,Turks and Caicos Islands,AMRO,45.0,5823,0.0,35
2022-02-20,TC,Turks and Caicos Islands,AMRO,20.0,5843,1.0,36
2022-02-27,TC,Turks and Caicos Islands,AMRO,12.0,5855,0.0,36
2022-03-06,TC,Turks and Caicos Islands,AMRO,12.0,5867,0.0,36
2022-03-13,TC,Turks and Caicos Islands,AMRO,7.0,5874,0.0,36
2022-03-20,TC,Turks and Caicos Islands,AMRO,0.0,5874,0.0,36
2022-03-27,TC,Turks and Caicos Islands,AMRO,14.0,5888,0.0,36
2022-04-03,TC,Turks and Caicos Islands,AMRO,22.0,5910,0.0,36
2022-04-10,TC,Turks and Caicos Islands,AMRO,13.0,5923,0.0,36
2022-04-17,TC,Turks and Caicos Islands,AMRO,13.0,5936,0.0,36
2022-04-24,TC,Turks and Caicos Islands,AMRO,5.0,5941,0.0,36
2022-05-01,TC,Turks and Caicos Islands,AMRO,22.0,5963,0.0,36
2022-05-08,TC,Turks and Caicos Islands,AMRO,32.0,5995,0.0,36
2022-05-15,TC,Turks and Caicos Islands,AMRO,51.0,6046,0.0,36
2022-05-22,TC,Turks and Caicos Islands,AMRO,51.0,6097,0.0,36
2022-05-29,TC,Turks and Caicos Islands,AMRO,26.0,6123,0.0,36
2022-06-05,TC,Turks and Caicos Islands,AMRO,25.0,6148,0.0,36
2022-06-12,TC,Turks and Caicos Islands,AMRO,12.0,6160,0.0,36
2022-06-19,TC,Turks and Caicos Islands,AMRO,29.0,6189,0.0,36
2022-06-26,TC,Turks and Caicos Islands,AMRO,22.0,6211,0.0,36
2022-07-03,TC,Turks and Caicos Islands,AMRO,8.0,6219,0.0,36
2022-07-10,TC,Turks and Caicos Islands,AMRO,15.0,6234,0.0,36
2022-07-17,TC,Turks and Caicos Islands,AMRO,21.0,6255,0.0,36
2022-07-24,TC,Turks and Caicos Islands,AMRO,24.0,6279,0.0,36
2022-07-31,TC,Turks and Caicos Islands,AMRO,24.0,6303,0.0,36
2022-08-07,TC,Turks and Caicos Islands,AMRO,25.0,6328,0.0,36
2022-08-14,TC,Turks and Caicos Islands,AMRO,10.0,6338,0.0,36
2022-08-21,TC,Turks and Caicos Islands,AMRO,13.0,6351,0.0,36
2022-08-28,TC,Turks and Caicos Islands,AMRO,8.0,6359,0.0,36
2022-09-04,TC,Turks and Caicos Islands,AMRO,10.0,6369,0.0,36
2022-09-11,TC,Turks and Caicos Islands,AMRO,3.0,6372,0.0,36
2022-09-18,TC,Turks and Caicos Islands,AMRO,8.0,6380,0.0,36
2022-09-25,TC,Turks and Caicos Islands,AMRO,0.0,6380,0.0,36
2022-10-02,TC,Turks and Caicos Islands,AMRO,0.0,6380,0.0,36
2022-10-09,TC,Turks and Caicos Islands,AMRO,0.0,6380,0.0,36
