Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-03-08,TG,Togo,AFRO,1.0,1,0.0,0
2020-03-15,TG,Togo,AFRO,0.0,1,0.0,0
2020-03-22,TG,Togo,AFRO,14.0,15,0.0,0
2020-03-29,TG,Togo,AFRO,13.0,28,1.0,1
2020-04-05,TG,Togo,AFRO,13.0,41,2.0,3
2020-04-12,TG,Togo,AFRO,35.0,76,0.0,3
2020-04-19,TG,Togo,AFRO,8.0,84,2.0,5
2020-04-26,TG,Togo,AFRO,12.0,96,1.0,6
2020-05-03,TG,Togo,AFRO,27.0,123,3.0,9
2020-05-10,TG,Togo,AFRO,50.0,173,2.0,11
2020-05-17,TG,Togo,AFRO,125.0,298,0.0,11
2020-05-24,TG,Togo,AFRO,75.0,373,1.0,12
2020-05-31,TG,Togo,AFRO,60.0,433,1.0,13
2020-06-07,TG,Togo,AFRO,54.0,487,0.0,13
2020-06-14,TG,Togo,AFRO,38.0,525,0.0,13
2020-06-21,TG,Togo,AFRO,36.0,561,0.0,13
2020-06-28,TG,Togo,AFRO,54.0,615,1.0,14
2020-07-05,TG,Togo,AFRO,61.0,676,0.0,14
2020-07-12,TG,Togo,AFRO,42.0,718,1.0,15
2020-07-19,TG,Togo,AFRO,56.0,774,0.0,15
2020-07-26,TG,Togo,AFRO,79.0,853,2.0,17
2020-08-02,TG,Togo,AFRO,105.0,958,2.0,19
2020-08-09,TG,Togo,AFRO,88.0,1046,3.0,22
2020-08-16,TG,Togo,AFRO,85.0,1131,5.0,27
2020-08-23,TG,Togo,AFRO,144.0,1275,0.0,27
2020-08-30,TG,Togo,AFRO,115.0,1390,0.0,27
2020-09-06,TG,Togo,AFRO,84.0,1474,5.0,32
2020-09-13,TG,Togo,AFRO,81.0,1555,5.0,37
2020-09-20,TG,Togo,AFRO,104.0,1659,4.0,41
2020-09-27,TG,Togo,AFRO,77.0,1736,5.0,46
2020-10-04,TG,Togo,AFRO,104.0,1840,2.0,48
2020-10-11,TG,Togo,AFRO,95.0,1935,1.0,49
2020-10-18,TG,Togo,AFRO,114.0,2049,2.0,51
2020-10-25,TG,Togo,AFRO,138.0,2187,1.0,52
2020-11-01,TG,Togo,AFRO,144.0,2331,5.0,57
2020-11-08,TG,Togo,AFRO,152.0,2483,0.0,57
2020-11-15,TG,Togo,AFRO,168.0,2651,3.0,60
2020-11-22,TG,Togo,AFRO,178.0,2829,4.0,64
2020-11-29,TG,Togo,AFRO,117.0,2946,0.0,64
2020-12-06,TG,Togo,AFRO,139.0,3085,1.0,65
2020-12-13,TG,Togo,AFRO,136.0,3221,1.0,66
2020-12-20,TG,Togo,AFRO,175.0,3396,0.0,66
2020-12-27,TG,Togo,AFRO,159.0,3555,2.0,68
2021-01-03,TG,Togo,AFRO,128.0,3683,0.0,68
2021-01-10,TG,Togo,AFRO,249.0,3932,4.0,72
2021-01-17,TG,Togo,AFRO,340.0,4272,1.0,73
2021-01-24,TG,Togo,AFRO,364.0,4636,1.0,74
2021-01-31,TG,Togo,AFRO,405.0,5041,3.0,77
2021-02-07,TG,Togo,AFRO,395.0,5436,2.0,79
2021-02-14,TG,Togo,AFRO,387.0,5823,1.0,80
2021-02-21,TG,Togo,AFRO,445.0,6268,1.0,81
2021-02-28,TG,Togo,AFRO,583.0,6851,2.0,83
2021-03-07,TG,Togo,AFRO,670.0,7521,7.0,90
2021-03-14,TG,Togo,AFRO,549.0,8070,5.0,95
2021-03-21,TG,Togo,AFRO,769.0,8839,7.0,102
2021-03-28,TG,Togo,AFRO,988.0,9827,5.0,107
2021-04-04,TG,Togo,AFRO,1237.0,11064,3.0,110
2021-04-11,TG,Togo,AFRO,883.0,11947,6.0,116
2021-04-18,TG,Togo,AFRO,549.0,12496,3.0,119
2021-04-25,TG,Togo,AFRO,291.0,12787,2.0,121
2021-05-02,TG,Togo,AFRO,205.0,12992,2.0,123
2021-05-09,TG,Togo,AFRO,149.0,13141,1.0,124
2021-05-16,TG,Togo,AFRO,103.0,13244,1.0,125
2021-05-23,TG,Togo,AFRO,119.0,13363,0.0,125
2021-05-30,TG,Togo,AFRO,84.0,13447,0.0,125
2021-06-06,TG,Togo,AFRO,86.0,13533,0.0,125
2021-06-13,TG,Togo,AFRO,87.0,13620,1.0,126
2021-06-20,TG,Togo,AFRO,95.0,13715,1.0,127
2021-06-27,TG,Togo,AFRO,101.0,13816,1.0,128
2021-07-04,TG,Togo,AFRO,223.0,14039,2.0,130
2021-07-11,TG,Togo,AFRO,193.0,14232,3.0,133
2021-07-18,TG,Togo,AFRO,370.0,14602,4.0,137
2021-07-25,TG,Togo,AFRO,470.0,15072,6.0,143
2021-08-01,TG,Togo,AFRO,726.0,15798,9.0,152
2021-08-08,TG,Togo,AFRO,930.0,16728,5.0,157
2021-08-15,TG,Togo,AFRO,1118.0,17846,8.0,165
2021-08-22,TG,Togo,AFRO,1645.0,19491,7.0,172
2021-08-29,TG,Togo,AFRO,1546.0,21037,8.0,180
2021-09-05,TG,Togo,AFRO,1407.0,22444,14.0,194
2021-09-12,TG,Togo,AFRO,1174.0,23618,11.0,205
2021-09-19,TG,Togo,AFRO,901.0,24519,8.0,213
2021-09-26,TG,Togo,AFRO,644.0,25163,9.0,222
2021-10-03,TG,Togo,AFRO,372.0,25535,11.0,233
2021-10-10,TG,Togo,AFRO,225.0,25760,2.0,235
2021-10-17,TG,Togo,AFRO,126.0,25886,3.0,238
2021-10-24,TG,Togo,AFRO,103.0,25989,4.0,242
2021-10-31,TG,Togo,AFRO,79.0,26068,0.0,242
2021-11-07,TG,Togo,AFRO,46.0,26114,1.0,243
2021-11-14,TG,Togo,AFRO,38.0,26152,0.0,243
2021-11-21,TG,Togo,AFRO,53.0,26205,0.0,243
2021-11-28,TG,Togo,AFRO,38.0,26243,0.0,243
2021-12-05,TG,Togo,AFRO,48.0,26291,0.0,243
2021-12-12,TG,Togo,AFRO,98.0,26389,0.0,243
2021-12-19,TG,Togo,AFRO,213.0,26602,1.0,244
2021-12-26,TG,Togo,AFRO,1390.0,27992,2.0,246
2022-01-02,TG,Togo,AFRO,3173.0,31165,2.0,248
2022-01-09,TG,Togo,AFRO,2750.0,33915,5.0,253
2022-01-16,TG,Togo,AFRO,1936.0,35851,8.0,261
2022-01-23,TG,Togo,AFRO,429.0,36280,5.0,266
2022-01-30,TG,Togo,AFRO,207.0,36487,2.0,268
2022-02-06,TG,Togo,AFRO,70.0,36557,0.0,268
2022-02-13,TG,Togo,AFRO,77.0,36634,2.0,270
2022-02-20,TG,Togo,AFRO,90.0,36724,1.0,271
2022-02-27,TG,Togo,AFRO,74.0,36798,1.0,272
2022-03-06,TG,Togo,AFRO,23.0,36821,0.0,272
2022-03-13,TG,Togo,AFRO,29.0,36850,0.0,272
2022-03-20,TG,Togo,AFRO,28.0,36878,0.0,272
2022-03-27,TG,Togo,AFRO,33.0,36911,0.0,272
2022-04-03,TG,Togo,AFRO,32.0,36943,0.0,272
2022-04-10,TG,Togo,AFRO,14.0,36957,0.0,272
2022-04-17,TG,Togo,AFRO,6.0,36963,1.0,273
2022-04-24,TG,Togo,AFRO,14.0,36977,0.0,273
2022-05-01,TG,Togo,AFRO,12.0,36989,0.0,273
2022-05-08,TG,Togo,AFRO,11.0,37000,0.0,273
2022-05-15,TG,Togo,AFRO,23.0,37023,0.0,273
2022-05-22,TG,Togo,AFRO,21.0,37044,0.0,273
2022-05-29,TG,Togo,AFRO,35.0,37079,0.0,273
2022-06-05,TG,Togo,AFRO,47.0,37126,0.0,273
2022-06-12,TG,Togo,AFRO,63.0,37189,0.0,273
2022-06-19,TG,Togo,AFRO,58.0,37247,0.0,273
2022-06-26,TG,Togo,AFRO,81.0,37328,2.0,275
2022-07-03,TG,Togo,AFRO,140.0,37468,0.0,275
2022-07-10,TG,Togo,AFRO,140.0,37608,0.0,275
2022-07-17,TG,Togo,AFRO,190.0,37798,0.0,275
2022-07-24,TG,Togo,AFRO,158.0,37956,1.0,276
2022-07-31,TG,Togo,AFRO,128.0,38084,4.0,280
2022-08-07,TG,Togo,AFRO,108.0,38192,1.0,281
2022-08-14,TG,Togo,AFRO,93.0,38285,0.0,281
2022-08-21,TG,Togo,AFRO,70.0,38355,1.0,282
2022-08-28,TG,Togo,AFRO,82.0,38437,0.0,282
2022-09-04,TG,Togo,AFRO,102.0,38539,1.0,283
2022-09-11,TG,Togo,AFRO,100.0,38639,1.0,284
2022-09-18,TG,Togo,AFRO,128.0,38767,0.0,284
2022-09-25,TG,Togo,AFRO,196.0,38963,0.0,284
2022-10-02,TG,Togo,AFRO,123.0,39086,1.0,285
2022-10-09,TG,Togo,AFRO,103.0,39189,1.0,286
2022-10-16,TG,Togo,AFRO,63.0,39252,1.0,287
2022-10-23,TG,Togo,AFRO,32.0,39284,2.0,289
2022-10-30,TG,Togo,AFRO,14.0,39298,1.0,290
2022-11-06,TG,Togo,AFRO,13.0,39311,0.0,290
2022-11-13,TG,Togo,AFRO,8.0,39319,0.0,290
2022-11-20,TG,Togo,AFRO,4.0,39323,0.0,290
2022-11-27,TG,Togo,AFRO,3.0,39326,0.0,290
2022-12-04,TG,Togo,AFRO,6.0,39332,0.0,290
2022-12-11,TG,Togo,AFRO,5.0,39337,0.0,290
2022-12-18,TG,Togo,AFRO,2.0,39339,0.0,290
2022-12-25,TG,Togo,AFRO,2.0,39341,0.0,290
2023-01-01,TG,Togo,AFRO,3.0,39344,0.0,290
2023-01-08,TG,Togo,AFRO,5.0,39349,0.0,290
2023-01-15,TG,Togo,AFRO,2.0,39351,0.0,290
2023-01-22,TG,Togo,AFRO,2.0,39353,0.0,290
2023-01-29,TG,Togo,AFRO,1.0,39354,0.0,290
2023-02-05,TG,Togo,AFRO,2.0,39356,0.0,290
2023-02-12,TG,Togo,AFRO,6.0,39362,0.0,290
2023-02-19,TG,Togo,AFRO,5.0,39367,0.0,290
2023-02-26,TG,Togo,AFRO,8.0,39375,0.0,290
2023-03-05,TG,Togo,AFRO,17.0,39392,0.0,290
2023-03-12,TG,Togo,AFRO,15.0,39407,0.0,290
2023-03-19,TG,Togo,AFRO,14.0,39421,0.0,290
2023-03-26,TG,Togo,AFRO,20.0,39441,0.0,290
2023-04-02,TG,Togo,AFRO,17.0,39458,0.0,290
2023-04-09,TG,Togo,AFRO,10.0,39468,0.0,290
2023-04-16,TG,Togo,AFRO,3.0,39471,0.0,290
2023-04-23,TG,Togo,AFRO,5.0,39476,0.0,290
2023-04-30,TG,Togo,AFRO,10.0,39486,0.0,290
2023-05-07,TG,Togo,AFRO,4.0,39490,0.0,290
2023-05-14,TG,Togo,AFRO,1.0,39491,0.0,290
2023-05-21,TG,Togo,AFRO,5.0,39496,0.0,290
2023-05-28,TG,Togo,AFRO,3.0,39499,0.0,290
2023-06-04,TG,Togo,AFRO,0.0,39499,0.0,290
2023-06-11,TG,Togo,AFRO,1.0,39500,0.0,290
2023-06-18,TG,Togo,AFRO,3.0,39503,0.0,290
2023-06-25,TG,Togo,AFRO,1.0,39504,0.0,290
2023-07-02,TG,Togo,AFRO,2.0,39506,0.0,290
2023-07-09,TG,Togo,AFRO,0.0,39506,0.0,290
2023-07-16,TG,Togo,AFRO,1.0,39507,0.0,290
2023-07-23,TG,Togo,AFRO,3.0,39510,0.0,290
2023-07-30,TG,Togo,AFRO,0.0,39510,0.0,290
2023-08-06,TG,Togo,AFRO,1.0,39511,0.0,290
2023-08-13,TG,Togo,AFRO,2.0,39513,0.0,290
2023-08-20,TG,Togo,AFRO,0.0,39513,0.0,290
2023-08-27,TG,Togo,AFRO,1.0,39514,0.0,290
2023-09-03,TG,Togo,AFRO,0.0,39514,0.0,290
2023-09-10,TG,Togo,AFRO,0.0,39514,0.0,290
2023-09-17,TG,Togo,AFRO,2.0,39516,0.0,290
2023-09-24,TG,Togo,AFRO,2.0,39518,0.0,290
2023-10-01,TG,Togo,AFRO,4.0,39522,0.0,290
2023-10-08,TG,Togo,AFRO,2.0,39524,0.0,290
2023-10-15,TG,Togo,AFRO,1.0,39525,0.0,290
2023-10-22,TG,Togo,AFRO,2.0,39527,0.0,290
2023-10-29,TG,Togo,AFRO,0.0,39527,0.0,290
2023-11-05,TG,Togo,AFRO,0.0,39527,0.0,290
2023-11-12,TG,Togo,AFRO,0.0,39527,0.0,290
2023-11-19,TG,Togo,AFRO,0.0,39527,0.0,290
2023-11-26,TG,Togo,AFRO,0.0,39527,0.0,290
2023-12-03,TG,Togo,AFRO,0.0,39527,0.0,290
2023-12-10,TG,Togo,AFRO,0.0,39527,0.0,290
2023-12-17,TG,Togo,AFRO,0.0,39527,0.0,290
2023-12-24,TG,Togo,AFRO,0.0,39527,0.0,290
2023-12-31,TG,Togo,AFRO,0.0,39527,0.0,290
2024-01-07,TG,Togo,AFRO,0.0,39527,0.0,290
2024-01-14,TG,Togo,AFRO,0.0,39527,0.0,290
2024-01-21,TG,Togo,AFRO,0.0,39527,0.0,290
2024-01-28,TG,Togo,AFRO,0.0,39527,0.0,290
2024-02-04,TG,Togo,AFRO,0.0,39527,0.0,290
2024-02-11,TG,Togo,AFRO,0.0,39527,0.0,290
2024-02-18,TG,Togo,AFRO,0.0,39527,0.0,290
2024-02-25,TG,Togo,AFRO,0.0,39527,0.0,290
2024-03-03,TG,Togo,AFRO,0.0,39527,0.0,290
2024-03-10,TG,Togo,AFRO,0.0,39527,0.0,290
2024-03-17,TG,Togo,AFRO,1.0,39528,0.0,290
2024-03-24,TG,Togo,AFRO,0.0,39528,0.0,290
2024-03-31,TG,Togo,AFRO,0.0,39528,0.0,290
2024-04-07,TG,Togo,AFRO,1.0,39529,0.0,290
2024-04-14,TG,Togo,AFRO,0.0,39529,0.0,290
2024-04-21,TG,Togo,AFRO,1.0,39530,0.0,290
2024-04-28,TG,Togo,AFRO,0.0,39530,0.0,290
