Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-19,TH,Thailand,SEARO,6.0,6,0.0,0
2020-01-26,TH,Thailand,SEARO,-1.0,5,0.0,0
2020-02-02,TH,Thailand,SEARO,18.0,23,0.0,0
2020-02-09,TH,Thailand,SEARO,6.0,29,0.0,0
2020-02-16,TH,Thailand,SEARO,9.0,38,0.0,0
2020-02-23,TH,Thailand,SEARO,1.0,39,0.0,0
2020-03-01,TH,Thailand,SEARO,7.0,46,1.0,1
2020-03-08,TH,Thailand,SEARO,8.0,54,0.0,1
2020-03-15,TH,Thailand,SEARO,60.0,114,0.0,1
2020-03-22,TH,Thailand,SEARO,485.0,599,0.0,1
2020-03-29,TH,Thailand,SEARO,789.0,1388,6.0,7
2020-04-05,TH,Thailand,SEARO,781.0,2169,16.0,23
2020-04-12,TH,Thailand,SEARO,382.0,2551,15.0,38
2020-04-19,TH,Thailand,SEARO,214.0,2765,9.0,47
2020-04-26,TH,Thailand,SEARO,157.0,2922,4.0,51
2020-05-03,TH,Thailand,SEARO,47.0,2969,3.0,54
2020-05-10,TH,Thailand,SEARO,40.0,3009,2.0,56
2020-05-17,TH,Thailand,SEARO,19.0,3028,0.0,56
2020-05-24,TH,Thailand,SEARO,12.0,3040,0.0,56
2020-05-31,TH,Thailand,SEARO,41.0,3081,1.0,57
2020-06-07,TH,Thailand,SEARO,31.0,3112,1.0,58
2020-06-14,TH,Thailand,SEARO,23.0,3135,0.0,58
2020-06-21,TH,Thailand,SEARO,13.0,3148,0.0,58
2020-06-28,TH,Thailand,SEARO,14.0,3162,0.0,58
2020-07-05,TH,Thailand,SEARO,28.0,3190,0.0,58
2020-07-12,TH,Thailand,SEARO,27.0,3217,0.0,58
2020-07-19,TH,Thailand,SEARO,32.0,3249,0.0,58
2020-07-26,TH,Thailand,SEARO,42.0,3291,0.0,58
2020-08-02,TH,Thailand,SEARO,26.0,3317,0.0,58
2020-08-09,TH,Thailand,SEARO,34.0,3351,0.0,58
2020-08-16,TH,Thailand,SEARO,26.0,3377,0.0,58
2020-08-23,TH,Thailand,SEARO,18.0,3395,0.0,58
2020-08-30,TH,Thailand,SEARO,16.0,3411,0.0,58
2020-09-06,TH,Thailand,SEARO,33.0,3444,0.0,58
2020-09-13,TH,Thailand,SEARO,29.0,3473,0.0,58
2020-09-20,TH,Thailand,SEARO,33.0,3506,1.0,59
2020-09-27,TH,Thailand,SEARO,17.0,3523,0.0,59
2020-10-04,TH,Thailand,SEARO,62.0,3585,0.0,59
2020-10-11,TH,Thailand,SEARO,51.0,3636,0.0,59
2020-10-18,TH,Thailand,SEARO,50.0,3686,0.0,59
2020-10-25,TH,Thailand,SEARO,50.0,3736,0.0,59
2020-11-01,TH,Thailand,SEARO,48.0,3784,0.0,59
2020-11-08,TH,Thailand,SEARO,53.0,3837,1.0,60
2020-11-15,TH,Thailand,SEARO,37.0,3874,0.0,60
2020-11-22,TH,Thailand,SEARO,39.0,3913,-60.0,0
2020-11-29,TH,Thailand,SEARO,64.0,3977,60.0,60
2020-12-06,TH,Thailand,SEARO,109.0,4086,0.0,60
2020-12-13,TH,Thailand,SEARO,123.0,4209,0.0,60
2020-12-20,TH,Thailand,SEARO,698.0,4907,0.0,60
2020-12-27,TH,Thailand,SEARO,1234.0,6141,0.0,60
2021-01-03,TH,Thailand,SEARO,1553.0,7694,4.0,64
2021-01-10,TH,Thailand,SEARO,2604.0,10298,3.0,67
2021-01-17,TH,Thailand,SEARO,1756.0,12054,3.0,70
2021-01-24,TH,Thailand,SEARO,1446.0,13500,3.0,73
2021-01-31,TH,Thailand,SEARO,5282.0,18782,4.0,77
2021-02-07,TH,Thailand,SEARO,4589.0,23371,2.0,79
2021-02-14,TH,Thailand,SEARO,1200.0,24571,1.0,80
2021-02-21,TH,Thailand,SEARO,844.0,25415,3.0,83
2021-02-28,TH,Thailand,SEARO,536.0,25951,0.0,83
2021-03-07,TH,Thailand,SEARO,419.0,26370,2.0,85
2021-03-14,TH,Thailand,SEARO,557.0,26927,1.0,86
2021-03-21,TH,Thailand,SEARO,876.0,27803,4.0,90
2021-03-28,TH,Thailand,SEARO,931.0,28734,4.0,94
2021-04-04,TH,Thailand,SEARO,393.0,29127,1.0,95
2021-04-11,TH,Thailand,SEARO,3498.0,32625,2.0,97
2021-04-18,TH,Thailand,SEARO,9727.0,42352,4.0,101
