Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2022-12-18,TK,Tokelau,WPRO,5.0,5,0.0,0
2022-12-25,TK,Tokelau,WPRO,0.0,5,0.0,0
2023-01-01,TK,Tokelau,WPRO,0.0,5,0.0,0
2023-01-08,TK,Tokelau,WPRO,0.0,5,0.0,0
2023-01-15,TK,Tokelau,WPRO,0.0,5,0.0,0
2023-01-22,TK,Tokelau,WPRO,0.0,5,0.0,0
2023-01-29,TK,Tokelau,WPRO,0.0,5,0.0,0
2023-02-05,TK,Tokelau,WPRO,0.0,5,0.0,0
2023-02-12,TK,Tokelau,WPRO,0.0,5,0.0,0
2023-02-19,TK,Tokelau,WPRO,0.0,5,0.0,0
2023-02-26,TK,Tokelau,WPRO,0.0,5,0.0,0
2023-03-05,TK,Tokelau,WPRO,0.0,5,0.0,0
2023-03-12,TK,Tokelau,WPRO,0.0,5,0.0,0
2023-03-19,TK,Tokelau,WPRO,0.0,5,0.0,0
2023-03-26,TK,Tokelau,WPRO,0.0,5,0.0,0
2023-04-02,TK,Tokelau,WPRO,0.0,5,0.0,0
2023-04-09,TK,Tokelau,WPRO,0.0,5,0.0,0
2023-04-16,TK,Tokelau,WPRO,0.0,5,0.0,0
2023-04-23,TK,Tokelau,WPRO,0.0,5,0.0,0
2023-04-30,TK,Tokelau,WPRO,0.0,5,0.0,0
2023-05-07,TK,Tokelau,WPRO,0.0,5,0.0,0
2023-05-14,TK,Tokelau,WPRO,0.0,5,0.0,0
2023-05-21,TK,Tokelau,WPRO,0.0,5,0.0,0
2023-05-28,TK,Tokelau,WPRO,0.0,5,0.0,0
2023-06-04,TK,Tokelau,WPRO,0.0,5,0.0,0
2023-06-11,TK,Tokelau,WPRO,0.0,5,0.0,0
2023-06-18,TK,Tokelau,WPRO,0.0,5,0.0,0
2023-06-25,TK,Tokelau,WPRO,14.0,19,0.0,0
2023-07-02,TK,Tokelau,WPRO,4.0,23,0.0,0
2023-07-09,TK,Tokelau,WPRO,18.0,41,0.0,0
2023-07-16,TK,Tokelau,WPRO,39.0,80,0.0,0
2023-07-23,TK,Tokelau,WPRO,0.0,80,0.0,0
2023-07-30,TK,Tokelau,WPRO,0.0,80,0.0,0
2023-08-06,TK,Tokelau,WPRO,0.0,80,0.0,0
2023-08-13,TK,Tokelau,WPRO,0.0,80,0.0,0
2023-08-20,TK,Tokelau,WPRO,0.0,80,0.0,0
2023-08-27,TK,Tokelau,WPRO,0.0,80,0.0,0
2023-09-03,TK,Tokelau,WPRO,0.0,80,0.0,0
2023-09-10,TK,Tokelau,WPRO,0.0,80,0.0,0
2023-09-17,TK,Tokelau,WPRO,0.0,80,0.0,0
2023-09-24,TK,Tokelau,WPRO,0.0,80,0.0,0
2023-10-01,TK,Tokelau,WPRO,0.0,80,0.0,0
2023-10-08,TK,Tokelau,WPRO,0.0,80,0.0,0
2023-10-15,TK,Tokelau,WPRO,0.0,80,0.0,0
2023-10-22,TK,Tokelau,WPRO,0.0,80,0.0,0
2023-10-29,TK,Tokelau,WPRO,0.0,80,0.0,0
2023-11-05,TK,Tokelau,WPRO,0.0,80,0.0,0
2023-11-12,TK,Tokelau,WPRO,0.0,80,0.0,0
2023-11-19,TK,Tokelau,WPRO,0.0,80,0.0,0
2023-11-26,TK,Tokelau,WPRO,0.0,80,0.0,0
2023-12-03,TK,Tokelau,WPRO,0.0,80,0.0,0
2023-12-10,TK,Tokelau,WPRO,0.0,80,0.0,0
2023-12-17,TK,Tokelau,WPRO,0.0,80,0.0,0
2023-12-24,TK,Tokelau,WPRO,0.0,80,0.0,0
2023-12-31,TK,Tokelau,WPRO,0.0,80,0.0,0
2024-01-07,TK,Tokelau,WPRO,0.0,80,0.0,0
2024-01-14,TK,Tokelau,WPRO,0.0,80,0.0,0
2024-01-21,TK,Tokelau,WPRO,0.0,80,0.0,0
2024-01-28,TK,Tokelau,WPRO,0.0,80,0.0,0
2024-02-04,TK,Tokelau,WPRO,0.0,80,0.0,0
2024-02-11,TK,Tokelau,WPRO,0.0,80,0.0,0
2024-02-18,TK,Tokelau,WPRO,0.0,80,0.0,0
2024-02-25,TK,Tokelau,WPRO,0.0,80,0.0,0
2024-03-03,TK,Tokelau,WPRO,0.0,80,0.0,0
2024-03-10,TK,Tokelau,WPRO,0.0,80,0.0,0
2024-03-17,TK,Tokelau,WPRO,0.0,80,0.0,0
2024-03-24,TK,Tokelau,WPRO,0.0,80,0.0,0
2024-03-31,TK,Tokelau,WPRO,0.0,80,0.0,0
2024-04-07,TK,Tokelau,WPRO,0.0,80,0.0,0
2024-04-14,TK,Tokelau,WPRO,0.0,80,0.0,0
2024-04-21,TK,Tokelau,WPRO,0.0,80,0.0,0
2024-04-28,TK,Tokelau,WPRO,0.0,80,0.0,0
