Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2022-05-22,TV,Tuvalu,WPRO,3.0,3,0.0,0
2022-05-29,TV,Tuvalu,WPRO,0.0,3,0.0,0
2022-06-05,TV,Tuvalu,WPRO,0.0,3,0.0,0
2022-06-12,TV,Tuvalu,WPRO,0.0,3,0.0,0
2022-06-19,TV,Tuvalu,WPRO,0.0,3,0.0,0
2022-06-26,TV,Tuvalu,WPRO,0.0,3,0.0,0
2022-07-03,TV,Tuvalu,WPRO,0.0,3,0.0,0
2022-07-10,TV,Tuvalu,WPRO,5.0,8,0.0,0
2022-07-17,TV,Tuvalu,WPRO,0.0,8,0.0,0
2022-07-24,TV,Tuvalu,WPRO,0.0,8,0.0,0
2022-07-31,TV,Tuvalu,WPRO,0.0,8,0.0,0
2022-08-07,TV,Tuvalu,WPRO,0.0,8,0.0,0
2022-08-14,TV,Tuvalu,WPRO,0.0,8,0.0,0
2022-08-21,TV,Tuvalu,WPRO,0.0,8,0.0,0
2022-08-28,TV,Tuvalu,WPRO,12.0,20,0.0,0
2022-09-04,TV,Tuvalu,WPRO,0.0,20,0.0,0
2022-09-11,TV,Tuvalu,WPRO,0.0,20,0.0,0
2022-09-18,TV,Tuvalu,WPRO,0.0,20,0.0,0
2022-09-25,TV,Tuvalu,WPRO,0.0,20,0.0,0
2022-10-02,TV,Tuvalu,WPRO,0.0,20,0.0,0
2022-10-09,TV,Tuvalu,WPRO,3.0,23,0.0,0
2022-10-16,TV,Tuvalu,WPRO,0.0,23,0.0,0
2022-10-23,TV,Tuvalu,WPRO,0.0,23,0.0,0
2022-10-30,TV,Tuvalu,WPRO,0.0,23,0.0,0
2022-11-06,TV,Tuvalu,WPRO,140.0,163,0.0,0
2022-11-13,TV,Tuvalu,WPRO,1096.0,1259,0.0,0
2022-11-20,TV,Tuvalu,WPRO,998.0,2257,0.0,0
2022-11-27,TV,Tuvalu,WPRO,453.0,2710,0.0,0
2022-12-04,TV,Tuvalu,WPRO,69.0,2779,0.0,0
2022-12-11,TV,Tuvalu,WPRO,0.0,2779,0.0,0
2022-12-18,TV,Tuvalu,WPRO,0.0,2779,0.0,0
2022-12-25,TV,Tuvalu,WPRO,0.0,2779,0.0,0
