Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-03-22,UG,Uganda,AFRO,1.0,1,0.0,0
2020-03-29,UG,Uganda,AFRO,26.0,27,0.0,0
2020-04-05,UG,Uganda,AFRO,16.0,43,0.0,0
2020-04-12,UG,Uganda,AFRO,5.0,48,0.0,0
2020-04-19,UG,Uganda,AFRO,2.0,50,0.0,0
2020-04-26,UG,Uganda,AFRO,1.0,51,0.0,0
2020-05-03,UG,Uganda,AFRO,3.0,54,0.0,0
2020-05-10,UG,Uganda,AFRO,7.0,61,0.0,0
2020-05-17,UG,Uganda,AFRO,37.0,98,0.0,0
2020-05-24,UG,Uganda,AFRO,100.0,198,0.0,0
2020-05-31,UG,Uganda,AFRO,212.0,410,0.0,0
2020-06-07,UG,Uganda,AFRO,196.0,606,0.0,0
2020-06-14,UG,Uganda,AFRO,88.0,694,0.0,0
2020-06-21,UG,Uganda,AFRO,74.0,768,0.0,0
2020-06-28,UG,Uganda,AFRO,89.0,857,0.0,0
2020-07-05,UG,Uganda,AFRO,80.0,937,0.0,0
2020-07-12,UG,Uganda,AFRO,86.0,1023,0.0,0
2020-07-19,UG,Uganda,AFRO,40.0,1063,0.0,0
2020-07-26,UG,Uganda,AFRO,52.0,1115,2.0,2
2020-08-02,UG,Uganda,AFRO,67.0,1182,2.0,4
2020-08-09,UG,Uganda,AFRO,101.0,1283,3.0,7
2020-08-16,UG,Uganda,AFRO,217.0,1500,11.0,18
2020-08-23,UG,Uganda,AFRO,763.0,2263,7.0,25
2020-08-30,UG,Uganda,AFRO,665.0,2928,11.0,36
2020-09-06,UG,Uganda,AFRO,739.0,3667,15.0,51
2020-09-13,UG,Uganda,AFRO,1132.0,4799,11.0,62
2020-09-20,UG,Uganda,AFRO,1488.0,6287,13.0,75
2020-09-27,UG,Uganda,AFRO,1243.0,7530,8.0,83
2020-10-04,UG,Uganda,AFRO,1278.0,8808,15.0,98
2020-10-11,UG,Uganda,AFRO,993.0,9801,12.0,110
2020-10-18,UG,Uganda,AFRO,789.0,10590,8.0,118
2020-10-25,UG,Uganda,AFRO,853.0,11443,11.0,129
2020-11-01,UG,Uganda,AFRO,1300.0,12743,11.0,140
2020-11-08,UG,Uganda,AFRO,1662.0,14405,27.0,167
2020-11-15,UG,Uganda,AFRO,1615.0,16020,13.0,180
2020-11-22,UG,Uganda,AFRO,1949.0,17969,23.0,203
2020-11-29,UG,Uganda,AFRO,2178.0,20147,23.0,226
2020-12-06,UG,Uganda,AFRO,2354.0,22501,15.0,241
2020-12-13,UG,Uganda,AFRO,5034.0,27535,17.0,258
2020-12-20,UG,Uganda,AFRO,3656.0,31191,19.0,277
2020-12-27,UG,Uganda,AFRO,2624.0,33815,21.0,298
2021-01-03,UG,Uganda,AFRO,2107.0,35922,7.0,305
2021-01-10,UG,Uganda,AFRO,1820.0,37742,6.0,311
2021-01-17,UG,Uganda,AFRO,677.0,38419,4.0,315
2021-01-24,UG,Uganda,AFRO,730.0,39149,4.0,319
2021-01-31,UG,Uganda,AFRO,430.0,39579,2.0,321
2021-02-07,UG,Uganda,AFRO,269.0,39848,3.0,324
2021-02-14,UG,Uganda,AFRO,208.0,40056,2.0,326
2021-02-21,UG,Uganda,AFRO,157.0,40213,4.0,330
2021-02-28,UG,Uganda,AFRO,144.0,40357,1.0,331
2021-03-07,UG,Uganda,AFRO,122.0,40479,0.0,331
