Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-03-15,VC,Saint Vincent and the Grenadines,AMRO,1.0,1,0.0,0
2020-03-22,VC,Saint Vincent and the Grenadines,AMRO,0.0,1,0.0,0
2020-03-29,VC,Saint Vincent and the Grenadines,AMRO,0.0,1,0.0,0
2020-04-05,VC,Saint Vincent and the Grenadines,AMRO,2.0,3,0.0,0
2020-04-12,VC,Saint Vincent and the Grenadines,AMRO,9.0,12,0.0,0
2020-04-19,VC,Saint Vincent and the Grenadines,AMRO,0.0,12,0.0,0
2020-04-26,VC,Saint Vincent and the Grenadines,AMRO,2.0,14,0.0,0
2020-05-03,VC,Saint Vincent and the Grenadines,AMRO,2.0,16,0.0,0
2020-05-10,VC,Saint Vincent and the Grenadines,AMRO,1.0,17,0.0,0
2020-05-17,VC,Saint Vincent and the Grenadines,AMRO,0.0,17,0.0,0
2020-05-24,VC,Saint Vincent and the Grenadines,AMRO,1.0,18,0.0,0
2020-05-31,VC,Saint Vincent and the Grenadines,AMRO,7.0,25,0.0,0
2020-06-07,VC,Saint Vincent and the Grenadines,AMRO,1.0,26,0.0,0
2020-06-14,VC,Saint Vincent and the Grenadines,AMRO,1.0,27,0.0,0
2020-06-21,VC,Saint Vincent and the Grenadines,AMRO,2.0,29,0.0,0
2020-06-28,VC,Saint Vincent and the Grenadines,AMRO,0.0,29,0.0,0
2020-07-05,VC,Saint Vincent and the Grenadines,AMRO,0.0,29,0.0,0
2020-07-12,VC,Saint Vincent and the Grenadines,AMRO,0.0,29,0.0,0
2020-07-19,VC,Saint Vincent and the Grenadines,AMRO,6.0,35,0.0,0
2020-07-26,VC,Saint Vincent and the Grenadines,AMRO,17.0,52,0.0,0
2020-08-02,VC,Saint Vincent and the Grenadines,AMRO,2.0,54,0.0,0
2020-08-09,VC,Saint Vincent and the Grenadines,AMRO,2.0,56,0.0,0
2020-08-16,VC,Saint Vincent and the Grenadines,AMRO,1.0,57,0.0,0
2020-08-23,VC,Saint Vincent and the Grenadines,AMRO,1.0,58,0.0,0
2020-08-30,VC,Saint Vincent and the Grenadines,AMRO,2.0,60,0.0,0
2020-09-06,VC,Saint Vincent and the Grenadines,AMRO,1.0,61,0.0,0
2020-09-13,VC,Saint Vincent and the Grenadines,AMRO,3.0,64,0.0,0
2020-09-20,VC,Saint Vincent and the Grenadines,AMRO,0.0,64,0.0,0
2020-09-27,VC,Saint Vincent and the Grenadines,AMRO,0.0,64,0.0,0
2020-10-04,VC,Saint Vincent and the Grenadines,AMRO,0.0,64,0.0,0
2020-10-11,VC,Saint Vincent and the Grenadines,AMRO,0.0,64,0.0,0
2020-10-18,VC,Saint Vincent and the Grenadines,AMRO,3.0,67,0.0,0
2020-10-25,VC,Saint Vincent and the Grenadines,AMRO,6.0,73,0.0,0
2020-11-01,VC,Saint Vincent and the Grenadines,AMRO,1.0,74,0.0,0
2020-11-08,VC,Saint Vincent and the Grenadines,AMRO,2.0,76,0.0,0
2020-11-15,VC,Saint Vincent and the Grenadines,AMRO,2.0,78,0.0,0
2020-11-22,VC,Saint Vincent and the Grenadines,AMRO,6.0,84,0.0,0
2020-11-29,VC,Saint Vincent and the Grenadines,AMRO,1.0,85,0.0,0
2020-12-06,VC,Saint Vincent and the Grenadines,AMRO,2.0,87,0.0,0
2020-12-13,VC,Saint Vincent and the Grenadines,AMRO,7.0,94,0.0,0
2020-12-20,VC,Saint Vincent and the Grenadines,AMRO,6.0,100,0.0,0
2020-12-27,VC,Saint Vincent and the Grenadines,AMRO,8.0,108,0.0,0
2021-01-03,VC,Saint Vincent and the Grenadines,AMRO,14.0,122,0.0,0
2021-01-10,VC,Saint Vincent and the Grenadines,AMRO,82.0,204,0.0,0
2021-01-17,VC,Saint Vincent and the Grenadines,AMRO,246.0,450,1.0,1
2021-01-24,VC,Saint Vincent and the Grenadines,AMRO,270.0,720,1.0,2
2021-01-31,VC,Saint Vincent and the Grenadines,AMRO,176.0,896,0.0,2
2021-02-07,VC,Saint Vincent and the Grenadines,AMRO,274.0,1170,1.0,3
2021-02-14,VC,Saint Vincent and the Grenadines,AMRO,248.0,1418,3.0,6
2021-02-21,VC,Saint Vincent and the Grenadines,AMRO,80.0,1498,0.0,6
2021-02-28,VC,Saint Vincent and the Grenadines,AMRO,58.0,1556,2.0,8
