Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-03-29,VG,British Virgin Islands,AMRO,2.0,2,0.0,0
2020-04-05,VG,British Virgin Islands,AMRO,1.0,3,0.0,0
2020-04-12,VG,British Virgin Islands,AMRO,0.0,3,0.0,0
2020-04-19,VG,British Virgin Islands,AMRO,0.0,3,0.0,0
2020-04-26,VG,British Virgin Islands,AMRO,3.0,6,1.0,1
2020-05-03,VG,British Virgin Islands,AMRO,0.0,6,0.0,1
2020-05-10,VG,British Virgin Islands,AMRO,1.0,7,0.0,1
2020-05-17,VG,British Virgin Islands,AMRO,1.0,8,0.0,1
2020-05-24,VG,British Virgin Islands,AMRO,0.0,8,0.0,1
2020-05-31,VG,British Virgin Islands,AMRO,0.0,8,0.0,1
2020-06-07,VG,British Virgin Islands,AMRO,0.0,8,0.0,1
2020-06-14,VG,British Virgin Islands,AMRO,0.0,8,0.0,1
2020-06-21,VG,British Virgin Islands,AMRO,0.0,8,0.0,1
2020-06-28,VG,British Virgin Islands,AMRO,0.0,8,0.0,1
2020-07-05,VG,British Virgin Islands,AMRO,0.0,8,0.0,1
2020-07-12,VG,British Virgin Islands,AMRO,0.0,8,0.0,1
2020-07-19,VG,British Virgin Islands,AMRO,0.0,8,0.0,1
2020-07-26,VG,British Virgin Islands,AMRO,0.0,8,0.0,1
2020-08-02,VG,British Virgin Islands,AMRO,0.0,8,0.0,1
2020-08-09,VG,British Virgin Islands,AMRO,1.0,9,0.0,1
2020-08-16,VG,British Virgin Islands,AMRO,0.0,9,0.0,1
2020-08-23,VG,British Virgin Islands,AMRO,12.0,21,0.0,1
2020-08-30,VG,British Virgin Islands,AMRO,14.0,35,0.0,1
2020-09-06,VG,British Virgin Islands,AMRO,28.0,63,0.0,1
2020-09-13,VG,British Virgin Islands,AMRO,3.0,66,0.0,1
2020-09-20,VG,British Virgin Islands,AMRO,5.0,71,0.0,1
2020-09-27,VG,British Virgin Islands,AMRO,0.0,71,0.0,1
2020-10-04,VG,British Virgin Islands,AMRO,0.0,71,0.0,1
2020-10-11,VG,British Virgin Islands,AMRO,0.0,71,0.0,1
2020-10-18,VG,British Virgin Islands,AMRO,1.0,72,0.0,1
2020-10-25,VG,British Virgin Islands,AMRO,0.0,72,0.0,1
2020-11-01,VG,British Virgin Islands,AMRO,0.0,72,0.0,1
2020-11-08,VG,British Virgin Islands,AMRO,0.0,72,0.0,1
2020-11-15,VG,British Virgin Islands,AMRO,0.0,72,0.0,1
2020-11-22,VG,British Virgin Islands,AMRO,0.0,72,0.0,1
2020-11-29,VG,British Virgin Islands,AMRO,0.0,72,0.0,1
2020-12-06,VG,British Virgin Islands,AMRO,1.0,73,0.0,1
2020-12-13,VG,British Virgin Islands,AMRO,3.0,76,0.0,1
2020-12-20,VG,British Virgin Islands,AMRO,10.0,86,0.0,1
2020-12-27,VG,British Virgin Islands,AMRO,7.0,93,0.0,1
2021-01-03,VG,British Virgin Islands,AMRO,0.0,93,0.0,1
2021-01-10,VG,British Virgin Islands,AMRO,21.0,114,0.0,1
2021-01-17,VG,British Virgin Islands,AMRO,7.0,121,0.0,1
2021-01-24,VG,British Virgin Islands,AMRO,16.0,137,0.0,1
2021-01-31,VG,British Virgin Islands,AMRO,4.0,141,0.0,1
2021-02-07,VG,British Virgin Islands,AMRO,0.0,141,0.0,1
