Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-11-15,VU,Vanuatu,WPRO,1.0,1,0.0,0
2020-11-22,VU,Vanuatu,WPRO,0.0,1,0.0,0
2020-11-29,VU,Vanuatu,WPRO,0.0,1,0.0,0
2020-12-06,VU,Vanuatu,WPRO,0.0,1,0.0,0
2020-12-13,VU,Vanuatu,WPRO,0.0,1,0.0,0
2020-12-20,VU,Vanuatu,WPRO,0.0,1,0.0,0
2020-12-27,VU,Vanuatu,WPRO,0.0,1,0.0,0
2021-01-03,VU,Vanuatu,WPRO,0.0,1,0.0,0
2021-01-10,VU,Vanuatu,WPRO,0.0,1,0.0,0
2021-01-17,VU,Vanuatu,WPRO,0.0,1,0.0,0
2021-01-24,VU,Vanuatu,WPRO,0.0,1,0.0,0
2021-01-31,VU,Vanuatu,WPRO,0.0,1,0.0,0
2021-02-07,VU,Vanuatu,WPRO,0.0,1,0.0,0
2021-02-14,VU,Vanuatu,WPRO,0.0,1,0.0,0
2021-02-21,VU,Vanuatu,WPRO,0.0,1,0.0,0
2021-02-28,VU,Vanuatu,WPRO,0.0,1,0.0,0
2021-03-07,VU,Vanuatu,WPRO,2.0,3,0.0,0
2021-03-14,VU,Vanuatu,WPRO,0.0,3,0.0,0
2021-03-21,VU,Vanuatu,WPRO,0.0,3,0.0,0
2021-03-28,VU,Vanuatu,WPRO,0.0,3,0.0,0
2021-04-04,VU,Vanuatu,WPRO,0.0,3,0.0,0
2021-04-11,VU,Vanuatu,WPRO,0.0,3,0.0,0
2021-04-18,VU,Vanuatu,WPRO,0.0,3,0.0,0
2021-04-25,VU,Vanuatu,WPRO,0.0,3,0.0,0
2021-05-02,VU,Vanuatu,WPRO,0.0,3,0.0,0
2021-05-09,VU,Vanuatu,WPRO,0.0,3,0.0,0
2021-05-16,VU,Vanuatu,WPRO,0.0,3,0.0,0
2021-05-23,VU,Vanuatu,WPRO,0.0,3,0.0,0
2021-05-30,VU,Vanuatu,WPRO,0.0,3,0.0,0
2021-06-06,VU,Vanuatu,WPRO,0.0,3,0.0,0
2021-06-13,VU,Vanuatu,WPRO,0.0,3,0.0,0
2021-06-20,VU,Vanuatu,WPRO,0.0,3,0.0,0
2021-06-27,VU,Vanuatu,WPRO,0.0,3,0.0,0
2021-07-04,VU,Vanuatu,WPRO,0.0,3,0.0,0
2021-07-11,VU,Vanuatu,WPRO,0.0,3,0.0,0
