Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-12-13,XXF,Fesco,OTHER,3.0,3,0.0,0
2020-12-20,XXF,Fesco,OTHER,0.0,3,0.0,0
2020-12-27,XXF,Fesco,OTHER,1.0,4,0.0,0
2021-01-03,XXF,Fesco,OTHER,0.0,4,0.0,0
2021-01-10,XXF,Fesco,OTHER,0.0,4,0.0,0
2021-01-17,XXF,Fesco,OTHER,0.0,4,0.0,0
2021-01-24,XXF,Fesco,OTHER,0.0,4,0.0,0
2021-01-31,XXF,Fesco,OTHER,0.0,4,0.0,0
2021-02-07,XXF,Fesco,OTHER,0.0,4,0.0,0
2021-02-14,XXF,Fesco,OTHER,0.0,4,0.0,0
2021-02-21,XXF,Fesco,OTHER,0.0,4,0.0,0
2021-02-28,XXF,Fesco,OTHER,0.0,4,0.0,0
2021-03-07,XXF,Fesco,OTHER,0.0,4,0.0,0
2021-03-14,XXF,Fesco,OTHER,0.0,4,0.0,0
2021-03-21,XXF,Fesco,OTHER,0.0,4,0.0,0
2021-03-28,XXF,Fesco,OTHER,0.0,4,0.0,0
2021-04-04,XXF,Fesco,OTHER,0.0,4,0.0,0
2021-04-11,XXF,Fesco,OTHER,0.0,4,0.0,0
2021-04-18,XXF,Fesco,OTHER,0.0,4,0.0,0
2021-04-25,XXF,Fesco,OTHER,0.0,4,0.0,0
2021-05-02,XXF,Fesco,OTHER,0.0,4,0.0,0
2021-05-09,XXF,Fesco,OTHER,0.0,4,0.0,0
2021-05-16,XXF,Fesco,OTHER,0.0,4,0.0,0
2021-05-23,XXF,Fesco,OTHER,0.0,4,0.0,0
2021-05-30,XXF,Fesco,OTHER,0.0,4,0.0,0
2021-06-06,XXF,Fesco,OTHER,0.0,4,0.0,0
2021-06-13,XXF,Fesco,OTHER,0.0,4,0.0,0
2021-06-20,XXF,Fesco,OTHER,0.0,4,0.0,0
2021-06-27,XXF,Fesco,OTHER,0.0,4,0.0,0
2021-07-04,XXF,Fesco,OTHER,0.0,4,0.0,0
2021-07-11,XXF,Fesco,OTHER,0.0,4,0.0,0
2021-07-18,XXF,Fesco,OTHER,0.0,4,0.0,0
2021-07-25,XXF,Fesco,OTHER,0.0,4,0.0,0
2021-08-01,XXF,Fesco,OTHER,0.0,4,0.0,0
2021-08-08,XXF,Fesco,OTHER,0.0,4,0.0,0
2021-08-15,XXF,Fesco,OTHER,0.0,4,0.0,0
2021-08-22,XXF,Fesco,OTHER,0.0,4,0.0,0
2021-08-29,XXF,Fesco,OTHER,0.0,4,0.0,0
2021-09-05,XXF,Fesco,OTHER,0.0,4,0.0,0
2021-09-12,XXF,Fesco,OTHER,0.0,4,0.0,0
2021-09-19,XXF,Fesco,OTHER,0.0,4,0.0,0
2021-09-26,XXF,Fesco,OTHER,0.0,4,0.0,0
2021-10-03,XXF,Fesco,OTHER,0.0,4,0.0,0
2021-10-10,XXF,Fesco,OTHER,0.0,4,0.0,0
2021-10-17,XXF,Fesco,OTHER,0.0,4,0.0,0
2021-10-24,XXF,Fesco,OTHER,0.0,4,0.0,0
2021-10-31,XXF,Fesco,OTHER,0.0,4,0.0,0
2021-11-07,XXF,Fesco,OTHER,0.0,4,0.0,0
2021-11-14,XXF,Fesco,OTHER,0.0,4,0.0,0
2021-11-21,XXF,Fesco,OTHER,0.0,4,0.0,0
2021-11-28,XXF,Fesco,OTHER,0.0,4,0.0,0
2021-12-05,XXF,Fesco,OTHER,0.0,4,0.0,0
2021-12-12,XXF,Fesco,OTHER,0.0,4,0.0,0
2021-12-19,XXF,Fesco,OTHER,0.0,4,0.0,0
2021-12-26,XXF,Fesco,OTHER,0.0,4,0.0,0
2022-01-02,XXF,Fesco,OTHER,0.0,4,0.0,0
2022-01-09,XXF,Fesco,OTHER,0.0,4,0.0,0
2022-01-16,XXF,Fesco,OTHER,0.0,4,0.0,0
2022-01-23,XXF,Fesco,OTHER,0.0,4,0.0,0
2022-01-30,XXF,Fesco,OTHER,0.0,4,0.0,0
2022-02-06,XXF,Fesco,OTHER,0.0,4,0.0,0
2022-02-13,XXF,Fesco,OTHER,0.0,4,0.0,0
2022-02-20,XXF,Fesco,OTHER,0.0,4,0.0,0
2022-02-27,XXF,Fesco,OTHER,0.0,4,0.0,0
2022-03-06,XXF,Fesco,OTHER,0.0,4,0.0,0
2022-03-13,XXF,Fesco,OTHER,0.0,4,0.0,0
2022-03-20,XXF,Fesco,OTHER,0.0,4,0.0,0
2022-03-27,XXF,Fesco,OTHER,0.0,4,0.0,0
2022-04-03,XXF,Fesco,OTHER,0.0,4,0.0,0
2022-04-10,XXF,Fesco,OTHER,0.0,4,0.0,0
2022-04-17,XXF,Fesco,OTHER,0.0,4,0.0,0
2022-04-24,XXF,Fesco,OTHER,0.0,4,0.0,0
2022-05-01,XXF,Fesco,OTHER,0.0,4,0.0,0
2022-05-08,XXF,Fesco,OTHER,0.0,4,0.0,0
2022-05-15,XXF,Fesco,OTHER,0.0,4,0.0,0
2022-05-22,XXF,Fesco,OTHER,0.0,4,0.0,0
2022-05-29,XXF,Fesco,OTHER,0.0,4,0.0,0
2022-06-05,XXF,Fesco,OTHER,0.0,4,0.0,0
2022-06-12,XXF,Fesco,OTHER,0.0,4,0.0,0
2022-06-19,XXF,Fesco,OTHER,0.0,4,0.0,0
2022-06-26,XXF,Fesco,OTHER,0.0,4,0.0,0
2022-07-03,XXF,Fesco,OTHER,0.0,4,0.0,0
2022-07-10,XXF,Fesco,OTHER,0.0,4,0.0,0
2022-07-17,XXF,Fesco,OTHER,0.0,4,0.0,0
2022-07-24,XXF,Fesco,OTHER,0.0,4,0.0,0
2022-07-31,XXF,Fesco,OTHER,0.0,4,0.0,0
2022-08-07,XXF,Fesco,OTHER,0.0,4,0.0,0
2022-08-14,XXF,Fesco,OTHER,0.0,4,0.0,0
2022-08-21,XXF,Fesco,OTHER,0.0,4,0.0,0
2022-08-28,XXF,Fesco,OTHER,0.0,4,0.0,0
2022-09-04,XXF,Fesco,OTHER,0.0,4,0.0,0
2022-09-11,XXF,Fesco,OTHER,0.0,4,0.0,0
2022-09-18,XXF,Fesco,OTHER,0.0,4,0.0,0
2022-09-25,XXF,Fesco,OTHER,0.0,4,0.0,0
2022-10-02,XXF,Fesco,OTHER,0.0,4,0.0,0
2022-10-09,XXF,Fesco,OTHER,0.0,4,0.0,0
2022-10-16,XXF,Fesco,OTHER,0.0,4,0.0,0
2022-10-23,XXF,Fesco,OTHER,0.0,4,0.0,0
2022-10-30,XXF,Fesco,OTHER,0.0,4,0.0,0
2022-11-06,XXF,Fesco,OTHER,0.0,4,0.0,0
2022-11-13,XXF,Fesco,OTHER,0.0,4,0.0,0
2022-11-20,XXF,Fesco,OTHER,0.0,4,0.0,0
2022-11-27,XXF,Fesco,OTHER,0.0,4,0.0,0
2022-12-04,XXF,Fesco,OTHER,0.0,4,0.0,0
2022-12-11,XXF,Fesco,OTHER,0.0,4,0.0,0
2022-12-18,XXF,Fesco,OTHER,0.0,4,0.0,0
2022-12-25,XXF,Fesco,OTHER,0.0,4,0.0,0
2023-01-01,XXF,Fesco,OTHER,0.0,4,0.0,0
2023-01-08,XXF,Fesco,OTHER,0.0,4,0.0,0
2023-01-15,XXF,Fesco,OTHER,0.0,4,0.0,0
2023-01-22,XXF,Fesco,OTHER,0.0,4,0.0,0
2023-01-29,XXF,Fesco,OTHER,0.0,4,0.0,0
2023-02-05,XXF,Fesco,OTHER,0.0,4,0.0,0
2023-02-12,XXF,Fesco,OTHER,0.0,4,0.0,0
2023-02-19,XXF,Fesco,OTHER,0.0,4,0.0,0
2023-02-26,XXF,Fesco,OTHER,0.0,4,0.0,0
2023-03-05,XXF,Fesco,OTHER,0.0,4,0.0,0
2023-03-12,XXF,Fesco,OTHER,0.0,4,0.0,0
2023-03-19,XXF,Fesco,OTHER,0.0,4,0.0,0
2023-03-26,XXF,Fesco,OTHER,0.0,4,0.0,0
2023-04-02,XXF,Fesco,OTHER,0.0,4,0.0,0
2023-04-09,XXF,Fesco,OTHER,0.0,4,0.0,0
2023-04-16,XXF,Fesco,OTHER,0.0,4,0.0,0
2023-04-23,XXF,Fesco,OTHER,0.0,4,0.0,0
2023-04-30,XXF,Fesco,OTHER,0.0,4,0.0,0
2023-05-07,XXF,Fesco,OTHER,0.0,4,0.0,0
2023-05-14,XXF,Fesco,OTHER,0.0,4,0.0,0
2023-05-21,XXF,Fesco,OTHER,0.0,4,0.0,0
2023-05-28,XXF,Fesco,OTHER,0.0,4,0.0,0
2023-06-04,XXF,Fesco,OTHER,0.0,4,0.0,0
2023-06-11,XXF,Fesco,OTHER,0.0,4,0.0,0
2023-06-18,XXF,Fesco,OTHER,0.0,4,0.0,0
2023-06-25,XXF,Fesco,OTHER,0.0,4,0.0,0
2023-07-02,XXF,Fesco,OTHER,0.0,4,0.0,0
2023-07-09,XXF,Fesco,OTHER,0.0,4,0.0,0
2023-07-16,XXF,Fesco,OTHER,0.0,4,0.0,0
2023-07-23,XXF,Fesco,OTHER,0.0,4,0.0,0
2023-07-30,XXF,Fesco,OTHER,0.0,4,0.0,0
2023-08-06,XXF,Fesco,OTHER,0.0,4,0.0,0
2023-08-13,XXF,Fesco,OTHER,0.0,4,0.0,0
2023-08-20,XXF,Fesco,OTHER,0.0,4,0.0,0
2023-08-27,XXF,Fesco,OTHER,0.0,4,0.0,0
2023-09-03,XXF,Fesco,OTHER,0.0,4,0.0,0
2023-09-10,XXF,Fesco,OTHER,0.0,4,0.0,0
2023-09-17,XXF,Fesco,OTHER,0.0,4,0.0,0
2023-09-24,XXF,Fesco,OTHER,0.0,4,0.0,0
2023-10-01,XXF,Fesco,OTHER,0.0,4,0.0,0
2023-10-08,XXF,Fesco,OTHER,0.0,4,0.0,0
2023-10-15,XXF,Fesco,OTHER,0.0,4,0.0,0
2023-10-22,XXF,Fesco,OTHER,0.0,4,0.0,0
2023-10-29,XXF,Fesco,OTHER,0.0,4,0.0,0
2023-11-05,XXF,Fesco,OTHER,0.0,4,0.0,0
2023-11-12,XXF,Fesco,OTHER,0.0,4,0.0,0
2023-11-19,XXF,Fesco,OTHER,0.0,4,0.0,0
2023-11-26,XXF,Fesco,OTHER,0.0,4,0.0,0
2023-12-03,XXF,Fesco,OTHER,0.0,4,0.0,0
2023-12-10,XXF,Fesco,OTHER,0.0,4,0.0,0
2023-12-17,XXF,Fesco,OTHER,0.0,4,0.0,0
2023-12-24,XXF,Fesco,OTHER,0.0,4,0.0,0
2023-12-31,XXF,Fesco,OTHER,0.0,4,0.0,0
2024-01-07,XXF,Fesco,OTHER,0.0,4,0.0,0
2024-01-14,XXF,Fesco,OTHER,0.0,4,0.0,0
2024-01-21,XXF,Fesco,OTHER,0.0,4,0.0,0
2024-01-28,XXF,Fesco,OTHER,0.0,4,0.0,0
2024-02-04,XXF,Fesco,OTHER,0.0,4,0.0,0
2024-02-11,XXF,Fesco,OTHER,0.0,4,0.0,0
2024-02-18,XXF,Fesco,OTHER,0.0,4,0.0,0
2024-02-25,XXF,Fesco,OTHER,0.0,4,0.0,0
2024-03-03,XXF,Fesco,OTHER,0.0,4,0.0,0
2024-03-10,XXF,Fesco,OTHER,0.0,4,0.0,0
2024-03-17,XXF,Fesco,OTHER,0.0,4,0.0,0
2024-03-24,XXF,Fesco,OTHER,0.0,4,0.0,0
2024-03-31,XXF,Fesco,OTHER,0.0,4,0.0,0
2024-04-07,XXF,Fesco,OTHER,0.0,4,0.0,0
2024-04-14,XXF,Fesco,OTHER,0.0,4,0.0,0
2024-04-21,XXF,Fesco,OTHER,0.0,4,0.0,0
2024-04-28,XXF,Fesco,OTHER,0.0,4,0.0,0
