Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2021-04-25,XXG,Chefoo,OTHER,1.0,1,0.0,0
2021-05-02,XXG,Chefoo,OTHER,0.0,1,0.0,0
2021-05-09,XXG,Chefoo,OTHER,0.0,1,0.0,0
2021-05-16,XXG,Chefoo,OTHER,0.0,1,0.0,0
2021-05-23,XXG,Chefoo,OTHER,4.0,5,0.0,0
2021-05-30,XXG,Chefoo,OTHER,0.0,5,0.0,0
2021-06-06,XXG,Chefoo,OTHER,0.0,5,0.0,0
2021-06-13,XXG,Chefoo,OTHER,0.0,5,0.0,0
2021-06-20,XXG,Chefoo,OTHER,0.0,5,0.0,0
2021-06-27,XXG,Chefoo,OTHER,0.0,5,0.0,0
2021-07-04,XXG,Chefoo,OTHER,0.0,5,0.0,0
2021-07-11,XXG,Chefoo,OTHER,0.0,5,0.0,0
2021-07-18,XXG,Chefoo,OTHER,0.0,5,0.0,0
2021-07-25,XXG,Chefoo,OTHER,0.0,5,0.0,0
2021-08-01,XXG,Chefoo,OTHER,0.0,5,0.0,0
2021-08-08,XXG,Chefoo,OTHER,0.0,5,0.0,0
2021-08-15,XXG,Chefoo,OTHER,0.0,5,0.0,0
2021-08-22,XXG,Chefoo,OTHER,0.0,5,0.0,0
2021-08-29,XXG,Chefoo,OTHER,0.0,5,0.0,0
2021-09-05,XXG,Chefoo,OTHER,0.0,5,0.0,0
2021-09-12,XXG,Chefoo,OTHER,0.0,5,0.0,0
2021-09-19,XXG,Chefoo,OTHER,0.0,5,0.0,0
2021-09-26,XXG,Chefoo,OTHER,0.0,5,0.0,0
2021-10-03,XXG,Chefoo,OTHER,0.0,5,0.0,0
2021-10-10,XXG,Chefoo,OTHER,0.0,5,0.0,0
2021-10-17,XXG,Chefoo,OTHER,0.0,5,0.0,0
2021-10-24,XXG,Chefoo,OTHER,0.0,5,0.0,0
2021-10-31,XXG,Chefoo,OTHER,0.0,5,0.0,0
2021-11-07,XXG,Chefoo,OTHER,0.0,5,0.0,0
2021-11-14,XXG,Chefoo,OTHER,0.0,5,0.0,0
2021-11-21,XXG,Chefoo,OTHER,0.0,5,0.0,0
2021-11-28,XXG,Chefoo,OTHER,0.0,5,0.0,0
2021-12-05,XXG,Chefoo,OTHER,0.0,5,0.0,0
2021-12-12,XXG,Chefoo,OTHER,0.0,5,0.0,0
2021-12-19,XXG,Chefoo,OTHER,0.0,5,0.0,0
2021-12-26,XXG,Chefoo,OTHER,0.0,5,0.0,0
2022-01-02,XXG,Chefoo,OTHER,0.0,5,0.0,0
2022-01-09,XXG,Chefoo,OTHER,0.0,5,0.0,0
2022-01-16,XXG,Chefoo,OTHER,0.0,5,0.0,0
2022-01-23,XXG,Chefoo,OTHER,0.0,5,0.0,0
2022-01-30,XXG,Chefoo,OTHER,0.0,5,0.0,0
2022-02-06,XXG,Chefoo,OTHER,0.0,5,0.0,0
2022-02-13,XXG,Chefoo,OTHER,0.0,5,0.0,0
2022-02-20,XXG,Chefoo,OTHER,0.0,5,0.0,0
2022-02-27,XXG,Chefoo,OTHER,0.0,5,0.0,0
2022-03-06,XXG,Chefoo,OTHER,0.0,5,0.0,0
2022-03-13,XXG,Chefoo,OTHER,0.0,5,0.0,0
2022-03-20,XXG,Chefoo,OTHER,0.0,5,0.0,0
2022-03-27,XXG,Chefoo,OTHER,0.0,5,0.0,0
2022-04-03,XXG,Chefoo,OTHER,0.0,5,0.0,0
2022-04-10,XXG,Chefoo,OTHER,0.0,5,0.0,0
2022-04-17,XXG,Chefoo,OTHER,0.0,5,0.0,0
2022-04-24,XXG,Chefoo,OTHER,0.0,5,0.0,0
2022-05-01,XXG,Chefoo,OTHER,0.0,5,0.0,0
2022-05-08,XXG,Chefoo,OTHER,0.0,5,0.0,0
2022-05-15,XXG,Chefoo,OTHER,0.0,5,0.0,0
2022-05-22,XXG,Chefoo,OTHER,0.0,5,0.0,0
2022-05-29,XXG,Chefoo,OTHER,0.0,5,0.0,0
2022-06-05,XXG,Chefoo,OTHER,0.0,5,0.0,0
2022-06-12,XXG,Chefoo,OTHER,0.0,5,0.0,0
2022-06-19,XXG,Chefoo,OTHER,0.0,5,0.0,0
2022-06-26,XXG,Chefoo,OTHER,0.0,5,0.0,0
2022-07-03,XXG,Chefoo,OTHER,0.0,5,0.0,0
2022-07-10,XXG,Chefoo,OTHER,0.0,5,0.0,0
2022-07-17,XXG,Chefoo,OTHER,0.0,5,0.0,0
2022-07-24,XXG,Chefoo,OTHER,0.0,5,0.0,0
2022-07-31,XXG,Chefoo,OTHER,0.0,5,0.0,0
2022-08-07,XXG,Chefoo,OTHER,0.0,5,0.0,0
2022-08-14,XXG,Chefoo,OTHER,0.0,5,0.0,0
2022-08-21,XXG,Chefoo,OTHER,0.0,5,0.0,0
2022-08-28,XXG,Chefoo,OTHER,0.0,5,0.0,0
2022-09-04,XXG,Chefoo,OTHER,0.0,5,0.0,0
2022-09-11,XXG,Chefoo,OTHER,0.0,5,0.0,0
2022-09-18,XXG,Chefoo,OTHER,0.0,5,0.0,0
2022-09-25,XXG,Chefoo,OTHER,0.0,5,0.0,0
2022-10-02,XXG,Chefoo,OTHER,0.0,5,0.0,0
2022-10-09,XXG,Chefoo,OTHER,0.0,5,0.0,0
2022-10-16,XXG,Chefoo,OTHER,0.0,5,0.0,0
2022-10-23,XXG,Chefoo,OTHER,0.0,5,0.0,0
2022-10-30,XXG,Chefoo,OTHER,0.0,5,0.0,0
2022-11-06,XXG,Chefoo,OTHER,0.0,5,0.0,0
2022-11-13,XXG,Chefoo,OTHER,0.0,5,0.0,0
2022-11-20,XXG,Chefoo,OTHER,0.0,5,0.0,0
2022-11-27,XXG,Chefoo,OTHER,0.0,5,0.0,0
2022-12-04,XXG,Chefoo,OTHER,0.0,5,0.0,0
