Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-02-09,XXJ,Diamond,OTHER,74.0,74,0.0,0
2020-02-16,XXJ,Diamond,OTHER,285.0,359,0.0,0
2020-02-23,XXJ,Diamond,OTHER,336.0,695,2.0,2
2020-03-01,XXJ,Diamond,OTHER,5.0,700,4.0,6
2020-03-08,XXJ,Diamond,OTHER,0.0,700,1.0,7
2020-03-15,XXJ,Diamond,OTHER,12.0,712,0.0,7
2020-03-22,XXJ,Diamond,OTHER,0.0,712,1.0,8
2020-03-29,XXJ,Diamond,OTHER,0.0,712,2.0,10
2020-04-05,XXJ,Diamond,OTHER,0.0,712,1.0,11
2020-04-12,XXJ,Diamond,OTHER,0.0,712,0.0,11
2020-04-19,XXJ,Diamond,OTHER,0.0,712,2.0,13
2020-04-26,XXJ,Diamond,OTHER,0.0,712,0.0,13
2020-05-03,XXJ,Diamond,OTHER,0.0,712,0.0,13
2020-05-10,XXJ,Diamond,OTHER,0.0,712,0.0,13
2020-05-17,XXJ,Diamond,OTHER,0.0,712,0.0,13
2020-05-24,XXJ,Diamond,OTHER,0.0,712,0.0,13
2020-05-31,XXJ,Diamond,OTHER,0.0,712,0.0,13
2020-06-07,XXJ,Diamond,OTHER,0.0,712,0.0,13
2020-06-14,XXJ,Diamond,OTHER,0.0,712,0.0,13
2020-06-21,XXJ,Diamond,OTHER,0.0,712,0.0,13
2020-06-28,XXJ,Diamond,OTHER,0.0,712,0.0,13
2020-07-05,XXJ,Diamond,OTHER,0.0,712,0.0,13
2020-07-12,XXJ,Diamond,OTHER,0.0,712,0.0,13
2020-07-19,XXJ,Diamond,OTHER,0.0,712,0.0,13
2020-07-26,XXJ,Diamond,OTHER,0.0,712,0.0,13
2020-08-02,XXJ,Diamond,OTHER,0.0,712,0.0,13
2020-08-09,XXJ,Diamond,OTHER,0.0,712,0.0,13
2020-08-16,XXJ,Diamond,OTHER,0.0,712,0.0,13
2020-08-23,XXJ,Diamond,OTHER,0.0,712,0.0,13
2020-08-30,XXJ,Diamond,OTHER,0.0,712,0.0,13
2020-09-06,XXJ,Diamond,OTHER,0.0,712,0.0,13
2020-09-13,XXJ,Diamond,OTHER,0.0,712,0.0,13
2020-09-20,XXJ,Diamond,OTHER,0.0,712,0.0,13
2020-09-27,XXJ,Diamond,OTHER,0.0,712,0.0,13
2020-10-04,XXJ,Diamond,OTHER,0.0,712,0.0,13
2020-10-11,XXJ,Diamond,OTHER,0.0,712,0.0,13
2020-10-18,XXJ,Diamond,OTHER,0.0,712,0.0,13
2020-10-25,XXJ,Diamond,OTHER,0.0,712,0.0,13
2020-11-01,XXJ,Diamond,OTHER,0.0,712,0.0,13
2020-11-08,XXJ,Diamond,OTHER,0.0,712,0.0,13
2020-11-15,XXJ,Diamond,OTHER,0.0,712,0.0,13
2020-11-22,XXJ,Diamond,OTHER,0.0,712,0.0,13
2020-11-29,XXJ,Diamond,OTHER,0.0,712,0.0,13
2020-12-06,XXJ,Diamond,OTHER,0.0,712,0.0,13
2020-12-13,XXJ,Diamond,OTHER,0.0,712,0.0,13
2020-12-20,XXJ,Diamond,OTHER,0.0,712,0.0,13
2020-12-27,XXJ,Diamond,OTHER,0.0,712,0.0,13
2021-01-03,XXJ,Diamond,OTHER,0.0,712,0.0,13
2021-01-10,XXJ,Diamond,OTHER,0.0,712,0.0,13
2021-01-17,XXJ,Diamond,OTHER,0.0,712,0.0,13
2021-01-24,XXJ,Diamond,OTHER,0.0,712,0.0,13
2021-01-31,XXJ,Diamond,OTHER,0.0,712,0.0,13
2021-02-07,XXJ,Diamond,OTHER,0.0,712,0.0,13
2021-02-14,XXJ,Diamond,OTHER,0.0,712,0.0,13
2021-02-21,XXJ,Diamond,OTHER,0.0,712,0.0,13
2021-02-28,XXJ,Diamond,OTHER,0.0,712,0.0,13
2021-03-07,XXJ,Diamond,OTHER,0.0,712,0.0,13
2021-03-14,XXJ,Diamond,OTHER,0.0,712,0.0,13
2021-03-21,XXJ,Diamond,OTHER,0.0,712,0.0,13
2021-03-28,XXJ,Diamond,OTHER,0.0,712,0.0,13
2021-04-04,XXJ,Diamond,OTHER,0.0,712,0.0,13
2021-04-11,XXJ,Diamond,OTHER,0.0,712,0.0,13
2021-04-18,XXJ,Diamond,OTHER,0.0,712,0.0,13
2021-04-25,XXJ,Diamond,OTHER,0.0,712,0.0,13
2021-05-02,XXJ,Diamond,OTHER,0.0,712,0.0,13
2021-05-09,XXJ,Diamond,OTHER,0.0,712,0.0,13
2021-05-16,XXJ,Diamond,OTHER,0.0,712,0.0,13
2021-05-23,XXJ,Diamond,OTHER,0.0,712,0.0,13
2021-05-30,XXJ,Diamond,OTHER,0.0,712,0.0,13
2021-06-06,XXJ,Diamond,OTHER,0.0,712,0.0,13
2021-06-13,XXJ,Diamond,OTHER,0.0,712,0.0,13
2021-06-20,XXJ,Diamond,OTHER,0.0,712,0.0,13
2021-06-27,XXJ,Diamond,OTHER,0.0,712,0.0,13
2021-07-04,XXJ,Diamond,OTHER,0.0,712,0.0,13
2021-07-11,XXJ,Diamond,OTHER,0.0,712,0.0,13
2021-07-18,XXJ,Diamond,OTHER,0.0,712,0.0,13
2021-07-25,XXJ,Diamond,OTHER,0.0,712,0.0,13
2021-08-01,XXJ,Diamond,OTHER,0.0,712,0.0,13
2021-08-08,XXJ,Diamond,OTHER,0.0,712,0.0,13
2021-08-15,XXJ,Diamond,OTHER,0.0,712,0.0,13
2021-08-22,XXJ,Diamond,OTHER,0.0,712,0.0,13
2021-08-29,XXJ,Diamond,OTHER,0.0,712,0.0,13
2021-09-05,XXJ,Diamond,OTHER,0.0,712,0.0,13
2021-09-12,XXJ,Diamond,OTHER,0.0,712,0.0,13
2021-09-19,XXJ,Diamond,OTHER,0.0,712,0.0,13
2021-09-26,XXJ,Diamond,OTHER,0.0,712,0.0,13
2021-10-03,XXJ,Diamond,OTHER,0.0,712,0.0,13
2021-10-10,XXJ,Diamond,OTHER,0.0,712,0.0,13
2021-10-17,XXJ,Diamond,OTHER,0.0,712,0.0,13
2021-10-24,XXJ,Diamond,OTHER,0.0,712,0.0,13
2021-10-31,XXJ,Diamond,OTHER,0.0,712,0.0,13
2021-11-07,XXJ,Diamond,OTHER,0.0,712,0.0,13
2021-11-14,XXJ,Diamond,OTHER,0.0,712,0.0,13
2021-11-21,XXJ,Diamond,OTHER,0.0,712,0.0,13
2021-11-28,XXJ,Diamond,OTHER,0.0,712,0.0,13
2021-12-05,XXJ,Diamond,OTHER,0.0,712,0.0,13
2021-12-12,XXJ,Diamond,OTHER,0.0,712,0.0,13
2021-12-19,XXJ,Diamond,OTHER,0.0,712,0.0,13
2021-12-26,XXJ,Diamond,OTHER,0.0,712,0.0,13
2022-01-02,XXJ,Diamond,OTHER,0.0,712,0.0,13
2022-01-09,XXJ,Diamond,OTHER,0.0,712,0.0,13
2022-01-16,XXJ,Diamond,OTHER,0.0,712,0.0,13
2022-01-23,XXJ,Diamond,OTHER,0.0,712,0.0,13
2022-01-30,XXJ,Diamond,OTHER,0.0,712,0.0,13
2022-02-06,XXJ,Diamond,OTHER,0.0,712,0.0,13
2022-02-13,XXJ,Diamond,OTHER,0.0,712,0.0,13
2022-02-20,XXJ,Diamond,OTHER,0.0,712,0.0,13
2022-02-27,XXJ,Diamond,OTHER,0.0,712,0.0,13
2022-03-06,XXJ,Diamond,OTHER,0.0,712,0.0,13
2022-03-13,XXJ,Diamond,OTHER,0.0,712,0.0,13
2022-03-20,XXJ,Diamond,OTHER,0.0,712,0.0,13
2022-03-27,XXJ,Diamond,OTHER,0.0,712,0.0,13
2022-04-03,XXJ,Diamond,OTHER,0.0,712,0.0,13
2022-04-10,XXJ,Diamond,OTHER,0.0,712,0.0,13
2022-04-17,XXJ,Diamond,OTHER,0.0,712,0.0,13
2022-04-24,XXJ,Diamond,OTHER,0.0,712,0.0,13
2022-05-01,XXJ,Diamond,OTHER,0.0,712,0.0,13
2022-05-08,XXJ,Diamond,OTHER,0.0,712,0.0,13
2022-05-15,XXJ,Diamond,OTHER,0.0,712,0.0,13
2022-05-22,XXJ,Diamond,OTHER,0.0,712,0.0,13
2022-05-29,XXJ,Diamond,OTHER,0.0,712,0.0,13
2022-06-05,XXJ,Diamond,OTHER,0.0,712,0.0,13
2022-06-12,XXJ,Diamond,OTHER,0.0,712,0.0,13
2022-06-19,XXJ,Diamond,OTHER,0.0,712,0.0,13
2022-06-26,XXJ,Diamond,OTHER,0.0,712,0.0,13
2022-07-03,XXJ,Diamond,OTHER,0.0,712,0.0,13
2022-07-10,XXJ,Diamond,OTHER,0.0,712,0.0,13
2022-07-17,XXJ,Diamond,OTHER,0.0,712,0.0,13
2022-07-24,XXJ,Diamond,OTHER,0.0,712,0.0,13
2022-07-31,XXJ,Diamond,OTHER,0.0,712,0.0,13
2022-08-07,XXJ,Diamond,OTHER,0.0,712,0.0,13
2022-08-14,XXJ,Diamond,OTHER,0.0,712,0.0,13
2022-08-21,XXJ,Diamond,OTHER,0.0,712,0.0,13
2022-08-28,XXJ,Diamond,OTHER,0.0,712,0.0,13
2022-09-04,XXJ,Diamond,OTHER,0.0,712,0.0,13
2022-09-11,XXJ,Diamond,OTHER,0.0,712,0.0,13
2022-09-18,XXJ,Diamond,OTHER,0.0,712,0.0,13
2022-09-25,XXJ,Diamond,OTHER,0.0,712,0.0,13
2022-10-02,XXJ,Diamond,OTHER,0.0,712,0.0,13
2022-10-09,XXJ,Diamond,OTHER,0.0,712,0.0,13
2022-10-16,XXJ,Diamond,OTHER,0.0,712,0.0,13
2022-10-23,XXJ,Diamond,OTHER,0.0,712,0.0,13
2022-10-30,XXJ,Diamond,OTHER,0.0,712,0.0,13
2022-11-06,XXJ,Diamond,OTHER,0.0,712,0.0,13
2022-11-13,XXJ,Diamond,OTHER,0.0,712,0.0,13
2022-11-20,XXJ,Diamond,OTHER,0.0,712,0.0,13
2022-11-27,XXJ,Diamond,OTHER,0.0,712,0.0,13
2022-12-04,XXJ,Diamond,OTHER,0.0,712,0.0,13
2022-12-11,XXJ,Diamond,OTHER,0.0,712,0.0,13
2022-12-18,XXJ,Diamond,OTHER,0.0,712,0.0,13
2022-12-25,XXJ,Diamond,OTHER,0.0,712,0.0,13
2023-01-01,XXJ,Diamond,OTHER,0.0,712,0.0,13
2023-01-08,XXJ,Diamond,OTHER,0.0,712,0.0,13
2023-01-15,XXJ,Diamond,OTHER,0.0,712,0.0,13
2023-01-22,XXJ,Diamond,OTHER,0.0,712,0.0,13
2023-01-29,XXJ,Diamond,OTHER,0.0,712,0.0,13
2023-02-05,XXJ,Diamond,OTHER,0.0,712,0.0,13
2023-02-12,XXJ,Diamond,OTHER,0.0,712,0.0,13
2023-02-19,XXJ,Diamond,OTHER,0.0,712,0.0,13
2023-02-26,XXJ,Diamond,OTHER,0.0,712,0.0,13
2023-03-05,XXJ,Diamond,OTHER,0.0,712,0.0,13
2023-03-12,XXJ,Diamond,OTHER,0.0,712,0.0,13
2023-03-19,XXJ,Diamond,OTHER,0.0,712,0.0,13
2023-03-26,XXJ,Diamond,OTHER,0.0,712,0.0,13
2023-04-02,XXJ,Diamond,OTHER,0.0,712,0.0,13
2023-04-09,XXJ,Diamond,OTHER,0.0,712,0.0,13
2023-04-16,XXJ,Diamond,OTHER,0.0,712,0.0,13
2023-04-23,XXJ,Diamond,OTHER,0.0,712,0.0,13
