Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-05-24,XXL,Charo,OTHER,29.0,29,0.0,0
2020-05-31,XXL,Charo,OTHER,0.0,29,0.0,0
2020-06-07,XXL,Charo,OTHER,0.0,29,0.0,0
2020-06-14,XXL,Charo,OTHER,0.0,29,0.0,0
2020-06-21,XXL,Charo,OTHER,0.0,29,0.0,0
2020-06-28,XXL,Charo,OTHER,0.0,29,0.0,0
2020-07-05,XXL,Charo,OTHER,0.0,29,0.0,0
2020-07-12,XXL,Charo,OTHER,0.0,29,0.0,0
2020-07-19,XXL,Charo,OTHER,0.0,29,0.0,0
2020-07-26,XXL,Charo,OTHER,0.0,29,0.0,0
2020-08-02,XXL,Charo,OTHER,0.0,29,0.0,0
2020-08-09,XXL,Charo,OTHER,0.0,29,0.0,0
2020-08-16,XXL,Charo,OTHER,0.0,29,0.0,0
2020-08-23,XXL,Charo,OTHER,0.0,29,0.0,0
2020-08-30,XXL,Charo,OTHER,0.0,29,0.0,0
2020-09-06,XXL,Charo,OTHER,0.0,29,0.0,0
2020-09-13,XXL,Charo,OTHER,0.0,29,0.0,0
2020-09-20,XXL,Charo,OTHER,0.0,29,0.0,0
2020-09-27,XXL,Charo,OTHER,0.0,29,0.0,0
2020-10-04,XXL,Charo,OTHER,0.0,29,0.0,0
2020-10-11,XXL,Charo,OTHER,0.0,29,0.0,0
2020-10-18,XXL,Charo,OTHER,0.0,29,0.0,0
2020-10-25,XXL,Charo,OTHER,0.0,29,0.0,0
2020-11-01,XXL,Charo,OTHER,0.0,29,0.0,0
2020-11-08,XXL,Charo,OTHER,0.0,29,0.0,0
2020-11-15,XXL,Charo,OTHER,0.0,29,0.0,0
2020-11-22,XXL,Charo,OTHER,0.0,29,0.0,0
2020-11-29,XXL,Charo,OTHER,0.0,29,0.0,0
2020-12-06,XXL,Charo,OTHER,0.0,29,0.0,0
2020-12-13,XXL,Charo,OTHER,0.0,29,0.0,0
2020-12-20,XXL,Charo,OTHER,0.0,29,0.0,0
2020-12-27,XXL,Charo,OTHER,0.0,29,0.0,0
2021-01-03,XXL,Charo,OTHER,0.0,29,0.0,0
2021-01-10,XXL,Charo,OTHER,0.0,29,0.0,0
2021-01-17,XXL,Charo,OTHER,0.0,29,0.0,0
2021-01-24,XXL,Charo,OTHER,0.0,29,0.0,0
2021-01-31,XXL,Charo,OTHER,0.0,29,0.0,0
2021-02-07,XXL,Charo,OTHER,0.0,29,0.0,0
2021-02-14,XXL,Charo,OTHER,0.0,29,0.0,0
2021-02-21,XXL,Charo,OTHER,0.0,29,0.0,0
2021-02-28,XXL,Charo,OTHER,0.0,29,0.0,0
2021-03-07,XXL,Charo,OTHER,0.0,29,0.0,0
2021-03-14,XXL,Charo,OTHER,0.0,29,0.0,0
2021-03-21,XXL,Charo,OTHER,0.0,29,0.0,0
2021-03-28,XXL,Charo,OTHER,0.0,29,0.0,0
2021-04-04,XXL,Charo,OTHER,0.0,29,0.0,0
2021-04-11,XXL,Charo,OTHER,0.0,29,0.0,0
2021-04-18,XXL,Charo,OTHER,0.0,29,0.0,0
2021-04-25,XXL,Charo,OTHER,0.0,29,0.0,0
2021-05-02,XXL,Charo,OTHER,0.0,29,0.0,0
2021-05-09,XXL,Charo,OTHER,0.0,29,0.0,0
2021-05-16,XXL,Charo,OTHER,0.0,29,0.0,0
2021-05-23,XXL,Charo,OTHER,0.0,29,0.0,0
2021-05-30,XXL,Charo,OTHER,0.0,29,0.0,0
2021-06-06,XXL,Charo,OTHER,0.0,29,0.0,0
2021-06-13,XXL,Charo,OTHER,0.0,29,0.0,0
2021-06-20,XXL,Charo,OTHER,0.0,29,0.0,0
2021-06-27,XXL,Charo,OTHER,0.0,29,0.0,0
2021-07-04,XXL,Charo,OTHER,0.0,29,0.0,0
2021-07-11,XXL,Charo,OTHER,0.0,29,0.0,0
2021-07-18,XXL,Charo,OTHER,0.0,29,0.0,0
2021-07-25,XXL,Charo,OTHER,0.0,29,0.0,0
2021-08-01,XXL,Charo,OTHER,0.0,29,0.0,0
2021-08-08,XXL,Charo,OTHER,0.0,29,0.0,0
2021-08-15,XXL,Charo,OTHER,0.0,29,0.0,0
2021-08-22,XXL,Charo,OTHER,0.0,29,0.0,0
2021-08-29,XXL,Charo,OTHER,0.0,29,0.0,0
2021-09-05,XXL,Charo,OTHER,0.0,29,0.0,0
2021-09-12,XXL,Charo,OTHER,0.0,29,0.0,0
2021-09-19,XXL,Charo,OTHER,0.0,29,0.0,0
2021-09-26,XXL,Charo,OTHER,0.0,29,0.0,0
2021-10-03,XXL,Charo,OTHER,0.0,29,0.0,0
2021-10-10,XXL,Charo,OTHER,0.0,29,0.0,0
2021-10-17,XXL,Charo,OTHER,0.0,29,0.0,0
2021-10-24,XXL,Charo,OTHER,0.0,29,0.0,0
2021-10-31,XXL,Charo,OTHER,0.0,29,0.0,0
2021-11-07,XXL,Charo,OTHER,0.0,29,0.0,0
2021-11-14,XXL,Charo,OTHER,0.0,29,0.0,0
2021-11-21,XXL,Charo,OTHER,0.0,29,0.0,0
2021-11-28,XXL,Charo,OTHER,0.0,29,0.0,0
2021-12-05,XXL,Charo,OTHER,0.0,29,0.0,0
2021-12-12,XXL,Charo,OTHER,0.0,29,0.0,0
2021-12-19,XXL,Charo,OTHER,0.0,29,0.0,0
2021-12-26,XXL,Charo,OTHER,0.0,29,0.0,0
2022-01-02,XXL,Charo,OTHER,0.0,29,0.0,0
2022-01-09,XXL,Charo,OTHER,0.0,29,0.0,0
2022-01-16,XXL,Charo,OTHER,0.0,29,0.0,0
2022-01-23,XXL,Charo,OTHER,0.0,29,0.0,0
