Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-03-22,ZM,Zambia,AFRO,2.0,2,0.0,0
2020-03-29,ZM,Zambia,AFRO,26.0,28,0.0,0
2020-04-05,ZM,Zambia,AFRO,11.0,39,3.0,3
2020-04-12,ZM,Zambia,AFRO,1.0,40,1.0,4
2020-04-19,ZM,Zambia,AFRO,17.0,57,0.0,4
2020-04-26,ZM,Zambia,AFRO,27.0,84,1.0,5
2020-05-03,ZM,Zambia,AFRO,35.0,119,0.0,5
2020-05-10,ZM,Zambia,AFRO,133.0,252,4.0,9
2020-05-17,ZM,Zambia,AFRO,427.0,679,0.0,9
2020-05-24,ZM,Zambia,AFRO,241.0,920,0.0,9
2020-05-31,ZM,Zambia,AFRO,137.0,1057,0.0,9
2020-06-07,ZM,Zambia,AFRO,97.0,1154,0.0,9
2020-06-14,ZM,Zambia,AFRO,203.0,1357,0.0,9
2020-06-21,ZM,Zambia,AFRO,81.0,1438,1.0,10
2020-06-28,ZM,Zambia,AFRO,107.0,1545,14.0,24
2020-07-05,ZM,Zambia,AFRO,237.0,1782,14.0,38
2020-07-12,ZM,Zambia,AFRO,352.0,2134,21.0,59
2020-07-19,ZM,Zambia,AFRO,846.0,2980,62.0,121
2020-07-26,ZM,Zambia,AFRO,1348.0,4328,19.0,140
2020-08-02,ZM,Zambia,AFRO,1900.0,6228,26.0,166
2020-08-09,ZM,Zambia,AFRO,1675.0,7903,38.0,204
2020-08-16,ZM,Zambia,AFRO,1283.0,9186,57.0,261
2020-08-23,ZM,Zambia,AFRO,1645.0,10831,19.0,280
2020-08-30,ZM,Zambia,AFRO,1071.0,11902,5.0,285
2020-09-06,ZM,Zambia,AFRO,807.0,12709,8.0,293
2020-09-13,ZM,Zambia,AFRO,757.0,13466,20.0,313
2020-09-20,ZM,Zambia,AFRO,604.0,14070,18.0,331
2020-09-27,ZM,Zambia,AFRO,542.0,14612,2.0,333
2020-10-04,ZM,Zambia,AFRO,362.0,14974,1.0,334
2020-10-11,ZM,Zambia,AFRO,441.0,15415,3.0,337
2020-10-18,ZM,Zambia,AFRO,374.0,15789,9.0,346
2020-10-25,ZM,Zambia,AFRO,328.0,16117,2.0,348
2020-11-01,ZM,Zambia,AFRO,315.0,16432,1.0,349
2020-11-08,ZM,Zambia,AFRO,476.0,16908,0.0,349
2020-11-15,ZM,Zambia,AFRO,189.0,17097,1.0,350
2020-11-22,ZM,Zambia,AFRO,297.0,17394,6.0,356
2020-11-29,ZM,Zambia,AFRO,195.0,17589,1.0,357
2020-12-06,ZM,Zambia,AFRO,309.0,17898,7.0,364
2020-12-13,ZM,Zambia,AFRO,319.0,18217,2.0,366
2020-12-20,ZM,Zambia,AFRO,403.0,18620,7.0,373
2020-12-27,ZM,Zambia,AFRO,1051.0,19671,9.0,382
2021-01-03,ZM,Zambia,AFRO,1559.0,21230,10.0,392
2021-01-10,ZM,Zambia,AFRO,5337.0,26567,72.0,464
2021-01-17,ZM,Zambia,AFRO,9507.0,36074,73.0,537
2021-01-24,ZM,Zambia,AFRO,8518.0,44592,90.0,627
2021-01-31,ZM,Zambia,AFRO,8760.0,53352,118.0,745
2021-02-07,ZM,Zambia,AFRO,8075.0,61427,94.0,839
2021-02-14,ZM,Zambia,AFRO,7027.0,68454,101.0,940
2021-02-21,ZM,Zambia,AFRO,5440.0,73894,76.0,1016
2021-02-28,ZM,Zambia,AFRO,4308.0,78202,65.0,1081
2021-03-07,ZM,Zambia,AFRO,3809.0,82011,35.0,1116
2021-03-14,ZM,Zambia,AFRO,2463.0,84474,37.0,1153
2021-03-21,ZM,Zambia,AFRO,1799.0,86273,25.0,1178
2021-03-28,ZM,Zambia,AFRO,1454.0,87727,20.0,1198
2021-04-04,ZM,Zambia,AFRO,1073.0,88800,17.0,1215
2021-04-11,ZM,Zambia,AFRO,1118.0,89918,11.0,1226
2021-04-18,ZM,Zambia,AFRO,926.0,90844,8.0,1234
2021-04-25,ZM,Zambia,AFRO,473.0,91317,11.0,1245
2021-05-02,ZM,Zambia,AFRO,353.0,91670,6.0,1251
2021-05-09,ZM,Zambia,AFRO,387.0,92057,6.0,1257
2021-05-16,ZM,Zambia,AFRO,352.0,92409,3.0,1260
2021-05-23,ZM,Zambia,AFRO,697.0,93106,7.0,1267
2021-05-30,ZM,Zambia,AFRO,1645.0,94751,9.0,1276
2021-06-06,ZM,Zambia,AFRO,4789.0,99540,27.0,1303
2021-06-13,ZM,Zambia,AFRO,10792.0,110332,62.0,1365
2021-06-20,ZM,Zambia,AFRO,16641.0,126973,230.0,1595
2021-06-27,ZM,Zambia,AFRO,19058.0,146031,372.0,1967
2021-07-04,ZM,Zambia,AFRO,16456.0,162487,430.0,2397
2021-07-11,ZM,Zambia,AFRO,12302.0,174789,378.0,2775
2021-07-18,ZM,Zambia,AFRO,9883.0,184672,277.0,3052
2021-07-25,ZM,Zambia,AFRO,6855.0,191527,198.0,3250
2021-08-01,ZM,Zambia,AFRO,4289.0,195816,139.0,3389
2021-08-08,ZM,Zambia,AFRO,3846.0,199662,85.0,3474
2021-08-15,ZM,Zambia,AFRO,2416.0,202078,47.0,3521
2021-08-22,ZM,Zambia,AFRO,2259.0,204337,52.0,3573
2021-08-29,ZM,Zambia,AFRO,1556.0,205893,18.0,3591
2021-09-05,ZM,Zambia,AFRO,1135.0,207028,23.0,3614
2021-09-12,ZM,Zambia,AFRO,808.0,207836,15.0,3629
2021-09-19,ZM,Zambia,AFRO,586.0,208422,9.0,3638
2021-09-26,ZM,Zambia,AFRO,407.0,208829,7.0,3645
2021-10-03,ZM,Zambia,AFRO,313.0,209142,4.0,3649
2021-10-10,ZM,Zambia,AFRO,194.0,209336,4.0,3653
2021-10-17,ZM,Zambia,AFRO,169.0,209505,5.0,3658
2021-10-24,ZM,Zambia,AFRO,124.0,209629,1.0,3659
2021-10-31,ZM,Zambia,AFRO,93.0,209722,2.0,3661
2021-11-07,ZM,Zambia,AFRO,147.0,209869,2.0,3663
2021-11-14,ZM,Zambia,AFRO,102.0,209971,1.0,3664
2021-11-21,ZM,Zambia,AFRO,86.0,210057,3.0,3667
2021-11-28,ZM,Zambia,AFRO,81.0,210138,0.0,3667
2021-12-05,ZM,Zambia,AFRO,156.0,210294,0.0,3667
2021-12-12,ZM,Zambia,AFRO,665.0,210959,2.0,3669
2021-12-19,ZM,Zambia,AFRO,4513.0,215472,9.0,3678
2021-12-26,ZM,Zambia,AFRO,16109.0,231581,19.0,3697
2022-01-02,ZM,Zambia,AFRO,26367.0,257948,43.0,3740
2022-01-09,ZM,Zambia,AFRO,23628.0,281576,58.0,3798
2022-01-16,ZM,Zambia,AFRO,13452.0,295028,54.0,3852
2022-01-23,ZM,Zambia,AFRO,6175.0,301203,38.0,3890
2022-01-30,ZM,Zambia,AFRO,3453.0,304656,24.0,3914
2022-02-06,ZM,Zambia,AFRO,2121.0,306777,16.0,3930
2022-02-13,ZM,Zambia,AFRO,2516.0,309293,7.0,3937
2022-02-20,ZM,Zambia,AFRO,1723.0,311016,6.0,3943
2022-02-27,ZM,Zambia,AFRO,1595.0,312611,8.0,3951
2022-03-06,ZM,Zambia,AFRO,1133.0,313744,7.0,3958
2022-03-13,ZM,Zambia,AFRO,1404.0,315148,2.0,3960
2022-03-20,ZM,Zambia,AFRO,744.0,315892,3.0,3963
2022-03-27,ZM,Zambia,AFRO,609.0,316501,3.0,3966
2022-04-03,ZM,Zambia,AFRO,530.0,317031,1.0,3967
