Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-03-08,ZW,Zimbabwe,AFRO,0.0,0,5.0,5
2020-03-15,ZW,Zimbabwe,AFRO,0.0,0,0.0,5
2020-03-22,ZW,Zimbabwe,AFRO,2.0,2,0.0,5
2020-03-29,ZW,Zimbabwe,AFRO,5.0,7,1.0,6
2020-04-05,ZW,Zimbabwe,AFRO,2.0,9,0.0,6
2020-04-12,ZW,Zimbabwe,AFRO,7.0,16,1.0,7
2020-04-19,ZW,Zimbabwe,AFRO,10.0,26,0.0,7
2020-04-26,ZW,Zimbabwe,AFRO,6.0,32,1.0,8
2020-05-03,ZW,Zimbabwe,AFRO,3.0,35,0.0,8
2020-05-10,ZW,Zimbabwe,AFRO,2.0,37,0.0,8
2020-05-17,ZW,Zimbabwe,AFRO,7.0,44,0.0,8
2020-05-24,ZW,Zimbabwe,AFRO,24.0,68,0.0,8
2020-05-31,ZW,Zimbabwe,AFRO,105.0,173,0.0,8
2020-06-07,ZW,Zimbabwe,AFRO,106.0,279,0.0,8
2020-06-14,ZW,Zimbabwe,AFRO,77.0,356,0.0,8
2020-06-21,ZW,Zimbabwe,AFRO,130.0,486,2.0,10
2020-06-28,ZW,Zimbabwe,AFRO,81.0,567,0.0,10
2020-07-05,ZW,Zimbabwe,AFRO,131.0,698,2.0,12
2020-07-12,ZW,Zimbabwe,AFRO,284.0,982,10.0,22
2020-07-19,ZW,Zimbabwe,AFRO,496.0,1478,7.0,29
2020-07-26,ZW,Zimbabwe,AFRO,956.0,2434,9.0,38
2020-08-02,ZW,Zimbabwe,AFRO,1225.0,3659,35.0,73
2020-08-09,ZW,Zimbabwe,AFRO,916.0,4575,33.0,106
2020-08-16,ZW,Zimbabwe,AFRO,601.0,5176,28.0,134
2020-08-23,ZW,Zimbabwe,AFRO,717.0,5893,21.0,155
2020-08-30,ZW,Zimbabwe,AFRO,513.0,6406,43.0,198
2020-09-06,ZW,Zimbabwe,AFRO,431.0,6837,10.0,208
2020-09-13,ZW,Zimbabwe,AFRO,671.0,7508,17.0,225
2020-09-20,ZW,Zimbabwe,AFRO,164.0,7672,1.0,226
2020-09-27,ZW,Zimbabwe,AFRO,131.0,7803,2.0,228
2020-10-04,ZW,Zimbabwe,AFRO,82.0,7885,1.0,229
2020-10-11,ZW,Zimbabwe,AFRO,125.0,8010,2.0,231
2020-10-18,ZW,Zimbabwe,AFRO,100.0,8110,1.0,232
2020-10-25,ZW,Zimbabwe,AFRO,159.0,8269,5.0,237
2020-11-01,ZW,Zimbabwe,AFRO,98.0,8367,7.0,244
2020-11-08,ZW,Zimbabwe,AFRO,131.0,8498,8.0,252
2020-11-15,ZW,Zimbabwe,AFRO,288.0,8786,6.0,258
2020-11-22,ZW,Zimbabwe,AFRO,386.0,9172,7.0,265
2020-11-29,ZW,Zimbabwe,AFRO,650.0,9822,10.0,275
2020-12-06,ZW,Zimbabwe,AFRO,795.0,10617,16.0,291
2020-12-13,ZW,Zimbabwe,AFRO,602.0,11219,16.0,307
2020-12-20,ZW,Zimbabwe,AFRO,932.0,12151,11.0,318
2020-12-27,ZW,Zimbabwe,AFRO,812.0,12963,23.0,341
2021-01-03,ZW,Zimbabwe,AFRO,1528.0,14491,36.0,377
2021-01-10,ZW,Zimbabwe,AFRO,6008.0,20499,106.0,483
2021-01-17,ZW,Zimbabwe,AFRO,6382.0,26881,200.0,683
2021-01-24,ZW,Zimbabwe,AFRO,4126.0,31007,291.0,974
2021-01-31,ZW,Zimbabwe,AFRO,2264.0,33271,219.0,1193
2021-02-07,ZW,Zimbabwe,AFRO,1216.0,34487,123.0,1316
2021-02-14,ZW,Zimbabwe,AFRO,617.0,35104,82.0,1398
2021-02-21,ZW,Zimbabwe,AFRO,664.0,35768,34.0,1432
2021-02-28,ZW,Zimbabwe,AFRO,290.0,36058,31.0,1463
2021-03-07,ZW,Zimbabwe,AFRO,202.0,36260,22.0,1485
2021-03-14,ZW,Zimbabwe,AFRO,211.0,36471,16.0,1501
2021-03-21,ZW,Zimbabwe,AFRO,191.0,36662,9.0,1510
2021-03-28,ZW,Zimbabwe,AFRO,156.0,36818,9.0,1519
2021-04-04,ZW,Zimbabwe,AFRO,93.0,36911,5.0,1524
2021-04-11,ZW,Zimbabwe,AFRO,362.0,37273,14.0,1538
2021-04-18,ZW,Zimbabwe,AFRO,426.0,37699,14.0,1552
2021-04-25,ZW,Zimbabwe,AFRO,365.0,38064,4.0,1556
2021-05-02,ZW,Zimbabwe,AFRO,196.0,38260,12.0,1568
2021-05-09,ZW,Zimbabwe,AFRO,154.0,38414,8.0,1576
2021-05-16,ZW,Zimbabwe,AFRO,140.0,38554,6.0,1582
2021-05-23,ZW,Zimbabwe,AFRO,125.0,38679,4.0,1586
2021-05-30,ZW,Zimbabwe,AFRO,254.0,38933,8.0,1594
2021-06-06,ZW,Zimbabwe,AFRO,235.0,39168,11.0,1605
2021-06-13,ZW,Zimbabwe,AFRO,684.0,39852,27.0,1632
2021-06-20,ZW,Zimbabwe,AFRO,1776.0,41628,34.0,1666
2021-06-27,ZW,Zimbabwe,AFRO,4390.0,46018,59.0,1725
2021-07-04,ZW,Zimbabwe,AFRO,7647.0,53665,134.0,1859
2021-07-11,ZW,Zimbabwe,AFRO,13188.0,66853,267.0,2126
2021-07-18,ZW,Zimbabwe,AFRO,15760.0,82613,462.0,2588
2021-07-25,ZW,Zimbabwe,AFRO,14664.0,97277,462.0,3050
2021-08-01,ZW,Zimbabwe,AFRO,11583.0,108860,482.0,3532
2021-08-08,ZW,Zimbabwe,AFRO,7030.0,115890,294.0,3826
2021-08-15,ZW,Zimbabwe,AFRO,3963.0,119853,264.0,4090
2021-08-22,ZW,Zimbabwe,AFRO,2634.0,122487,146.0,4236
2021-08-29,ZW,Zimbabwe,AFRO,1880.0,124367,154.0,4390
2021-09-05,ZW,Zimbabwe,AFRO,1058.0,125425,76.0,4466
2021-09-12,ZW,Zimbabwe,AFRO,795.0,126220,70.0,4536
2021-09-19,ZW,Zimbabwe,AFRO,1519.0,127739,27.0,4563
2021-09-26,ZW,Zimbabwe,AFRO,1766.0,129505,40.0,4603
2021-10-03,ZW,Zimbabwe,AFRO,1589.0,131094,22.0,4625
2021-10-10,ZW,Zimbabwe,AFRO,668.0,131762,11.0,4636
2021-10-17,ZW,Zimbabwe,AFRO,571.0,132333,21.0,4657
2021-10-24,ZW,Zimbabwe,AFRO,292.0,132625,11.0,4668
2021-10-31,ZW,Zimbabwe,AFRO,329.0,132954,9.0,4677
2021-11-07,ZW,Zimbabwe,AFRO,214.0,133168,8.0,4685
2021-11-14,ZW,Zimbabwe,AFRO,260.0,133428,11.0,4696
2021-11-21,ZW,Zimbabwe,AFRO,210.0,133638,3.0,4699
2021-11-28,ZW,Zimbabwe,AFRO,313.0,133951,6.0,4705
2021-12-05,ZW,Zimbabwe,AFRO,4572.0,138523,4.0,4709
2021-12-12,ZW,Zimbabwe,AFRO,26479.0,165002,26.0,4735
2021-12-19,ZW,Zimbabwe,AFRO,26671.0,191673,47.0,4782
2021-12-26,ZW,Zimbabwe,AFRO,12073.0,203746,103.0,4885
2022-01-02,ZW,Zimbabwe,AFRO,10468.0,214214,132.0,5017
2022-01-09,ZW,Zimbabwe,AFRO,7704.0,221918,131.0,5148
2022-01-16,ZW,Zimbabwe,AFRO,4016.0,225934,95.0,5243
2022-01-23,ZW,Zimbabwe,AFRO,2245.0,228179,49.0,5292
2022-01-30,ZW,Zimbabwe,AFRO,1236.0,229415,41.0,5333
2022-02-06,ZW,Zimbabwe,AFRO,987.0,230402,29.0,5362
2022-02-13,ZW,Zimbabwe,AFRO,897.0,231299,12.0,5374
2022-02-20,ZW,Zimbabwe,AFRO,1925.0,233224,12.0,5386
2022-02-27,ZW,Zimbabwe,AFRO,2579.0,235803,7.0,5393
2022-03-06,ZW,Zimbabwe,AFRO,3216.0,239019,4.0,5397
2022-03-13,ZW,Zimbabwe,AFRO,3338.0,242357,17.0,5414
2022-03-20,ZW,Zimbabwe,AFRO,2095.0,244452,12.0,5426
2022-03-27,ZW,Zimbabwe,AFRO,1315.0,245767,11.0,5437
2022-04-03,ZW,Zimbabwe,AFRO,714.0,246481,9.0,5446
2022-04-10,ZW,Zimbabwe,AFRO,477.0,246958,11.0,5457
2022-04-17,ZW,Zimbabwe,AFRO,303.0,247261,5.0,5462
2022-04-24,ZW,Zimbabwe,AFRO,263.0,247524,6.0,5468
2022-05-01,ZW,Zimbabwe,AFRO,318.0,247842,1.0,5469
2022-05-08,ZW,Zimbabwe,AFRO,427.0,248269,4.0,5473
2022-05-15,ZW,Zimbabwe,AFRO,937.0,249206,9.0,5482
2022-05-22,ZW,Zimbabwe,AFRO,1436.0,250642,12.0,5494
2022-05-29,ZW,Zimbabwe,AFRO,1450.0,252092,6.0,5500
2022-06-05,ZW,Zimbabwe,AFRO,1246.0,253338,10.0,5510
2022-06-12,ZW,Zimbabwe,AFRO,760.0,254098,11.0,5521
2022-06-19,ZW,Zimbabwe,AFRO,703.0,254801,13.0,5534
2022-06-26,ZW,Zimbabwe,AFRO,554.0,255355,15.0,5549
2022-07-03,ZW,Zimbabwe,AFRO,355.0,255710,9.0,5558
2022-07-10,ZW,Zimbabwe,AFRO,229.0,255939,6.0,5564
2022-07-17,ZW,Zimbabwe,AFRO,144.0,256083,2.0,5566
2022-07-24,ZW,Zimbabwe,AFRO,171.0,256254,6.0,5572
2022-07-31,ZW,Zimbabwe,AFRO,124.0,256378,5.0,5577
2022-08-07,ZW,Zimbabwe,AFRO,99.0,256477,7.0,5584
2022-08-14,ZW,Zimbabwe,AFRO,62.0,256539,4.0,5588
2022-08-21,ZW,Zimbabwe,AFRO,85.0,256624,4.0,5592
2022-08-28,ZW,Zimbabwe,AFRO,75.0,256699,1.0,5593
2022-09-04,ZW,Zimbabwe,AFRO,56.0,256755,3.0,5596
2022-09-11,ZW,Zimbabwe,AFRO,115.0,256870,0.0,5596
2022-09-18,ZW,Zimbabwe,AFRO,126.0,256996,2.0,5598
2022-09-25,ZW,Zimbabwe,AFRO,344.0,257340,1.0,5599
2022-10-02,ZW,Zimbabwe,AFRO,177.0,257517,3.0,5602
2022-10-09,ZW,Zimbabwe,AFRO,138.0,257655,2.0,5604
2022-10-16,ZW,Zimbabwe,AFRO,238.0,257893,2.0,5606
2022-10-23,ZW,Zimbabwe,AFRO,12.0,257905,2.0,5608
2022-10-30,ZW,Zimbabwe,AFRO,132.0,258037,2.0,5610
2022-11-06,ZW,Zimbabwe,AFRO,132.0,258169,0.0,5610
2022-11-13,ZW,Zimbabwe,AFRO,179.0,258348,0.0,5610
2022-11-20,ZW,Zimbabwe,AFRO,295.0,258643,1.0,5611
2022-11-27,ZW,Zimbabwe,AFRO,311.0,258954,5.0,5616
2022-12-04,ZW,Zimbabwe,AFRO,396.0,259350,6.0,5622
2022-12-11,ZW,Zimbabwe,AFRO,6.0,259356,0.0,5622
2022-12-18,ZW,Zimbabwe,AFRO,203.0,259559,3.0,5625
2022-12-25,ZW,Zimbabwe,AFRO,385.0,259944,10.0,5635
2023-01-01,ZW,Zimbabwe,AFRO,202.0,260146,4.0,5639
2023-01-08,ZW,Zimbabwe,AFRO,303.0,260449,0.0,5639
2023-01-15,ZW,Zimbabwe,AFRO,0.0,260449,0.0,5639
2023-01-22,ZW,Zimbabwe,AFRO,1104.0,261553,13.0,5652
2023-01-29,ZW,Zimbabwe,AFRO,749.0,262302,6.0,5658
2023-02-05,ZW,Zimbabwe,AFRO,752.0,263054,1.0,5659
2023-02-12,ZW,Zimbabwe,AFRO,553.0,263607,3.0,5662
2023-02-19,ZW,Zimbabwe,AFRO,295.0,263902,1.0,5663
2023-02-26,ZW,Zimbabwe,AFRO,206.0,264108,5.0,5668
2023-03-05,ZW,Zimbabwe,AFRO,162.0,264270,3.0,5671
2023-03-12,ZW,Zimbabwe,AFRO,115.0,264385,1.0,5672
2023-03-19,ZW,Zimbabwe,AFRO,63.0,264448,6.0,5678
2023-03-26,ZW,Zimbabwe,AFRO,61.0,264509,1.0,5679
2023-04-02,ZW,Zimbabwe,AFRO,40.0,264549,2.0,5681
2023-04-09,ZW,Zimbabwe,AFRO,33.0,264582,3.0,5684
2023-04-16,ZW,Zimbabwe,AFRO,28.0,264610,0.0,5684
2023-04-23,ZW,Zimbabwe,AFRO,27.0,264637,1.0,5685
2023-04-30,ZW,Zimbabwe,AFRO,46.0,264683,1.0,5686
2023-05-07,ZW,Zimbabwe,AFRO,83.0,264766,2.0,5688
2023-05-14,ZW,Zimbabwe,AFRO,75.0,264841,2.0,5690
2023-05-21,ZW,Zimbabwe,AFRO,95.0,264936,1.0,5691
2023-05-28,ZW,Zimbabwe,AFRO,87.0,265023,2.0,5693
2023-06-04,ZW,Zimbabwe,AFRO,129.0,265152,2.0,5695
2023-06-11,ZW,Zimbabwe,AFRO,9.0,265161,0.0,5695
2023-06-18,ZW,Zimbabwe,AFRO,128.0,265289,7.0,5702
2023-06-25,ZW,Zimbabwe,AFRO,124.0,265413,5.0,5707
2023-07-02,ZW,Zimbabwe,AFRO,111.0,265524,0.0,5707
2023-07-09,ZW,Zimbabwe,AFRO,80.0,265604,2.0,5709
2023-07-16,ZW,Zimbabwe,AFRO,62.0,265666,2.0,5711
2023-07-23,ZW,Zimbabwe,AFRO,28.0,265694,0.0,5711
2023-07-30,ZW,Zimbabwe,AFRO,-1.0,265693,1.0,5712
2023-08-06,ZW,Zimbabwe,AFRO,23.0,265716,1.0,5713
2023-08-13,ZW,Zimbabwe,AFRO,0.0,265716,0.0,5713
2023-08-20,ZW,Zimbabwe,AFRO,5.0,265721,2.0,5715
2023-08-27,ZW,Zimbabwe,AFRO,10.0,265731,2.0,5717
2023-09-03,ZW,Zimbabwe,AFRO,6.0,265737,0.0,5717
2023-09-10,ZW,Zimbabwe,AFRO,5.0,265742,1.0,5718
2023-09-17,ZW,Zimbabwe,AFRO,6.0,265748,0.0,5718
2023-09-24,ZW,Zimbabwe,AFRO,5.0,265753,0.0,5718
2023-10-01,ZW,Zimbabwe,AFRO,12.0,265765,0.0,5718
2023-10-08,ZW,Zimbabwe,AFRO,6.0,265771,0.0,5718
2023-10-15,ZW,Zimbabwe,AFRO,37.0,265808,1.0,5719
2023-10-22,ZW,Zimbabwe,AFRO,13.0,265821,1.0,5720
2023-10-29,ZW,Zimbabwe,AFRO,26.0,265847,1.0,5721
2023-11-05,ZW,Zimbabwe,AFRO,33.0,265880,1.0,5722
2023-11-12,ZW,Zimbabwe,AFRO,23.0,265903,4.0,5726
2023-11-19,ZW,Zimbabwe,AFRO,24.0,265927,1.0,5727
2023-11-26,ZW,Zimbabwe,AFRO,48.0,265975,3.0,5730
2023-12-03,ZW,Zimbabwe,AFRO,0.0,265975,0.0,5730
2023-12-10,ZW,Zimbabwe,AFRO,0.0,265975,0.0,5730
2023-12-17,ZW,Zimbabwe,AFRO,50.0,266025,0.0,5730
2023-12-24,ZW,Zimbabwe,AFRO,23.0,266048,1.0,5731
2023-12-31,ZW,Zimbabwe,AFRO,23.0,266071,0.0,5731
2024-01-07,ZW,Zimbabwe,AFRO,46.0,266117,3.0,5734
2024-01-14,ZW,Zimbabwe,AFRO,85.0,266202,3.0,5737
2024-01-21,ZW,Zimbabwe,AFRO,55.0,266257,0.0,5737
2024-01-28,ZW,Zimbabwe,AFRO,31.0,266288,0.0,5737
2024-02-04,ZW,Zimbabwe,AFRO,31.0,266319,0.0,5737
2024-02-11,ZW,Zimbabwe,AFRO,9.0,266328,0.0,5737
2024-02-18,ZW,Zimbabwe,AFRO,22.0,266350,0.0,5737
2024-02-25,ZW,Zimbabwe,AFRO,5.0,266355,2.0,5739
2024-03-03,ZW,Zimbabwe,AFRO,3.0,266358,1.0,5740
2024-03-10,ZW,Zimbabwe,AFRO,1.0,266359,0.0,5740
2024-03-17,ZW,Zimbabwe,AFRO,0.0,266359,0.0,5740
2024-03-24,ZW,Zimbabwe,AFRO,0.0,266359,0.0,5740
2024-03-31,ZW,Zimbabwe,AFRO,0.0,266359,0.0,5740
2024-04-07,ZW,Zimbabwe,AFRO,0.0,266359,0.0,5740
2024-04-14,ZW,Zimbabwe,AFRO,0.0,266359,0.0,5740
2024-04-21,ZW,Zimbabwe,AFRO,0.0,266359,0.0,5740
2024-04-28,ZW,Zimbabwe,AFRO,0.0,266359,0.0,5740
